time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
135.0,chain2,Ingress3,11,11,SF-A,567,16,SF-B,907,8,SF-D,1134,4,Egress2,1000.0
136.0,chain2,Ingress3,9,9,SF-A,494,13,SF-B,791,6,SF-D,989,3,Egress2,1000.0
137.0,chain2,Ingress3,8,8,SF-A,403,12,SF-B,646,6,SF-D,807,3,Egress2,1000.0
138.0,chain2,Ingress3,9,9,SF-A,460,13,SF-B,737,6,SF-D,921,3,Egress2,1000.0
139.0,chain2,Ingress3,8,8,SF-A,427,12,SF-B,683,6,SF-D,854,3,Egress2,1000.0
140.0,chain2,Ingress3,9,9,SF-A,453,13,SF-B,725,6,SF-D,906,3,Egress2,1000.0
141.0,chain2,Ingress3,9,9,SF-A,461,13,SF-B,737,6,SF-D,922,3,Egress2,1000.0
142.0,chain2,Ingress3,9,9,SF-A,498,13,SF-B,797,6,SF-D,996,3,Egress2,1000.0
143.0,chain2,Ingress3,10,10,SF-A,510,15,SF-B,817,7,SF-D,1021,3,Egress2,1000.0
144.0,chain2,Ingress3,11,11,SF-A,558,16,SF-B,892,8,SF-D,1116,4,Egress2,1000.0
145.0,chain2,Ingress3,11,11,SF-A,589,16,SF-B,942,8,SF-D,1178,4,Egress2,1000.0
146.0,chain2,Ingress3,9,9,SF-A,499,13,SF-B,799,6,SF-D,999,3,Egress2,1000.0
147.0,chain2,Ingress3,11,11,SF-A,561,16,SF-B,898,8,SF-D,1122,4,Egress2,1000.0
148.0,chain2,Ingress3,11,11,SF-A,585,16,SF-B,937,8,SF-D,1171,4,Egress2,1000.0
149.0,chain2,Ingress3,8,8,SF-A,418,12,SF-B,670,6,SF-D,837,3,Egress2,1000.0
150.0,chain2,Ingress3,8,8,SF-A,449,12,SF-B,718,6,SF-D,898,3,Egress2,1000.0
151.0,chain2,Ingress3,8,8,SF-A,417,12,SF-B,668,6,SF-D,835,3,Egress2,1000.0
152.0,chain2,Ingress3,9,9,SF-A,450,13,SF-B,721,6,SF-D,901,3,Egress2,1000.0
153.0,chain2,Ingress3,9,9,SF-A,477,13,SF-B,763,6,SF-D,954,3,Egress2,1000.0
154.0,chain2,Ingress3,9,9,SF-A,478,13,SF-B,764,6,SF-D,956,3,Egress2,1000.0
155.0,chain2,Ingress3,9,9,SF-A,489,13,SF-B,783,6,SF-D,979,3,Egress2,1000.0
156.0,chain2,Ingress3,11,11,SF-A,586,16,SF-B,939,8,SF-D,1173,4,Egress2,1000.0
157.0,chain2,Ingress3,9,9,SF-A,474,13,SF-B,759,6,SF-D,949,3,Egress2,1000.0
158.0,chain2,Ingress3,11,11,SF-A,574,16,SF-B,919,8,SF-D,1149,4,Egress2,1000.0
159.0,chain2,Ingress3,10,10,SF-A,516,15,SF-B,825,7,SF-D,1032,3,Egress2,1000.0
160.0,chain2,Ingress3,11,11,SF-A,557,16,SF-B,892,8,SF-D,1115,4,Egress2,1000.0
161.0,chain2,Ingress3,11,11,SF-A,554,16,SF-B,887,8,SF-D,1109,4,Egress2,1000.0
162.0,chain2,Ingress3,10,10,SF-A,546,15,SF-B,874,7,SF-D,1093,3,Egress2,1000.0
163.0,chain2,Ingress3,10,10,SF-A,502,15,SF-B,804,7,SF-D,1005,3,Egress2,1000.0
164.0,chain2,Ingress3,10,10,SF-A,518,15,SF-B,829,7,SF-D,1037,3,Egress2,1000.0
165.0,chain2,Ingress3,10,10,SF-A,506,15,SF-B,810,7,SF-D,1013,3,Egress2,1000.0
166.0,chain2,Ingress3,10,10,SF-A,513,15,SF-B,822,7,SF-D,1027,3,Egress2,1000.0
167.0,chain2,Ingress3,10,10,SF-A,514,15,SF-B,823,7,SF-D,1029,3,Egress2,1000.0
168.0,chain2,Ingress3,9,9,SF-A,472,13,SF-B,756,6,SF-D,945,3,Egress2,1000.0
169.0,chain2,Ingress3,11,11,SF-A,593,16,SF-B,950,8,SF-D,1187,4,Egress2,1000.0
170.0,chain2,Ingress3,11,11,SF-A,572,16,SF-B,916,8,SF-D,1145,4,Egress2,1000.0
171.0,chain2,Ingress3,8,8,SF-A,440,12,SF-B,704,6,SF-D,880,3,Egress2,1000.0
172.0,chain2,Ingress3,11,11,SF-A,560,16,SF-B,896,8,SF-D,1121,4,Egress2,1000.0
173.0,chain2,Ingress3,9,9,SF-A,477,13,SF-B,764,6,SF-D,955,3,Egress2,1000.0
174.0,chain2,Ingress3,10,10,SF-A,539,15,SF-B,862,7,SF-D,1078,3,Egress2,1000.0
175.0,chain2,Ingress3,10,10,SF-A,512,15,SF-B,819,7,SF-D,1024,3,Egress2,1000.0
176.0,chain2,Ingress3,8,8,SF-A,444,12,SF-B,711,6,SF-D,889,3,Egress2,1000.0
177.0,chain2,Ingress3,8,8,SF-A,438,12,SF-B,702,6,SF-D,877,3,Egress2,1000.0
178.0,chain2,Ingress3,11,11,SF-A,562,16,SF-B,899,8,SF-D,1124,4,Egress2,1000.0
179.0,chain2,Ingress3,8,8,SF-A,438,12,SF-B,702,6,SF-D,877,3,Egress2,1000.0
180.0,chain2,Ingress3,10,10,SF-A,526,15,SF-B,842,7,SF-D,1052,3,Egress2,1000.0
181.0,chain2,Ingress3,10,10,SF-A,546,15,SF-B,874,7,SF-D,1093,3,Egress2,1000.0
182.0,chain2,Ingress3,11,11,SF-A,589,16,SF-B,943,8,SF-D,1179,4,Egress2,1000.0
183.0,chain2,Ingress3,11,11,SF-A,574,16,SF-B,918,8,SF-D,1148,4,Egress2,1000.0
184.0,chain2,Ingress3,9,9,SF-A,456,13,SF-B,730,6,SF-D,912,3,Egress2,1000.0
185.0,chain2,Ingress3,10,10,SF-A,522,15,SF-B,836,7,SF-D,1045,3,Egress2,1000.0
186.0,chain2,Ingress3,10,10,SF-A,546,15,SF-B,874,7,SF-D,1092,3,Egress2,1000.0
187.0,chain2,Ingress3,10,10,SF-A,515,15,SF-B,824,7,SF-D,1030,3,Egress2,1000.0
188.0,chain2,Ingress3,10,10,SF-A,545,15,SF-B,872,7,SF-D,1091,3,Egress2,1000.0
189.0,chain2,Ingress3,10,10,SF-A,541,15,SF-B,867,7,SF-D,1083,3,Egress2,1000.0
190.0,chain2,Ingress3,9,9,SF-A,490,13,SF-B,785,6,SF-D,981,3,Egress2,1000.0
191.0,chain2,Ingress3,10,10,SF-A,504,15,SF-B,807,7,SF-D,1009,3,Egress2,1000.0
192.0,chain2,Ingress3,9,9,SF-A,453,13,SF-B,725,6,SF-D,907,3,Egress2,1000.0
193.0,chain2,Ingress3,9,9,SF-A,478,13,SF-B,766,6,SF-D,957,3,Egress2,1000.0
194.0,chain2,Ingress3,8,8,SF-A,416,12,SF-B,666,6,SF-D,833,3,Egress2,1000.0
195.0,chain2,Ingress3,10,10,SF-A,534,15,SF-B,854,7,SF-D,1068,3,Egress2,1000.0
196.0,chain2,Ingress3,8,8,SF-A,435,12,SF-B,696,6,SF-D,870,3,Egress2,1000.0
197.0,chain2,Ingress3,10,10,SF-A,525,15,SF-B,840,7,SF-D,1050,3,Egress2,1000.0
198.0,chain2,Ingress3,9,9,SF-A,456,13,SF-B,730,6,SF-D,913,3,Egress2,1000.0
199.0,chain2,Ingress3,9,9,SF-A,490,13,SF-B,785,6,SF-D,981,3,Egress2,1000.0
200.0,chain2,Ingress3,11,11,SF-A,562,16,SF-B,900,8,SF-D,1125,4,Egress2,1000.0
201.0,chain2,Ingress3,10,10,SF-A,537,15,SF-B,859,7,SF-D,1074,3,Egress2,1000.0
202.0,chain2,Ingress3,9,9,SF-A,497,13,SF-B,796,6,SF-D,995,3,Egress2,1000.0
203.0,chain2,Ingress3,10,10,SF-A,526,15,SF-B,842,7,SF-D,1053,3,Egress2,1000.0
204.0,chain2,Ingress3,8,8,SF-A,400,12,SF-B,641,6,SF-D,801,3,Egress2,1000.0
205.0,chain2,Ingress3,8,8,SF-A,418,12,SF-B,669,6,SF-D,836,3,Egress2,1000.0
206.0,chain2,Ingress3,11,11,SF-A,572,16,SF-B,916,8,SF-D,1145,4,Egress2,1000.0
207.0,chain2,Ingress3,10,10,SF-A,535,15,SF-B,857,7,SF-D,1071,3,Egress2,1000.0
208.0,chain2,Ingress3,9,9,SF-A,493,13,SF-B,790,6,SF-D,987,3,Egress2,1000.0
209.0,chain2,Ingress3,9,9,SF-A,493,13,SF-B,789,6,SF-D,986,3,Egress2,1000.0
210.0,chain2,Ingress3,11,11,SF-A,559,16,SF-B,894,8,SF-D,1118,4,Egress2,1000.0
211.0,chain2,Ingress3,9,9,SF-A,493,13,SF-B,788,6,SF-D,986,3,Egress2,1000.0
212.0,chain2,Ingress3,8,8,SF-A,441,12,SF-B,705,6,SF-D,882,3,Egress2,1000.0
213.0,chain2,Ingress3,10,10,SF-A,532,15,SF-B,852,7,SF-D,1065,3,Egress2,1000.0
214.0,chain2,Ingress3,8,8,SF-A,412,12,SF-B,659,6,SF-D,824,3,Egress2,1000.0
215.0,chain2,Ingress3,10,10,SF-A,507,15,SF-B,811,7,SF-D,1014,3,Egress2,1000.0
216.0,chain2,Ingress3,9,9,SF-A,471,13,SF-B,753,6,SF-D,942,3,Egress2,1000.0
217.0,chain2,Ingress3,10,10,SF-A,533,15,SF-B,853,7,SF-D,1067,3,Egress2,1000.0
218.0,chain2,Ingress3,11,11,SF-A,577,16,SF-B,924,8,SF-D,1155,4,Egress2,1000.0
219.0,chain2,Ingress3,9,9,SF-A,496,13,SF-B,793,6,SF-D,992,3,Egress2,1000.0
220.0,chain2,Ingress3,10,10,SF-A,546,15,SF-B,873,7,SF-D,1092,3,Egress2,1000.0
221.0,chain2,Ingress3,9,9,SF-A,494,13,SF-B,790,6,SF-D,988,3,Egress2,1000.0
222.0,chain2,Ingress3,9,9,SF-A,498,13,SF-B,798,6,SF-D,997,3,Egress2,1000.0
223.0,chain2,Ingress3,9,9,SF-A,495,13,SF-B,792,6,SF-D,990,3,Egress2,1000.0
224.0,chain2,Ingress3,8,8,SF-A,430,12,SF-B,689,6,SF-D,861,3,Egress2,1000.0
225.0,chain2,Ingress3,8,8,SF-A,407,12,SF-B,652,6,SF-D,815,3,Egress2,1000.0
226.0,chain2,Ingress3,8,8,SF-A,424,12,SF-B,678,6,SF-D,848,3,Egress2,1000.0
227.0,chain2,Ingress3,8,8,SF-A,445,12,SF-B,713,6,SF-D,891,3,Egress2,1000.0
228.0,chain2,Ingress3,8,8,SF-A,427,12,SF-B,684,6,SF-D,855,3,Egress2,1000.0
229.0,chain2,Ingress3,8,8,SF-A,447,12,SF-B,715,6,SF-D,894,3,Egress2,1000.0
230.0,chain2,Ingress3,11,11,SF-A,579,16,SF-B,927,8,SF-D,1159,4,Egress2,1000.0
231.0,chain2,Ingress3,11,11,SF-A,587,16,SF-B,940,8,SF-D,1175,4,Egress2,1000.0
232.0,chain2,Ingress3,11,11,SF-A,593,16,SF-B,950,8,SF-D,1187,4,Egress2,1000.0
233.0,chain2,Ingress3,10,10,SF-A,515,15,SF-B,824,7,SF-D,1030,3,Egress2,1000.0
234.0,chain2,Ingress3,10,10,SF-A,505,15,SF-B,808,7,SF-D,1010,3,Egress2,1000.0
235.0,chain2,Ingress3,10,10,SF-A,523,15,SF-B,838,7,SF-D,1047,3,Egress2,1000.0
236.0,chain2,Ingress3,10,10,SF-A,515,15,SF-B,824,7,SF-D,1030,3,Egress2,1000.0
237.0,chain2,Ingress3,10,10,SF-A,506,15,SF-B,810,7,SF-D,1013,3,Egress2,1000.0
238.0,chain2,Ingress3,10,10,SF-A,510,15,SF-B,817,7,SF-D,1021,3,Egress2,1000.0
239.0,chain2,Ingress3,10,10,SF-A,515,15,SF-B,825,7,SF-D,1031,3,Egress2,1000.0
240.0,chain2,Ingress3,8,8,SF-A,419,12,SF-B,671,6,SF-D,838,3,Egress2,1000.0
241.0,chain2,Ingress3,8,8,SF-A,425,12,SF-B,681,6,SF-D,851,3,Egress2,1000.0
242.0,chain2,Ingress3,9,9,SF-A,492,13,SF-B,788,6,SF-D,985,3,Egress2,1000.0
243.0,chain2,Ingress3,10,10,SF-A,506,15,SF-B,809,7,SF-D,1012,3,Egress2,1000.0
244.0,chain2,Ingress3,9,9,SF-A,486,13,SF-B,777,6,SF-D,972,3,Egress2,1000.0
245.0,chain2,Ingress3,9,9,SF-A,462,13,SF-B,740,6,SF-D,925,3,Egress2,1000.0
246.0,chain2,Ingress3,10,10,SF-A,532,15,SF-B,851,7,SF-D,1064,3,Egress2,1000.0
247.0,chain2,Ingress3,9,9,SF-A,497,13,SF-B,796,6,SF-D,995,3,Egress2,1000.0
