time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),VM4,cloudlet.4(MI),Transmission5(MB),Egress,latency_demand(s)
20.0,chain1,Ingress1,13,13,SF-A,677,19,SF-B,1084,9,SF-C,2032,6,SF-D,1355,3,Egress1,1000.0
21.0,chain1,Ingress1,13,13,SF-A,655,19,SF-B,1048,9,SF-C,1966,6,SF-D,1311,3,Egress1,1000.0
22.0,chain1,Ingress1,13,13,SF-A,673,19,SF-B,1077,9,SF-C,2019,6,SF-D,1346,3,Egress1,1000.0
23.0,chain1,Ingress1,15,15,SF-A,785,22,SF-B,1256,11,SF-C,2355,7,SF-D,1570,3,Egress1,1000.0
24.0,chain1,Ingress1,12,12,SF-A,612,18,SF-B,979,9,SF-C,1836,6,SF-D,1224,3,Egress1,1000.0
25.0,chain1,Ingress1,17,17,SF-A,880,25,SF-B,1408,12,SF-C,2641,8,SF-D,1760,4,Egress1,1000.0
26.0,chain1,Ingress1,17,17,SF-A,862,25,SF-B,1379,12,SF-C,2587,8,SF-D,1724,4,Egress1,1000.0
27.0,chain1,Ingress1,17,17,SF-A,874,25,SF-B,1399,12,SF-C,2624,8,SF-D,1749,4,Egress1,1000.0
28.0,chain1,Ingress1,16,16,SF-A,816,24,SF-B,1306,12,SF-C,2449,8,SF-D,1632,4,Egress1,1000.0
29.0,chain1,Ingress1,13,13,SF-A,678,19,SF-B,1085,9,SF-C,2035,6,SF-D,1357,3,Egress1,1000.0
30.0,chain1,Ingress1,16,16,SF-A,811,24,SF-B,1299,12,SF-C,2435,8,SF-D,1623,4,Egress1,1000.0
31.0,chain1,Ingress1,17,17,SF-A,860,25,SF-B,1377,12,SF-C,2582,8,SF-D,1721,4,Egress1,1000.0
32.0,chain1,Ingress1,17,17,SF-A,867,25,SF-B,1388,12,SF-C,2602,8,SF-D,1735,4,Egress1,1000.0
33.0,chain1,Ingress1,16,16,SF-A,810,24,SF-B,1297,12,SF-C,2432,8,SF-D,1621,4,Egress1,1000.0
34.0,chain1,Ingress1,15,15,SF-A,757,22,SF-B,1211,11,SF-C,2271,7,SF-D,1514,3,Egress1,1000.0
35.0,chain1,Ingress1,15,15,SF-A,786,22,SF-B,1257,11,SF-C,2358,7,SF-D,1572,3,Egress1,1000.0
36.0,chain1,Ingress1,12,12,SF-A,609,18,SF-B,974,9,SF-C,1827,6,SF-D,1218,3,Egress1,1000.0
37.0,chain1,Ingress1,15,15,SF-A,768,22,SF-B,1230,11,SF-C,2306,7,SF-D,1537,3,Egress1,1000.0
38.0,chain1,Ingress1,17,17,SF-A,863,25,SF-B,1381,12,SF-C,2590,8,SF-D,1726,4,Egress1,1000.0
39.0,chain1,Ingress1,17,17,SF-A,882,25,SF-B,1411,12,SF-C,2647,8,SF-D,1764,4,Egress1,1000.0
40.0,chain1,Ingress1,16,16,SF-A,846,24,SF-B,1354,12,SF-C,2539,8,SF-D,1693,4,Egress1,1000.0
41.0,chain1,Ingress1,17,17,SF-A,858,25,SF-B,1373,12,SF-C,2575,8,SF-D,1717,4,Egress1,1000.0
42.0,chain1,Ingress1,12,12,SF-A,613,18,SF-B,982,9,SF-C,1841,6,SF-D,1227,3,Egress1,1000.0
43.0,chain1,Ingress1,12,12,SF-A,606,18,SF-B,970,9,SF-C,1819,6,SF-D,1212,3,Egress1,1000.0
44.0,chain1,Ingress1,17,17,SF-A,860,25,SF-B,1376,12,SF-C,2580,8,SF-D,1720,4,Egress1,1000.0
45.0,chain1,Ingress1,12,12,SF-A,602,18,SF-B,963,9,SF-C,1807,6,SF-D,1204,3,Egress1,1000.0
46.0,chain1,Ingress1,12,12,SF-A,611,18,SF-B,978,9,SF-C,1834,6,SF-D,1223,3,Egress1,1000.0
47.0,chain1,Ingress1,13,13,SF-A,698,19,SF-B,1117,9,SF-C,2094,6,SF-D,1396,3,Egress1,1000.0
48.0,chain1,Ingress1,17,17,SF-A,879,25,SF-B,1407,12,SF-C,2639,8,SF-D,1759,4,Egress1,1000.0
49.0,chain1,Ingress1,16,16,SF-A,848,24,SF-B,1357,12,SF-C,2546,8,SF-D,1697,4,Egress1,1000.0
50.0,chain1,Ingress1,15,15,SF-A,762,22,SF-B,1219,11,SF-C,2286,7,SF-D,1524,3,Egress1,1000.0
51.0,chain1,Ingress1,12,12,SF-A,638,18,SF-B,1020,9,SF-C,1914,6,SF-D,1276,3,Egress1,1000.0
52.0,chain1,Ingress1,16,16,SF-A,811,24,SF-B,1298,12,SF-C,2435,8,SF-D,1623,4,Egress1,1000.0
53.0,chain1,Ingress1,17,17,SF-A,876,25,SF-B,1401,12,SF-C,2628,8,SF-D,1752,4,Egress1,1000.0
54.0,chain1,Ingress1,13,13,SF-A,662,19,SF-B,1059,9,SF-C,1987,6,SF-D,1324,3,Egress1,1000.0
55.0,chain1,Ingress1,13,13,SF-A,698,19,SF-B,1118,9,SF-C,2096,6,SF-D,1397,3,Egress1,1000.0
56.0,chain1,Ingress1,12,12,SF-A,613,18,SF-B,981,9,SF-C,1840,6,SF-D,1226,3,Egress1,1000.0
57.0,chain1,Ingress1,15,15,SF-A,781,22,SF-B,1250,11,SF-C,2344,7,SF-D,1562,3,Egress1,1000.0
58.0,chain1,Ingress1,16,16,SF-A,823,24,SF-B,1318,12,SF-C,2471,8,SF-D,1647,4,Egress1,1000.0
59.0,chain1,Ingress1,13,13,SF-A,659,19,SF-B,1055,9,SF-C,1979,6,SF-D,1319,3,Egress1,1000.0
60.0,chain1,Ingress1,17,17,SF-A,892,25,SF-B,1427,12,SF-C,2676,8,SF-D,1784,4,Egress1,1000.0
61.0,chain1,Ingress1,16,16,SF-A,814,24,SF-B,1303,12,SF-C,2444,8,SF-D,1629,4,Egress1,1000.0
62.0,chain1,Ingress1,13,13,SF-A,654,19,SF-B,1047,9,SF-C,1964,6,SF-D,1309,3,Egress1,1000.0
63.0,chain1,Ingress1,17,17,SF-A,879,25,SF-B,1407,12,SF-C,2639,8,SF-D,1759,4,Egress1,1000.0
64.0,chain1,Ingress1,14,14,SF-A,720,21,SF-B,1153,10,SF-C,2162,6,SF-D,1441,3,Egress1,1000.0
65.0,chain1,Ingress1,16,16,SF-A,820,24,SF-B,1313,12,SF-C,2462,8,SF-D,1641,4,Egress1,1000.0
66.0,chain1,Ingress1,16,16,SF-A,840,24,SF-B,1345,12,SF-C,2522,8,SF-D,1681,4,Egress1,1000.0
67.0,chain1,Ingress1,12,12,SF-A,622,18,SF-B,996,9,SF-C,1868,6,SF-D,1245,3,Egress1,1000.0
68.0,chain1,Ingress1,15,15,SF-A,773,22,SF-B,1238,11,SF-C,2321,7,SF-D,1547,3,Egress1,1000.0
69.0,chain1,Ingress1,14,14,SF-A,745,21,SF-B,1192,10,SF-C,2235,6,SF-D,1490,3,Egress1,1000.0
70.0,chain1,Ingress1,13,13,SF-A,657,19,SF-B,1052,9,SF-C,1973,6,SF-D,1315,3,Egress1,1000.0
71.0,chain1,Ingress1,15,15,SF-A,756,22,SF-B,1210,11,SF-C,2270,7,SF-D,1513,3,Egress1,1000.0
72.0,chain1,Ingress1,15,15,SF-A,770,22,SF-B,1232,11,SF-C,2310,7,SF-D,1540,3,Egress1,1000.0
73.0,chain1,Ingress1,15,15,SF-A,757,22,SF-B,1212,11,SF-C,2273,7,SF-D,1515,3,Egress1,1000.0
74.0,chain1,Ingress1,15,15,SF-A,761,22,SF-B,1219,11,SF-C,2285,7,SF-D,1523,3,Egress1,1000.0
75.0,chain1,Ingress1,14,14,SF-A,707,21,SF-B,1131,10,SF-C,2121,6,SF-D,1414,3,Egress1,1000.0
76.0,chain1,Ingress1,15,15,SF-A,753,22,SF-B,1205,11,SF-C,2260,7,SF-D,1507,3,Egress1,1000.0
77.0,chain1,Ingress1,17,17,SF-A,865,25,SF-B,1384,12,SF-C,2595,8,SF-D,1730,4,Egress1,1000.0
78.0,chain1,Ingress1,13,13,SF-A,672,19,SF-B,1075,9,SF-C,2017,6,SF-D,1344,3,Egress1,1000.0
79.0,chain1,Ingress1,15,15,SF-A,776,22,SF-B,1242,11,SF-C,2329,7,SF-D,1553,3,Egress1,1000.0
80.0,chain1,Ingress1,17,17,SF-A,889,25,SF-B,1423,12,SF-C,2668,8,SF-D,1778,4,Egress1,1000.0
81.0,chain1,Ingress1,13,13,SF-A,683,19,SF-B,1094,9,SF-C,2051,6,SF-D,1367,3,Egress1,1000.0
82.0,chain1,Ingress1,16,16,SF-A,818,24,SF-B,1308,12,SF-C,2454,8,SF-D,1636,4,Egress1,1000.0
83.0,chain1,Ingress1,14,14,SF-A,709,21,SF-B,1135,10,SF-C,2128,6,SF-D,1418,3,Egress1,1000.0
84.0,chain1,Ingress1,16,16,SF-A,839,24,SF-B,1342,12,SF-C,2517,8,SF-D,1678,4,Egress1,1000.0
85.0,chain1,Ingress1,14,14,SF-A,734,21,SF-B,1175,10,SF-C,2204,6,SF-D,1469,3,Egress1,1000.0
86.0,chain1,Ingress1,16,16,SF-A,839,24,SF-B,1343,12,SF-C,2518,8,SF-D,1679,4,Egress1,1000.0
87.0,chain1,Ingress1,17,17,SF-A,894,25,SF-B,1430,12,SF-C,2682,8,SF-D,1788,4,Egress1,1000.0
88.0,chain1,Ingress1,16,16,SF-A,823,24,SF-B,1317,12,SF-C,2470,8,SF-D,1646,4,Egress1,1000.0
89.0,chain1,Ingress1,14,14,SF-A,726,21,SF-B,1162,10,SF-C,2178,6,SF-D,1452,3,Egress1,1000.0
90.0,chain1,Ingress1,16,16,SF-A,845,24,SF-B,1353,12,SF-C,2537,8,SF-D,1691,4,Egress1,1000.0
91.0,chain1,Ingress1,12,12,SF-A,630,18,SF-B,1008,9,SF-C,1890,6,SF-D,1260,3,Egress1,1000.0
92.0,chain1,Ingress1,16,16,SF-A,818,24,SF-B,1310,12,SF-C,2456,8,SF-D,1637,4,Egress1,1000.0
93.0,chain1,Ingress1,14,14,SF-A,700,21,SF-B,1120,10,SF-C,2101,6,SF-D,1401,3,Egress1,1000.0
94.0,chain1,Ingress1,14,14,SF-A,749,21,SF-B,1199,10,SF-C,2248,6,SF-D,1499,3,Egress1,1000.0
95.0,chain1,Ingress1,16,16,SF-A,835,24,SF-B,1337,12,SF-C,2506,8,SF-D,1671,4,Egress1,1000.0
96.0,chain1,Ingress1,15,15,SF-A,767,22,SF-B,1228,11,SF-C,2303,7,SF-D,1535,3,Egress1,1000.0
97.0,chain1,Ingress1,16,16,SF-A,810,24,SF-B,1296,12,SF-C,2431,8,SF-D,1621,4,Egress1,1000.0
98.0,chain1,Ingress1,16,16,SF-A,840,24,SF-B,1344,12,SF-C,2521,8,SF-D,1681,4,Egress1,1000.0
99.0,chain1,Ingress1,16,16,SF-A,832,24,SF-B,1331,12,SF-C,2496,8,SF-D,1664,4,Egress1,1000.0
100.0,chain1,Ingress1,17,17,SF-A,879,25,SF-B,1407,12,SF-C,2638,8,SF-D,1759,4,Egress1,1000.0
101.0,chain1,Ingress1,13,13,SF-A,676,19,SF-B,1082,9,SF-C,2029,6,SF-D,1352,3,Egress1,1000.0
102.0,chain1,Ingress1,16,16,SF-A,847,24,SF-B,1356,12,SF-C,2543,8,SF-D,1695,4,Egress1,1000.0
103.0,chain1,Ingress1,14,14,SF-A,736,21,SF-B,1177,10,SF-C,2208,6,SF-D,1472,3,Egress1,1000.0
104.0,chain1,Ingress1,14,14,SF-A,728,21,SF-B,1165,10,SF-C,2185,6,SF-D,1456,3,Egress1,1000.0
105.0,chain1,Ingress1,17,17,SF-A,891,25,SF-B,1425,12,SF-C,2673,8,SF-D,1782,4,Egress1,1000.0
106.0,chain1,Ingress1,12,12,SF-A,600,18,SF-B,960,9,SF-C,1800,6,SF-D,1200,3,Egress1,1000.0
107.0,chain1,Ingress1,12,12,SF-A,621,18,SF-B,994,9,SF-C,1865,6,SF-D,1243,3,Egress1,1000.0
108.0,chain1,Ingress1,13,13,SF-A,651,19,SF-B,1042,9,SF-C,1954,6,SF-D,1302,3,Egress1,1000.0
109.0,chain1,Ingress1,13,13,SF-A,675,19,SF-B,1080,9,SF-C,2026,6,SF-D,1350,3,Egress1,1000.0
110.0,chain1,Ingress1,16,16,SF-A,829,24,SF-B,1327,12,SF-C,2489,8,SF-D,1659,4,Egress1,1000.0
111.0,chain1,Ingress1,17,17,SF-A,872,25,SF-B,1395,12,SF-C,2616,8,SF-D,1744,4,Egress1,1000.0
112.0,chain1,Ingress1,13,13,SF-A,692,19,SF-B,1108,9,SF-C,2077,6,SF-D,1385,3,Egress1,1000.0
113.0,chain1,Ingress1,13,13,SF-A,653,19,SF-B,1046,9,SF-C,1961,6,SF-D,1307,3,Egress1,1000.0
114.0,chain1,Ingress1,13,13,SF-A,653,19,SF-B,1046,9,SF-C,1961,6,SF-D,1307,3,Egress1,1000.0
115.0,chain1,Ingress1,12,12,SF-A,646,18,SF-B,1034,9,SF-C,1939,6,SF-D,1292,3,Egress1,1000.0
116.0,chain1,Ingress1,16,16,SF-A,844,24,SF-B,1351,12,SF-C,2533,8,SF-D,1689,4,Egress1,1000.0
117.0,chain1,Ingress1,13,13,SF-A,676,19,SF-B,1082,9,SF-C,2029,6,SF-D,1353,3,Egress1,1000.0
118.0,chain1,Ingress1,13,13,SF-A,650,19,SF-B,1040,9,SF-C,1951,6,SF-D,1301,3,Egress1,1000.0
119.0,chain1,Ingress1,17,17,SF-A,897,25,SF-B,1436,12,SF-C,2693,8,SF-D,1795,4,Egress1,1000.0
120.0,chain1,Ingress1,15,15,SF-A,787,22,SF-B,1260,11,SF-C,2363,7,SF-D,1575,3,Egress1,1000.0
121.0,chain1,Ingress1,13,13,SF-A,673,19,SF-B,1078,9,SF-C,2021,6,SF-D,1347,3,Egress1,1000.0
122.0,chain1,Ingress1,15,15,SF-A,755,22,SF-B,1208,11,SF-C,2265,7,SF-D,1510,3,Egress1,1000.0
123.0,chain1,Ingress1,17,17,SF-A,860,25,SF-B,1376,12,SF-C,2580,8,SF-D,1720,4,Egress1,1000.0
124.0,chain1,Ingress1,17,17,SF-A,870,25,SF-B,1392,12,SF-C,2611,8,SF-D,1741,4,Egress1,1000.0
125.0,chain1,Ingress1,16,16,SF-A,845,24,SF-B,1352,12,SF-C,2536,8,SF-D,1691,4,Egress1,1000.0
126.0,chain1,Ingress1,15,15,SF-A,766,22,SF-B,1225,11,SF-C,2298,7,SF-D,1532,3,Egress1,1000.0
127.0,chain1,Ingress1,12,12,SF-A,648,18,SF-B,1038,9,SF-C,1946,6,SF-D,1297,3,Egress1,1000.0
128.0,chain1,Ingress1,17,17,SF-A,892,25,SF-B,1427,12,SF-C,2676,8,SF-D,1784,4,Egress1,1000.0
129.0,chain1,Ingress1,14,14,SF-A,747,21,SF-B,1195,10,SF-C,2242,6,SF-D,1494,3,Egress1,1000.0
130.0,chain1,Ingress1,13,13,SF-A,695,19,SF-B,1112,9,SF-C,2086,6,SF-D,1390,3,Egress1,1000.0
131.0,chain1,Ingress1,16,16,SF-A,836,24,SF-B,1338,12,SF-C,2509,8,SF-D,1672,4,Egress1,1000.0
132.0,chain1,Ingress1,15,15,SF-A,791,22,SF-B,1265,11,SF-C,2373,7,SF-D,1582,3,Egress1,1000.0
133.0,chain1,Ingress1,12,12,SF-A,627,18,SF-B,1004,9,SF-C,1882,6,SF-D,1255,3,Egress1,1000.0
134.0,chain1,Ingress1,17,17,SF-A,896,25,SF-B,1433,12,SF-C,2688,8,SF-D,1792,4,Egress1,1000.0
135.0,chain1,Ingress1,15,15,SF-A,793,22,SF-B,1270,11,SF-C,2381,7,SF-D,1587,3,Egress1,1000.0
136.0,chain1,Ingress1,12,12,SF-A,645,18,SF-B,1033,9,SF-C,1937,6,SF-D,1291,3,Egress1,1000.0
137.0,chain1,Ingress1,13,13,SF-A,672,19,SF-B,1076,9,SF-C,2018,6,SF-D,1345,3,Egress1,1000.0
138.0,chain1,Ingress1,17,17,SF-A,855,25,SF-B,1368,12,SF-C,2565,8,SF-D,1710,4,Egress1,1000.0
139.0,chain1,Ingress1,14,14,SF-A,732,21,SF-B,1171,10,SF-C,2197,6,SF-D,1464,3,Egress1,1000.0
140.0,chain1,Ingress1,14,14,SF-A,706,21,SF-B,1130,10,SF-C,2120,6,SF-D,1413,3,Egress1,1000.0
141.0,chain1,Ingress1,14,14,SF-A,729,21,SF-B,1166,10,SF-C,2187,6,SF-D,1458,3,Egress1,1000.0
142.0,chain1,Ingress1,12,12,SF-A,631,18,SF-B,1011,9,SF-C,1895,6,SF-D,1263,3,Egress1,1000.0
143.0,chain1,Ingress1,16,16,SF-A,818,24,SF-B,1309,12,SF-C,2454,8,SF-D,1636,4,Egress1,1000.0
144.0,chain1,Ingress1,15,15,SF-A,790,22,SF-B,1264,11,SF-C,2371,7,SF-D,1581,3,Egress1,1000.0
145.0,chain1,Ingress1,16,16,SF-A,822,24,SF-B,1315,12,SF-C,2467,8,SF-D,1644,4,Egress1,1000.0
146.0,chain1,Ingress1,17,17,SF-A,880,25,SF-B,1409,12,SF-C,2642,8,SF-D,1761,4,Egress1,1000.0
147.0,chain1,Ingress1,14,14,SF-A,738,21,SF-B,1182,10,SF-C,2216,6,SF-D,1477,3,Egress1,1000.0
148.0,chain1,Ingress1,13,13,SF-A,693,19,SF-B,1109,9,SF-C,2080,6,SF-D,1387,3,Egress1,1000.0
149.0,chain1,Ingress1,16,16,SF-A,816,24,SF-B,1305,12,SF-C,2448,8,SF-D,1632,4,Egress1,1000.0
150.0,chain1,Ingress1,12,12,SF-A,618,18,SF-B,989,9,SF-C,1854,6,SF-D,1236,3,Egress1,1000.0
151.0,chain1,Ingress1,17,17,SF-A,894,25,SF-B,1431,12,SF-C,2684,8,SF-D,1789,4,Egress1,1000.0
152.0,chain1,Ingress1,17,17,SF-A,861,25,SF-B,1379,12,SF-C,2585,8,SF-D,1723,4,Egress1,1000.0
153.0,chain1,Ingress1,17,17,SF-A,879,25,SF-B,1407,12,SF-C,2638,8,SF-D,1759,4,Egress1,1000.0
154.0,chain1,Ingress1,17,17,SF-A,866,25,SF-B,1386,12,SF-C,2599,8,SF-D,1733,4,Egress1,1000.0
155.0,chain1,Ingress1,14,14,SF-A,712,21,SF-B,1140,10,SF-C,2137,6,SF-D,1425,3,Egress1,1000.0
156.0,chain1,Ingress1,13,13,SF-A,696,19,SF-B,1113,9,SF-C,2088,6,SF-D,1392,3,Egress1,1000.0
157.0,chain1,Ingress1,15,15,SF-A,755,22,SF-B,1208,11,SF-C,2265,7,SF-D,1510,3,Egress1,1000.0
158.0,chain1,Ingress1,15,15,SF-A,785,22,SF-B,1256,11,SF-C,2356,7,SF-D,1571,3,Egress1,1000.0
159.0,chain1,Ingress1,17,17,SF-A,894,25,SF-B,1430,12,SF-C,2682,8,SF-D,1788,4,Egress1,1000.0
160.0,chain1,Ingress1,15,15,SF-A,779,22,SF-B,1247,11,SF-C,2338,7,SF-D,1559,3,Egress1,1000.0
161.0,chain1,Ingress1,12,12,SF-A,607,18,SF-B,972,9,SF-C,1823,6,SF-D,1215,3,Egress1,1000.0
162.0,chain1,Ingress1,13,13,SF-A,687,19,SF-B,1100,9,SF-C,2063,6,SF-D,1375,3,Egress1,1000.0
163.0,chain1,Ingress1,16,16,SF-A,804,24,SF-B,1287,12,SF-C,2413,8,SF-D,1609,4,Egress1,1000.0
164.0,chain1,Ingress1,17,17,SF-A,876,25,SF-B,1402,12,SF-C,2629,8,SF-D,1753,4,Egress1,1000.0
165.0,chain1,Ingress1,14,14,SF-A,714,21,SF-B,1143,10,SF-C,2144,6,SF-D,1429,3,Egress1,1000.0
166.0,chain1,Ingress1,15,15,SF-A,781,22,SF-B,1250,11,SF-C,2344,7,SF-D,1563,3,Egress1,1000.0
167.0,chain1,Ingress1,14,14,SF-A,703,21,SF-B,1124,10,SF-C,2109,6,SF-D,1406,3,Egress1,1000.0
168.0,chain1,Ingress1,15,15,SF-A,794,22,SF-B,1271,11,SF-C,2384,7,SF-D,1589,3,Egress1,1000.0
169.0,chain1,Ingress1,14,14,SF-A,702,21,SF-B,1123,10,SF-C,2106,6,SF-D,1404,3,Egress1,1000.0
170.0,chain1,Ingress1,15,15,SF-A,762,22,SF-B,1219,11,SF-C,2286,7,SF-D,1524,3,Egress1,1000.0
171.0,chain1,Ingress1,14,14,SF-A,746,21,SF-B,1194,10,SF-C,2240,6,SF-D,1493,3,Egress1,1000.0
172.0,chain1,Ingress1,14,14,SF-A,703,21,SF-B,1125,10,SF-C,2110,6,SF-D,1406,3,Egress1,1000.0
173.0,chain1,Ingress1,12,12,SF-A,608,18,SF-B,973,9,SF-C,1824,6,SF-D,1216,3,Egress1,1000.0
174.0,chain1,Ingress1,14,14,SF-A,716,21,SF-B,1146,10,SF-C,2149,6,SF-D,1433,3,Egress1,1000.0
175.0,chain1,Ingress1,12,12,SF-A,647,18,SF-B,1035,9,SF-C,1941,6,SF-D,1294,3,Egress1,1000.0
176.0,chain1,Ingress1,15,15,SF-A,789,22,SF-B,1262,11,SF-C,2367,7,SF-D,1578,3,Egress1,1000.0
177.0,chain1,Ingress1,14,14,SF-A,713,21,SF-B,1141,10,SF-C,2139,6,SF-D,1426,3,Egress1,1000.0
178.0,chain1,Ingress1,12,12,SF-A,620,18,SF-B,993,9,SF-C,1862,6,SF-D,1241,3,Egress1,1000.0
179.0,chain1,Ingress1,12,12,SF-A,627,18,SF-B,1004,9,SF-C,1883,6,SF-D,1255,3,Egress1,1000.0
180.0,chain1,Ingress1,12,12,SF-A,647,18,SF-B,1035,9,SF-C,1941,6,SF-D,1294,3,Egress1,1000.0
181.0,chain1,Ingress1,16,16,SF-A,801,24,SF-B,1281,12,SF-C,2403,8,SF-D,1602,4,Egress1,1000.0
182.0,chain1,Ingress1,16,16,SF-A,822,24,SF-B,1315,12,SF-C,2466,8,SF-D,1644,4,Egress1,1000.0
183.0,chain1,Ingress1,12,12,SF-A,642,18,SF-B,1027,9,SF-C,1926,6,SF-D,1284,3,Egress1,1000.0
184.0,chain1,Ingress1,15,15,SF-A,762,22,SF-B,1219,11,SF-C,2287,7,SF-D,1524,3,Egress1,1000.0
185.0,chain1,Ingress1,16,16,SF-A,840,24,SF-B,1344,12,SF-C,2521,8,SF-D,1680,4,Egress1,1000.0
186.0,chain1,Ingress1,13,13,SF-A,688,19,SF-B,1101,9,SF-C,2064,6,SF-D,1376,3,Egress1,1000.0
187.0,chain1,Ingress1,15,15,SF-A,777,22,SF-B,1244,11,SF-C,2333,7,SF-D,1555,3,Egress1,1000.0
188.0,chain1,Ingress1,17,17,SF-A,886,25,SF-B,1418,12,SF-C,2659,8,SF-D,1772,4,Egress1,1000.0
189.0,chain1,Ingress1,14,14,SF-A,723,21,SF-B,1157,10,SF-C,2169,6,SF-D,1446,3,Egress1,1000.0
190.0,chain1,Ingress1,17,17,SF-A,858,25,SF-B,1373,12,SF-C,2574,8,SF-D,1716,4,Egress1,1000.0
191.0,chain1,Ingress1,14,14,SF-A,706,21,SF-B,1130,10,SF-C,2119,6,SF-D,1412,3,Egress1,1000.0
192.0,chain1,Ingress1,16,16,SF-A,848,24,SF-B,1357,12,SF-C,2545,8,SF-D,1696,4,Egress1,1000.0
193.0,chain1,Ingress1,17,17,SF-A,882,25,SF-B,1412,12,SF-C,2648,8,SF-D,1765,4,Egress1,1000.0
194.0,chain1,Ingress1,14,14,SF-A,723,21,SF-B,1157,10,SF-C,2169,6,SF-D,1446,3,Egress1,1000.0
195.0,chain1,Ingress1,17,17,SF-A,862,25,SF-B,1380,12,SF-C,2588,8,SF-D,1725,4,Egress1,1000.0
196.0,chain1,Ingress1,12,12,SF-A,645,18,SF-B,1033,9,SF-C,1937,6,SF-D,1291,3,Egress1,1000.0
197.0,chain1,Ingress1,12,12,SF-A,649,18,SF-B,1039,9,SF-C,1948,6,SF-D,1299,3,Egress1,1000.0
198.0,chain1,Ingress1,16,16,SF-A,823,24,SF-B,1317,12,SF-C,2470,8,SF-D,1646,4,Egress1,1000.0
199.0,chain1,Ingress1,17,17,SF-A,887,25,SF-B,1419,12,SF-C,2661,8,SF-D,1774,4,Egress1,1000.0
200.0,chain1,Ingress1,13,13,SF-A,677,19,SF-B,1084,9,SF-C,2033,6,SF-D,1355,3,Egress1,1000.0
201.0,chain1,Ingress1,13,13,SF-A,664,19,SF-B,1063,9,SF-C,1994,6,SF-D,1329,3,Egress1,1000.0
202.0,chain1,Ingress1,12,12,SF-A,627,18,SF-B,1003,9,SF-C,1881,6,SF-D,1254,3,Egress1,1000.0
203.0,chain1,Ingress1,15,15,SF-A,786,22,SF-B,1258,11,SF-C,2360,7,SF-D,1573,3,Egress1,1000.0
