time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
28.0,chain2,Ingress3,12,12,SF-A,606,18,SF-B,969,9,SF-D,1212,5,Egress2,1000.0
29.0,chain2,Ingress3,7,7,SF-A,360,10,SF-B,576,5,SF-D,720,2,Egress2,1000.0
30.0,chain2,Ingress3,14,14,SF-A,747,21,SF-B,1195,10,SF-D,1494,5,Egress2,1000.0
31.0,chain2,Ingress3,13,13,SF-A,667,19,SF-B,1067,9,SF-D,1334,5,Egress2,1000.0
32.0,chain2,Ingress3,9,9,SF-A,489,13,SF-B,782,6,SF-D,978,3,Egress2,1000.0
33.0,chain2,Ingress3,8,8,SF-A,400,12,SF-B,641,6,SF-D,801,3,Egress2,1000.0
34.0,chain2,Ingress3,14,14,SF-A,701,21,SF-B,1121,10,SF-D,1402,5,Egress2,1000.0
35.0,chain2,Ingress3,6,6,SF-A,333,9,SF-B,532,4,SF-D,666,2,Egress2,1000.0
36.0,chain2,Ingress3,7,7,SF-A,362,10,SF-B,579,5,SF-D,724,2,Egress2,1000.0
37.0,chain2,Ingress3,12,12,SF-A,629,18,SF-B,1007,9,SF-D,1259,5,Egress2,1000.0
38.0,chain2,Ingress3,6,6,SF-A,347,9,SF-B,555,4,SF-D,694,2,Egress2,1000.0
39.0,chain2,Ingress3,8,8,SF-A,427,12,SF-B,683,6,SF-D,854,3,Egress2,1000.0
40.0,chain2,Ingress3,8,8,SF-A,449,12,SF-B,719,6,SF-D,899,3,Egress2,1000.0
41.0,chain2,Ingress3,10,10,SF-A,537,15,SF-B,859,7,SF-D,1074,3,Egress2,1000.0
42.0,chain2,Ingress3,5,5,SF-A,286,7,SF-B,459,3,SF-D,573,1,Egress2,1000.0
43.0,chain2,Ingress3,9,9,SF-A,462,13,SF-B,740,6,SF-D,925,3,Egress2,1000.0
44.0,chain2,Ingress3,13,13,SF-A,660,19,SF-B,1056,9,SF-D,1320,5,Egress2,1000.0
45.0,chain2,Ingress3,11,11,SF-A,579,16,SF-B,927,8,SF-D,1159,4,Egress2,1000.0
46.0,chain2,Ingress3,6,6,SF-A,302,9,SF-B,483,4,SF-D,604,2,Egress2,1000.0
47.0,chain2,Ingress3,7,7,SF-A,368,10,SF-B,590,5,SF-D,737,2,Egress2,1000.0
48.0,chain2,Ingress3,10,10,SF-A,536,15,SF-B,859,7,SF-D,1073,3,Egress2,1000.0
49.0,chain2,Ingress3,13,13,SF-A,678,19,SF-B,1085,9,SF-D,1357,5,Egress2,1000.0
50.0,chain2,Ingress3,5,5,SF-A,268,7,SF-B,429,3,SF-D,537,1,Egress2,1000.0
51.0,chain2,Ingress3,5,5,SF-A,276,7,SF-B,441,3,SF-D,552,1,Egress2,1000.0
52.0,chain2,Ingress3,14,14,SF-A,749,21,SF-B,1199,10,SF-D,1499,5,Egress2,1000.0
53.0,chain2,Ingress3,5,5,SF-A,283,7,SF-B,452,3,SF-D,566,1,Egress2,1000.0
54.0,chain2,Ingress3,14,14,SF-A,742,21,SF-B,1187,10,SF-D,1484,5,Egress2,1000.0
55.0,chain2,Ingress3,12,12,SF-A,619,18,SF-B,991,9,SF-D,1239,5,Egress2,1000.0
56.0,chain2,Ingress3,11,11,SF-A,578,16,SF-B,925,8,SF-D,1156,4,Egress2,1000.0
57.0,chain2,Ingress3,6,6,SF-A,347,9,SF-B,555,4,SF-D,694,2,Egress2,1000.0
58.0,chain2,Ingress3,12,12,SF-A,611,18,SF-B,977,9,SF-D,1222,5,Egress2,1000.0
59.0,chain2,Ingress3,11,11,SF-A,550,16,SF-B,881,8,SF-D,1101,4,Egress2,1000.0
60.0,chain2,Ingress3,5,5,SF-A,251,7,SF-B,401,3,SF-D,502,1,Egress2,1000.0
61.0,chain2,Ingress3,12,12,SF-A,601,18,SF-B,962,9,SF-D,1203,5,Egress2,1000.0
62.0,chain2,Ingress3,14,14,SF-A,737,21,SF-B,1179,10,SF-D,1474,5,Egress2,1000.0
63.0,chain2,Ingress3,11,11,SF-A,574,16,SF-B,919,8,SF-D,1149,4,Egress2,1000.0
64.0,chain2,Ingress3,13,13,SF-A,666,19,SF-B,1066,9,SF-D,1333,5,Egress2,1000.0
65.0,chain2,Ingress3,8,8,SF-A,449,12,SF-B,719,6,SF-D,899,3,Egress2,1000.0
66.0,chain2,Ingress3,6,6,SF-A,329,9,SF-B,527,4,SF-D,658,2,Egress2,1000.0
67.0,chain2,Ingress3,5,5,SF-A,289,7,SF-B,462,3,SF-D,578,1,Egress2,1000.0
68.0,chain2,Ingress3,9,9,SF-A,458,13,SF-B,733,6,SF-D,917,3,Egress2,1000.0
69.0,chain2,Ingress3,11,11,SF-A,584,16,SF-B,935,8,SF-D,1169,4,Egress2,1000.0
70.0,chain2,Ingress3,5,5,SF-A,282,7,SF-B,451,3,SF-D,564,1,Egress2,1000.0
71.0,chain2,Ingress3,7,7,SF-A,385,10,SF-B,617,5,SF-D,771,2,Egress2,1000.0
72.0,chain2,Ingress3,10,10,SF-A,507,15,SF-B,812,7,SF-D,1015,3,Egress2,1000.0
73.0,chain2,Ingress3,6,6,SF-A,305,9,SF-B,488,4,SF-D,610,2,Egress2,1000.0
74.0,chain2,Ingress3,11,11,SF-A,557,16,SF-B,892,8,SF-D,1115,4,Egress2,1000.0
75.0,chain2,Ingress3,7,7,SF-A,368,10,SF-B,588,5,SF-D,736,2,Egress2,1000.0
76.0,chain2,Ingress3,9,9,SF-A,467,13,SF-B,748,6,SF-D,935,3,Egress2,1000.0
77.0,chain2,Ingress3,6,6,SF-A,309,9,SF-B,495,4,SF-D,619,2,Egress2,1000.0
78.0,chain2,Ingress3,9,9,SF-A,480,13,SF-B,769,6,SF-D,961,3,Egress2,1000.0
79.0,chain2,Ingress3,8,8,SF-A,449,12,SF-B,718,6,SF-D,898,3,Egress2,1000.0
80.0,chain2,Ingress3,11,11,SF-A,590,16,SF-B,944,8,SF-D,1181,4,Egress2,1000.0
81.0,chain2,Ingress3,8,8,SF-A,407,12,SF-B,651,6,SF-D,814,3,Egress2,1000.0
82.0,chain2,Ingress3,8,8,SF-A,407,12,SF-B,652,6,SF-D,815,3,Egress2,1000.0
83.0,chain2,Ingress3,9,9,SF-A,464,13,SF-B,742,6,SF-D,928,3,Egress2,1000.0
84.0,chain2,Ingress3,8,8,SF-A,416,12,SF-B,666,6,SF-D,832,3,Egress2,1000.0
85.0,chain2,Ingress3,8,8,SF-A,422,12,SF-B,676,6,SF-D,845,3,Egress2,1000.0
86.0,chain2,Ingress3,6,6,SF-A,335,9,SF-B,537,4,SF-D,671,2,Egress2,1000.0
87.0,chain2,Ingress3,13,13,SF-A,656,19,SF-B,1050,9,SF-D,1313,5,Egress2,1000.0
88.0,chain2,Ingress3,13,13,SF-A,683,19,SF-B,1092,9,SF-D,1366,5,Egress2,1000.0
89.0,chain2,Ingress3,7,7,SF-A,399,10,SF-B,639,5,SF-D,799,2,Egress2,1000.0
90.0,chain2,Ingress3,6,6,SF-A,301,9,SF-B,482,4,SF-D,603,2,Egress2,1000.0
91.0,chain2,Ingress3,5,5,SF-A,264,7,SF-B,423,3,SF-D,529,1,Egress2,1000.0
92.0,chain2,Ingress3,13,13,SF-A,653,19,SF-B,1045,9,SF-D,1307,5,Egress2,1000.0
93.0,chain2,Ingress3,10,10,SF-A,549,15,SF-B,878,7,SF-D,1098,3,Egress2,1000.0
94.0,chain2,Ingress3,11,11,SF-A,591,16,SF-B,946,8,SF-D,1183,4,Egress2,1000.0
95.0,chain2,Ingress3,7,7,SF-A,387,10,SF-B,619,5,SF-D,774,2,Egress2,1000.0
96.0,chain2,Ingress3,12,12,SF-A,604,18,SF-B,967,9,SF-D,1209,5,Egress2,1000.0
97.0,chain2,Ingress3,13,13,SF-A,670,19,SF-B,1072,9,SF-D,1340,5,Egress2,1000.0
98.0,chain2,Ingress3,12,12,SF-A,645,18,SF-B,1032,9,SF-D,1290,5,Egress2,1000.0
99.0,chain2,Ingress3,12,12,SF-A,606,18,SF-B,969,9,SF-D,1212,5,Egress2,1000.0
100.0,chain2,Ingress3,10,10,SF-A,522,15,SF-B,835,7,SF-D,1044,3,Egress2,1000.0
101.0,chain2,Ingress3,6,6,SF-A,318,9,SF-B,508,4,SF-D,636,2,Egress2,1000.0
102.0,chain2,Ingress3,10,10,SF-A,525,15,SF-B,840,7,SF-D,1050,3,Egress2,1000.0
103.0,chain2,Ingress3,10,10,SF-A,545,15,SF-B,872,7,SF-D,1090,3,Egress2,1000.0
104.0,chain2,Ingress3,13,13,SF-A,678,19,SF-B,1086,9,SF-D,1357,5,Egress2,1000.0
105.0,chain2,Ingress3,13,13,SF-A,698,19,SF-B,1117,9,SF-D,1396,5,Egress2,1000.0
106.0,chain2,Ingress3,10,10,SF-A,544,15,SF-B,871,7,SF-D,1089,3,Egress2,1000.0
