time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
21.0,chain4,Ingress4,15,15,SF-B,1204,7,SF-C,1050,4,Egress4,1000.0
22.0,chain4,Ingress4,11,11,SF-B,918,5,SF-C,750,3,Egress4,1000.0
23.0,chain4,Ingress4,12,12,SF-B,1004,6,SF-C,900,4,Egress4,1000.0
24.0,chain4,Ingress4,15,15,SF-B,1243,7,SF-C,1050,4,Egress4,1000.0
25.0,chain4,Ingress4,13,13,SF-B,1086,6,SF-C,900,4,Egress4,1000.0
26.0,chain4,Ingress4,15,15,SF-B,1277,7,SF-C,1050,4,Egress4,1000.0
27.0,chain4,Ingress4,11,11,SF-B,959,5,SF-C,750,3,Egress4,1000.0
28.0,chain4,Ingress4,15,15,SF-B,1201,7,SF-C,1050,4,Egress4,1000.0
29.0,chain4,Ingress4,14,14,SF-B,1168,7,SF-C,1050,4,Egress4,1000.0
30.0,chain4,Ingress4,15,15,SF-B,1248,7,SF-C,1050,4,Egress4,1000.0
31.0,chain4,Ingress4,11,11,SF-B,896,5,SF-C,750,3,Egress4,1000.0
32.0,chain4,Ingress4,14,14,SF-B,1198,7,SF-C,1050,4,Egress4,1000.0
33.0,chain4,Ingress4,16,16,SF-B,1342,8,SF-C,1200,5,Egress4,1000.0
34.0,chain4,Ingress4,12,12,SF-B,965,6,SF-C,900,4,Egress4,1000.0
35.0,chain4,Ingress4,12,12,SF-B,974,6,SF-C,900,4,Egress4,1000.0
36.0,chain4,Ingress4,11,11,SF-B,909,5,SF-C,750,3,Egress4,1000.0
37.0,chain4,Ingress4,15,15,SF-B,1212,7,SF-C,1050,4,Egress4,1000.0
38.0,chain4,Ingress4,12,12,SF-B,994,6,SF-C,900,4,Egress4,1000.0
39.0,chain4,Ingress4,13,13,SF-B,1053,6,SF-C,900,4,Egress4,1000.0
40.0,chain4,Ingress4,12,12,SF-B,972,6,SF-C,900,4,Egress4,1000.0
41.0,chain4,Ingress4,11,11,SF-B,910,5,SF-C,750,3,Egress4,1000.0
42.0,chain4,Ingress4,13,13,SF-B,1105,6,SF-C,900,4,Egress4,1000.0
43.0,chain4,Ingress4,12,12,SF-B,991,6,SF-C,900,4,Egress4,1000.0
44.0,chain4,Ingress4,11,11,SF-B,904,5,SF-C,750,3,Egress4,1000.0
45.0,chain4,Ingress4,12,12,SF-B,970,6,SF-C,900,4,Egress4,1000.0
46.0,chain4,Ingress4,13,13,SF-B,1090,6,SF-C,900,4,Egress4,1000.0
47.0,chain4,Ingress4,12,12,SF-B,996,6,SF-C,900,4,Egress4,1000.0
48.0,chain4,Ingress4,14,14,SF-B,1123,7,SF-C,1050,4,Egress4,1000.0
49.0,chain4,Ingress4,13,13,SF-B,1068,6,SF-C,900,4,Egress4,1000.0
50.0,chain4,Ingress4,16,16,SF-B,1303,8,SF-C,1200,5,Egress4,1000.0
51.0,chain4,Ingress4,12,12,SF-B,1008,6,SF-C,900,4,Egress4,1000.0
52.0,chain4,Ingress4,14,14,SF-B,1176,7,SF-C,1050,4,Egress4,1000.0
53.0,chain4,Ingress4,16,16,SF-B,1335,8,SF-C,1200,5,Egress4,1000.0
54.0,chain4,Ingress4,13,13,SF-B,1089,6,SF-C,900,4,Egress4,1000.0
55.0,chain4,Ingress4,15,15,SF-B,1203,7,SF-C,1050,4,Egress4,1000.0
56.0,chain4,Ingress4,12,12,SF-B,975,6,SF-C,900,4,Egress4,1000.0
57.0,chain4,Ingress4,13,13,SF-B,1108,6,SF-C,900,4,Egress4,1000.0
58.0,chain4,Ingress4,13,13,SF-B,1094,6,SF-C,900,4,Egress4,1000.0
59.0,chain4,Ingress4,11,11,SF-B,955,5,SF-C,750,3,Egress4,1000.0
60.0,chain4,Ingress4,13,13,SF-B,1084,6,SF-C,900,4,Egress4,1000.0
61.0,chain4,Ingress4,13,13,SF-B,1063,6,SF-C,900,4,Egress4,1000.0
62.0,chain4,Ingress4,14,14,SF-B,1129,7,SF-C,1050,4,Egress4,1000.0
63.0,chain4,Ingress4,14,14,SF-B,1129,7,SF-C,1050,4,Egress4,1000.0
64.0,chain4,Ingress4,16,16,SF-B,1325,8,SF-C,1200,5,Egress4,1000.0
65.0,chain4,Ingress4,12,12,SF-B,967,6,SF-C,900,4,Egress4,1000.0
66.0,chain4,Ingress4,12,12,SF-B,972,6,SF-C,900,4,Egress4,1000.0
67.0,chain4,Ingress4,15,15,SF-B,1204,7,SF-C,1050,4,Egress4,1000.0
68.0,chain4,Ingress4,15,15,SF-B,1241,7,SF-C,1050,4,Egress4,1000.0
69.0,chain4,Ingress4,12,12,SF-B,1032,6,SF-C,900,4,Egress4,1000.0
70.0,chain4,Ingress4,15,15,SF-B,1200,7,SF-C,1050,4,Egress4,1000.0
71.0,chain4,Ingress4,16,16,SF-B,1328,8,SF-C,1200,5,Egress4,1000.0
72.0,chain4,Ingress4,15,15,SF-B,1213,7,SF-C,1050,4,Egress4,1000.0
73.0,chain4,Ingress4,16,16,SF-B,1313,8,SF-C,1200,5,Egress4,1000.0
74.0,chain4,Ingress4,15,15,SF-B,1275,7,SF-C,1050,4,Egress4,1000.0
75.0,chain4,Ingress4,12,12,SF-B,964,6,SF-C,900,4,Egress4,1000.0
76.0,chain4,Ingress4,13,13,SF-B,1097,6,SF-C,900,4,Egress4,1000.0
77.0,chain4,Ingress4,15,15,SF-B,1214,7,SF-C,1050,4,Egress4,1000.0
78.0,chain4,Ingress4,12,12,SF-B,1013,6,SF-C,900,4,Egress4,1000.0
79.0,chain4,Ingress4,11,11,SF-B,956,5,SF-C,750,3,Egress4,1000.0
80.0,chain4,Ingress4,16,16,SF-B,1309,8,SF-C,1200,5,Egress4,1000.0
81.0,chain4,Ingress4,15,15,SF-B,1220,7,SF-C,1050,4,Egress4,1000.0
82.0,chain4,Ingress4,12,12,SF-B,966,6,SF-C,900,4,Egress4,1000.0
83.0,chain4,Ingress4,12,12,SF-B,981,6,SF-C,900,4,Egress4,1000.0
84.0,chain4,Ingress4,11,11,SF-B,958,5,SF-C,750,3,Egress4,1000.0
85.0,chain4,Ingress4,15,15,SF-B,1268,7,SF-C,1050,4,Egress4,1000.0
86.0,chain4,Ingress4,12,12,SF-B,1015,6,SF-C,900,4,Egress4,1000.0
87.0,chain4,Ingress4,15,15,SF-B,1202,7,SF-C,1050,4,Egress4,1000.0
88.0,chain4,Ingress4,12,12,SF-B,1020,6,SF-C,900,4,Egress4,1000.0
89.0,chain4,Ingress4,15,15,SF-B,1248,7,SF-C,1050,4,Egress4,1000.0
90.0,chain4,Ingress4,15,15,SF-B,1246,7,SF-C,1050,4,Egress4,1000.0
91.0,chain4,Ingress4,14,14,SF-B,1152,7,SF-C,1050,4,Egress4,1000.0
92.0,chain4,Ingress4,14,14,SF-B,1166,7,SF-C,1050,4,Egress4,1000.0
93.0,chain4,Ingress4,11,11,SF-B,898,5,SF-C,750,3,Egress4,1000.0
94.0,chain4,Ingress4,13,13,SF-B,1099,6,SF-C,900,4,Egress4,1000.0
95.0,chain4,Ingress4,16,16,SF-B,1284,8,SF-C,1200,5,Egress4,1000.0
96.0,chain4,Ingress4,12,12,SF-B,965,6,SF-C,900,4,Egress4,1000.0
97.0,chain4,Ingress4,15,15,SF-B,1261,7,SF-C,1050,4,Egress4,1000.0
98.0,chain4,Ingress4,16,16,SF-B,1304,8,SF-C,1200,5,Egress4,1000.0
99.0,chain4,Ingress4,14,14,SF-B,1193,7,SF-C,1050,4,Egress4,1000.0
100.0,chain4,Ingress4,15,15,SF-B,1249,7,SF-C,1050,4,Egress4,1000.0
101.0,chain4,Ingress4,16,16,SF-B,1295,8,SF-C,1200,5,Egress4,1000.0
102.0,chain4,Ingress4,11,11,SF-B,955,5,SF-C,750,3,Egress4,1000.0
103.0,chain4,Ingress4,16,16,SF-B,1290,8,SF-C,1200,5,Egress4,1000.0
104.0,chain4,Ingress4,16,16,SF-B,1330,8,SF-C,1200,5,Egress4,1000.0
105.0,chain4,Ingress4,13,13,SF-B,1107,6,SF-C,900,4,Egress4,1000.0
106.0,chain4,Ingress4,14,14,SF-B,1188,7,SF-C,1050,4,Egress4,1000.0
107.0,chain4,Ingress4,15,15,SF-B,1201,7,SF-C,1050,4,Egress4,1000.0
108.0,chain4,Ingress4,14,14,SF-B,1134,7,SF-C,1050,4,Egress4,1000.0
109.0,chain4,Ingress4,11,11,SF-B,921,5,SF-C,750,3,Egress4,1000.0
110.0,chain4,Ingress4,15,15,SF-B,1207,7,SF-C,1050,4,Egress4,1000.0
111.0,chain4,Ingress4,15,15,SF-B,1263,7,SF-C,1050,4,Egress4,1000.0
112.0,chain4,Ingress4,15,15,SF-B,1258,7,SF-C,1050,4,Egress4,1000.0
113.0,chain4,Ingress4,16,16,SF-B,1312,8,SF-C,1200,5,Egress4,1000.0
114.0,chain4,Ingress4,11,11,SF-B,917,5,SF-C,750,3,Egress4,1000.0
115.0,chain4,Ingress4,13,13,SF-B,1063,6,SF-C,900,4,Egress4,1000.0
116.0,chain4,Ingress4,12,12,SF-B,984,6,SF-C,900,4,Egress4,1000.0
117.0,chain4,Ingress4,13,13,SF-B,1109,6,SF-C,900,4,Egress4,1000.0
118.0,chain4,Ingress4,12,12,SF-B,1038,6,SF-C,900,4,Egress4,1000.0
119.0,chain4,Ingress4,11,11,SF-B,948,5,SF-C,750,3,Egress4,1000.0
120.0,chain4,Ingress4,15,15,SF-B,1253,7,SF-C,1050,4,Egress4,1000.0
121.0,chain4,Ingress4,11,11,SF-B,916,5,SF-C,750,3,Egress4,1000.0
122.0,chain4,Ingress4,15,15,SF-B,1259,7,SF-C,1050,4,Egress4,1000.0
123.0,chain4,Ingress4,15,15,SF-B,1211,7,SF-C,1050,4,Egress4,1000.0
124.0,chain4,Ingress4,15,15,SF-B,1203,7,SF-C,1050,4,Egress4,1000.0
125.0,chain4,Ingress4,16,16,SF-B,1283,8,SF-C,1200,5,Egress4,1000.0
126.0,chain4,Ingress4,12,12,SF-B,976,6,SF-C,900,4,Egress4,1000.0
127.0,chain4,Ingress4,13,13,SF-B,1100,6,SF-C,900,4,Egress4,1000.0
128.0,chain4,Ingress4,14,14,SF-B,1129,7,SF-C,1050,4,Egress4,1000.0
129.0,chain4,Ingress4,16,16,SF-B,1322,8,SF-C,1200,5,Egress4,1000.0
130.0,chain4,Ingress4,15,15,SF-B,1231,7,SF-C,1050,4,Egress4,1000.0
131.0,chain4,Ingress4,11,11,SF-B,945,5,SF-C,750,3,Egress4,1000.0
132.0,chain4,Ingress4,14,14,SF-B,1193,7,SF-C,1050,4,Egress4,1000.0
133.0,chain4,Ingress4,15,15,SF-B,1263,7,SF-C,1050,4,Egress4,1000.0
134.0,chain4,Ingress4,11,11,SF-B,911,5,SF-C,750,3,Egress4,1000.0
135.0,chain4,Ingress4,16,16,SF-B,1321,8,SF-C,1200,5,Egress4,1000.0
136.0,chain4,Ingress4,14,14,SF-B,1168,7,SF-C,1050,4,Egress4,1000.0
137.0,chain4,Ingress4,15,15,SF-B,1212,7,SF-C,1050,4,Egress4,1000.0
138.0,chain4,Ingress4,12,12,SF-B,1011,6,SF-C,900,4,Egress4,1000.0
139.0,chain4,Ingress4,12,12,SF-B,1030,6,SF-C,900,4,Egress4,1000.0
140.0,chain4,Ingress4,16,16,SF-B,1340,8,SF-C,1200,5,Egress4,1000.0
141.0,chain4,Ingress4,13,13,SF-B,1054,6,SF-C,900,4,Egress4,1000.0
142.0,chain4,Ingress4,11,11,SF-B,955,5,SF-C,750,3,Egress4,1000.0
143.0,chain4,Ingress4,16,16,SF-B,1283,8,SF-C,1200,5,Egress4,1000.0
144.0,chain4,Ingress4,16,16,SF-B,1338,8,SF-C,1200,5,Egress4,1000.0
145.0,chain4,Ingress4,12,12,SF-B,987,6,SF-C,900,4,Egress4,1000.0
146.0,chain4,Ingress4,14,14,SF-B,1141,7,SF-C,1050,4,Egress4,1000.0
147.0,chain4,Ingress4,14,14,SF-B,1173,7,SF-C,1050,4,Egress4,1000.0
148.0,chain4,Ingress4,11,11,SF-B,920,5,SF-C,750,3,Egress4,1000.0
149.0,chain4,Ingress4,16,16,SF-B,1328,8,SF-C,1200,5,Egress4,1000.0
150.0,chain4,Ingress4,16,16,SF-B,1333,8,SF-C,1200,5,Egress4,1000.0
151.0,chain4,Ingress4,13,13,SF-B,1052,6,SF-C,900,4,Egress4,1000.0
152.0,chain4,Ingress4,12,12,SF-B,996,6,SF-C,900,4,Egress4,1000.0
153.0,chain4,Ingress4,11,11,SF-B,947,5,SF-C,750,3,Egress4,1000.0
154.0,chain4,Ingress4,13,13,SF-B,1118,6,SF-C,900,4,Egress4,1000.0
155.0,chain4,Ingress4,12,12,SF-B,966,6,SF-C,900,4,Egress4,1000.0
156.0,chain4,Ingress4,16,16,SF-B,1333,8,SF-C,1200,5,Egress4,1000.0
157.0,chain4,Ingress4,14,14,SF-B,1134,7,SF-C,1050,4,Egress4,1000.0
158.0,chain4,Ingress4,15,15,SF-B,1229,7,SF-C,1050,4,Egress4,1000.0
159.0,chain4,Ingress4,12,12,SF-B,1036,6,SF-C,900,4,Egress4,1000.0
160.0,chain4,Ingress4,15,15,SF-B,1259,7,SF-C,1050,4,Egress4,1000.0
161.0,chain4,Ingress4,12,12,SF-B,963,6,SF-C,900,4,Egress4,1000.0
162.0,chain4,Ingress4,16,16,SF-B,1295,8,SF-C,1200,5,Egress4,1000.0
163.0,chain4,Ingress4,12,12,SF-B,987,6,SF-C,900,4,Egress4,1000.0
164.0,chain4,Ingress4,16,16,SF-B,1317,8,SF-C,1200,5,Egress4,1000.0
165.0,chain4,Ingress4,15,15,SF-B,1213,7,SF-C,1050,4,Egress4,1000.0
166.0,chain4,Ingress4,12,12,SF-B,1003,6,SF-C,900,4,Egress4,1000.0
167.0,chain4,Ingress4,15,15,SF-B,1222,7,SF-C,1050,4,Egress4,1000.0
168.0,chain4,Ingress4,14,14,SF-B,1165,7,SF-C,1050,4,Egress4,1000.0
169.0,chain4,Ingress4,12,12,SF-B,976,6,SF-C,900,4,Egress4,1000.0
170.0,chain4,Ingress4,14,14,SF-B,1141,7,SF-C,1050,4,Egress4,1000.0
171.0,chain4,Ingress4,16,16,SF-B,1342,8,SF-C,1200,5,Egress4,1000.0
172.0,chain4,Ingress4,14,14,SF-B,1172,7,SF-C,1050,4,Egress4,1000.0
173.0,chain4,Ingress4,14,14,SF-B,1182,7,SF-C,1050,4,Egress4,1000.0
174.0,chain4,Ingress4,11,11,SF-B,897,5,SF-C,750,3,Egress4,1000.0
175.0,chain4,Ingress4,13,13,SF-B,1095,6,SF-C,900,4,Egress4,1000.0
176.0,chain4,Ingress4,12,12,SF-B,977,6,SF-C,900,4,Egress4,1000.0
177.0,chain4,Ingress4,13,13,SF-B,1058,6,SF-C,900,4,Egress4,1000.0
178.0,chain4,Ingress4,15,15,SF-B,1277,7,SF-C,1050,4,Egress4,1000.0
179.0,chain4,Ingress4,11,11,SF-B,959,5,SF-C,750,3,Egress4,1000.0
180.0,chain4,Ingress4,13,13,SF-B,1102,6,SF-C,900,4,Egress4,1000.0
181.0,chain4,Ingress4,12,12,SF-B,1038,6,SF-C,900,4,Egress4,1000.0
182.0,chain4,Ingress4,16,16,SF-B,1320,8,SF-C,1200,5,Egress4,1000.0
183.0,chain4,Ingress4,13,13,SF-B,1048,6,SF-C,900,4,Egress4,1000.0
184.0,chain4,Ingress4,13,13,SF-B,1067,6,SF-C,900,4,Egress4,1000.0
185.0,chain4,Ingress4,15,15,SF-B,1248,7,SF-C,1050,4,Egress4,1000.0
186.0,chain4,Ingress4,16,16,SF-B,1338,8,SF-C,1200,5,Egress4,1000.0
187.0,chain4,Ingress4,13,13,SF-B,1051,6,SF-C,900,4,Egress4,1000.0
188.0,chain4,Ingress4,13,13,SF-B,1047,6,SF-C,900,4,Egress4,1000.0
189.0,chain4,Ingress4,12,12,SF-B,978,6,SF-C,900,4,Egress4,1000.0
190.0,chain4,Ingress4,11,11,SF-B,954,5,SF-C,750,3,Egress4,1000.0
191.0,chain4,Ingress4,15,15,SF-B,1262,7,SF-C,1050,4,Egress4,1000.0
192.0,chain4,Ingress4,15,15,SF-B,1205,7,SF-C,1050,4,Egress4,1000.0
193.0,chain4,Ingress4,15,15,SF-B,1242,7,SF-C,1050,4,Egress4,1000.0
194.0,chain4,Ingress4,11,11,SF-B,934,5,SF-C,750,3,Egress4,1000.0
195.0,chain4,Ingress4,15,15,SF-B,1224,7,SF-C,1050,4,Egress4,1000.0
196.0,chain4,Ingress4,12,12,SF-B,973,6,SF-C,900,4,Egress4,1000.0
197.0,chain4,Ingress4,12,12,SF-B,1026,6,SF-C,900,4,Egress4,1000.0
198.0,chain4,Ingress4,14,14,SF-B,1131,7,SF-C,1050,4,Egress4,1000.0
199.0,chain4,Ingress4,13,13,SF-B,1061,6,SF-C,900,4,Egress4,1000.0
200.0,chain4,Ingress4,14,14,SF-B,1135,7,SF-C,1050,4,Egress4,1000.0
201.0,chain4,Ingress4,15,15,SF-B,1230,7,SF-C,1050,4,Egress4,1000.0
202.0,chain4,Ingress4,15,15,SF-B,1239,7,SF-C,1050,4,Egress4,1000.0
203.0,chain4,Ingress4,14,14,SF-B,1166,7,SF-C,1050,4,Egress4,1000.0
204.0,chain4,Ingress4,15,15,SF-B,1259,7,SF-C,1050,4,Egress4,1000.0
205.0,chain4,Ingress4,15,15,SF-B,1279,7,SF-C,1050,4,Egress4,1000.0
206.0,chain4,Ingress4,11,11,SF-B,950,5,SF-C,750,3,Egress4,1000.0
207.0,chain4,Ingress4,16,16,SF-B,1306,8,SF-C,1200,5,Egress4,1000.0
208.0,chain4,Ingress4,14,14,SF-B,1123,7,SF-C,1050,4,Egress4,1000.0
209.0,chain4,Ingress4,15,15,SF-B,1279,7,SF-C,1050,4,Egress4,1000.0
210.0,chain4,Ingress4,15,15,SF-B,1277,7,SF-C,1050,4,Egress4,1000.0
211.0,chain4,Ingress4,12,12,SF-B,981,6,SF-C,900,4,Egress4,1000.0
212.0,chain4,Ingress4,16,16,SF-B,1289,8,SF-C,1200,5,Egress4,1000.0
213.0,chain4,Ingress4,15,15,SF-B,1264,7,SF-C,1050,4,Egress4,1000.0
214.0,chain4,Ingress4,11,11,SF-B,916,5,SF-C,750,3,Egress4,1000.0
215.0,chain4,Ingress4,11,11,SF-B,907,5,SF-C,750,3,Egress4,1000.0
216.0,chain4,Ingress4,14,14,SF-B,1168,7,SF-C,1050,4,Egress4,1000.0
217.0,chain4,Ingress4,12,12,SF-B,970,6,SF-C,900,4,Egress4,1000.0
218.0,chain4,Ingress4,16,16,SF-B,1338,8,SF-C,1200,5,Egress4,1000.0
219.0,chain4,Ingress4,16,16,SF-B,1288,8,SF-C,1200,5,Egress4,1000.0
220.0,chain4,Ingress4,11,11,SF-B,930,5,SF-C,750,3,Egress4,1000.0
221.0,chain4,Ingress4,16,16,SF-B,1301,8,SF-C,1200,5,Egress4,1000.0
222.0,chain4,Ingress4,13,13,SF-B,1080,6,SF-C,900,4,Egress4,1000.0
223.0,chain4,Ingress4,14,14,SF-B,1130,7,SF-C,1050,4,Egress4,1000.0
224.0,chain4,Ingress4,11,11,SF-B,938,5,SF-C,750,3,Egress4,1000.0
225.0,chain4,Ingress4,15,15,SF-B,1231,7,SF-C,1050,4,Egress4,1000.0
226.0,chain4,Ingress4,14,14,SF-B,1143,7,SF-C,1050,4,Egress4,1000.0
227.0,chain4,Ingress4,13,13,SF-B,1093,6,SF-C,900,4,Egress4,1000.0
228.0,chain4,Ingress4,12,12,SF-B,979,6,SF-C,900,4,Egress4,1000.0
229.0,chain4,Ingress4,12,12,SF-B,1003,6,SF-C,900,4,Egress4,1000.0
230.0,chain4,Ingress4,13,13,SF-B,1080,6,SF-C,900,4,Egress4,1000.0
231.0,chain4,Ingress4,16,16,SF-B,1337,8,SF-C,1200,5,Egress4,1000.0
232.0,chain4,Ingress4,16,16,SF-B,1333,8,SF-C,1200,5,Egress4,1000.0
233.0,chain4,Ingress4,13,13,SF-B,1044,6,SF-C,900,4,Egress4,1000.0
234.0,chain4,Ingress4,12,12,SF-B,979,6,SF-C,900,4,Egress4,1000.0
235.0,chain4,Ingress4,13,13,SF-B,1103,6,SF-C,900,4,Egress4,1000.0
236.0,chain4,Ingress4,11,11,SF-B,955,5,SF-C,750,3,Egress4,1000.0
237.0,chain4,Ingress4,13,13,SF-B,1118,6,SF-C,900,4,Egress4,1000.0
238.0,chain4,Ingress4,13,13,SF-B,1099,6,SF-C,900,4,Egress4,1000.0
239.0,chain4,Ingress4,11,11,SF-B,920,5,SF-C,750,3,Egress4,1000.0
240.0,chain4,Ingress4,14,14,SF-B,1172,7,SF-C,1050,4,Egress4,1000.0
241.0,chain4,Ingress4,16,16,SF-B,1290,8,SF-C,1200,5,Egress4,1000.0
242.0,chain4,Ingress4,16,16,SF-B,1305,8,SF-C,1200,5,Egress4,1000.0
243.0,chain4,Ingress4,14,14,SF-B,1182,7,SF-C,1050,4,Egress4,1000.0
244.0,chain4,Ingress4,15,15,SF-B,1267,7,SF-C,1050,4,Egress4,1000.0
245.0,chain4,Ingress4,16,16,SF-B,1285,8,SF-C,1200,5,Egress4,1000.0
246.0,chain4,Ingress4,16,16,SF-B,1296,8,SF-C,1200,5,Egress4,1000.0
247.0,chain4,Ingress4,15,15,SF-B,1234,7,SF-C,1050,4,Egress4,1000.0
248.0,chain4,Ingress4,15,15,SF-B,1243,7,SF-C,1050,4,Egress4,1000.0
249.0,chain4,Ingress4,12,12,SF-B,979,6,SF-C,900,4,Egress4,1000.0
250.0,chain4,Ingress4,13,13,SF-B,1075,6,SF-C,900,4,Egress4,1000.0
251.0,chain4,Ingress4,16,16,SF-B,1302,8,SF-C,1200,5,Egress4,1000.0
252.0,chain4,Ingress4,13,13,SF-B,1064,6,SF-C,900,4,Egress4,1000.0
253.0,chain4,Ingress4,12,12,SF-B,964,6,SF-C,900,4,Egress4,1000.0
254.0,chain4,Ingress4,15,15,SF-B,1227,7,SF-C,1050,4,Egress4,1000.0
255.0,chain4,Ingress4,15,15,SF-B,1269,7,SF-C,1050,4,Egress4,1000.0
256.0,chain4,Ingress4,15,15,SF-B,1237,7,SF-C,1050,4,Egress4,1000.0
257.0,chain4,Ingress4,13,13,SF-B,1086,6,SF-C,900,4,Egress4,1000.0
258.0,chain4,Ingress4,11,11,SF-B,924,5,SF-C,750,3,Egress4,1000.0
259.0,chain4,Ingress4,15,15,SF-B,1218,7,SF-C,1050,4,Egress4,1000.0
260.0,chain4,Ingress4,15,15,SF-B,1253,7,SF-C,1050,4,Egress4,1000.0
261.0,chain4,Ingress4,16,16,SF-B,1322,8,SF-C,1200,5,Egress4,1000.0
262.0,chain4,Ingress4,13,13,SF-B,1095,6,SF-C,900,4,Egress4,1000.0
263.0,chain4,Ingress4,15,15,SF-B,1227,7,SF-C,1050,4,Egress4,1000.0
264.0,chain4,Ingress4,11,11,SF-B,957,5,SF-C,750,3,Egress4,1000.0
265.0,chain4,Ingress4,12,12,SF-B,1015,6,SF-C,900,4,Egress4,1000.0
266.0,chain4,Ingress4,11,11,SF-B,942,5,SF-C,750,3,Egress4,1000.0
267.0,chain4,Ingress4,14,14,SF-B,1151,7,SF-C,1050,4,Egress4,1000.0
268.0,chain4,Ingress4,15,15,SF-B,1226,7,SF-C,1050,4,Egress4,1000.0
269.0,chain4,Ingress4,14,14,SF-B,1154,7,SF-C,1050,4,Egress4,1000.0
270.0,chain4,Ingress4,13,13,SF-B,1075,6,SF-C,900,4,Egress4,1000.0
271.0,chain4,Ingress4,13,13,SF-B,1105,6,SF-C,900,4,Egress4,1000.0
272.0,chain4,Ingress4,11,11,SF-B,946,5,SF-C,750,3,Egress4,1000.0
273.0,chain4,Ingress4,12,12,SF-B,967,6,SF-C,900,4,Egress4,1000.0
274.0,chain4,Ingress4,15,15,SF-B,1213,7,SF-C,1050,4,Egress4,1000.0
275.0,chain4,Ingress4,15,15,SF-B,1236,7,SF-C,1050,4,Egress4,1000.0
276.0,chain4,Ingress4,15,15,SF-B,1200,7,SF-C,1050,4,Egress4,1000.0
277.0,chain4,Ingress4,14,14,SF-B,1190,7,SF-C,1050,4,Egress4,1000.0
278.0,chain4,Ingress4,13,13,SF-B,1044,6,SF-C,900,4,Egress4,1000.0
279.0,chain4,Ingress4,14,14,SF-B,1152,7,SF-C,1050,4,Egress4,1000.0
280.0,chain4,Ingress4,12,12,SF-B,1033,6,SF-C,900,4,Egress4,1000.0
281.0,chain4,Ingress4,15,15,SF-B,1273,7,SF-C,1050,4,Egress4,1000.0
282.0,chain4,Ingress4,13,13,SF-B,1062,6,SF-C,900,4,Egress4,1000.0
283.0,chain4,Ingress4,15,15,SF-B,1272,7,SF-C,1050,4,Egress4,1000.0
284.0,chain4,Ingress4,14,14,SF-B,1170,7,SF-C,1050,4,Egress4,1000.0
285.0,chain4,Ingress4,16,16,SF-B,1299,8,SF-C,1200,5,Egress4,1000.0
286.0,chain4,Ingress4,13,13,SF-B,1115,6,SF-C,900,4,Egress4,1000.0
287.0,chain4,Ingress4,14,14,SF-B,1155,7,SF-C,1050,4,Egress4,1000.0
288.0,chain4,Ingress4,15,15,SF-B,1232,7,SF-C,1050,4,Egress4,1000.0
289.0,chain4,Ingress4,14,14,SF-B,1183,7,SF-C,1050,4,Egress4,1000.0
290.0,chain4,Ingress4,12,12,SF-B,988,6,SF-C,900,4,Egress4,1000.0
291.0,chain4,Ingress4,11,11,SF-B,951,5,SF-C,750,3,Egress4,1000.0
