time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
60.0,chain10,Ingress10,12,12,SF-B,1015,6,SF-E,1200,10,Egress10,1000.0
61.0,chain10,Ingress10,13,13,SF-B,1110,6,SF-E,1200,10,Egress10,1000.0
62.0,chain10,Ingress10,16,16,SF-B,1353,8,SF-E,1600,13,Egress10,1000.0
63.0,chain10,Ingress10,16,16,SF-B,1339,8,SF-E,1600,13,Egress10,1000.0
64.0,chain10,Ingress10,12,12,SF-B,1000,6,SF-E,1200,10,Egress10,1000.0
65.0,chain10,Ingress10,13,13,SF-B,1092,6,SF-E,1200,10,Egress10,1000.0
66.0,chain10,Ingress10,12,12,SF-B,1037,6,SF-E,1200,10,Egress10,1000.0
67.0,chain10,Ingress10,15,15,SF-B,1259,7,SF-E,1400,11,Egress10,1000.0
68.0,chain10,Ingress10,15,15,SF-B,1250,7,SF-E,1400,11,Egress10,1000.0
69.0,chain10,Ingress10,16,16,SF-B,1308,8,SF-E,1600,13,Egress10,1000.0
70.0,chain10,Ingress10,15,15,SF-B,1253,7,SF-E,1400,11,Egress10,1000.0
71.0,chain10,Ingress10,14,14,SF-B,1129,7,SF-E,1400,11,Egress10,1000.0
72.0,chain10,Ingress10,17,17,SF-B,1431,8,SF-E,1600,13,Egress10,1000.0
73.0,chain10,Ingress10,13,13,SF-B,1068,6,SF-E,1200,10,Egress10,1000.0
74.0,chain10,Ingress10,13,13,SF-B,1096,6,SF-E,1200,10,Egress10,1000.0
75.0,chain10,Ingress10,13,13,SF-B,1093,6,SF-E,1200,10,Egress10,1000.0
76.0,chain10,Ingress10,12,12,SF-B,1005,6,SF-E,1200,10,Egress10,1000.0
77.0,chain10,Ingress10,12,12,SF-B,1014,6,SF-E,1200,10,Egress10,1000.0
78.0,chain10,Ingress10,17,17,SF-B,1438,8,SF-E,1600,13,Egress10,1000.0
79.0,chain10,Ingress10,17,17,SF-B,1416,8,SF-E,1600,13,Egress10,1000.0
80.0,chain10,Ingress10,15,15,SF-B,1204,7,SF-E,1400,11,Egress10,1000.0
81.0,chain10,Ingress10,16,16,SF-B,1334,8,SF-E,1600,13,Egress10,1000.0
82.0,chain10,Ingress10,17,17,SF-B,1390,8,SF-E,1600,13,Egress10,1000.0
83.0,chain10,Ingress10,12,12,SF-B,1004,6,SF-E,1200,10,Egress10,1000.0
84.0,chain10,Ingress10,13,13,SF-B,1077,6,SF-E,1200,10,Egress10,1000.0
85.0,chain10,Ingress10,13,13,SF-B,1061,6,SF-E,1200,10,Egress10,1000.0
86.0,chain10,Ingress10,16,16,SF-B,1352,8,SF-E,1600,13,Egress10,1000.0
87.0,chain10,Ingress10,12,12,SF-B,985,6,SF-E,1200,10,Egress10,1000.0
88.0,chain10,Ingress10,12,12,SF-B,1019,6,SF-E,1200,10,Egress10,1000.0
89.0,chain10,Ingress10,16,16,SF-B,1288,8,SF-E,1600,13,Egress10,1000.0
90.0,chain10,Ingress10,15,15,SF-B,1234,7,SF-E,1400,11,Egress10,1000.0
91.0,chain10,Ingress10,17,17,SF-B,1413,8,SF-E,1600,13,Egress10,1000.0
92.0,chain10,Ingress10,14,14,SF-B,1192,7,SF-E,1400,11,Egress10,1000.0
93.0,chain10,Ingress10,14,14,SF-B,1148,7,SF-E,1400,11,Egress10,1000.0
94.0,chain10,Ingress10,17,17,SF-B,1368,8,SF-E,1600,13,Egress10,1000.0
95.0,chain10,Ingress10,15,15,SF-B,1228,7,SF-E,1400,11,Egress10,1000.0
96.0,chain10,Ingress10,16,16,SF-B,1311,8,SF-E,1600,13,Egress10,1000.0
97.0,chain10,Ingress10,14,14,SF-B,1170,7,SF-E,1400,11,Egress10,1000.0
98.0,chain10,Ingress10,17,17,SF-B,1393,8,SF-E,1600,13,Egress10,1000.0
99.0,chain10,Ingress10,17,17,SF-B,1400,8,SF-E,1600,13,Egress10,1000.0
100.0,chain10,Ingress10,13,13,SF-B,1083,6,SF-E,1200,10,Egress10,1000.0
101.0,chain10,Ingress10,13,13,SF-B,1062,6,SF-E,1200,10,Egress10,1000.0
102.0,chain10,Ingress10,15,15,SF-B,1226,7,SF-E,1400,11,Egress10,1000.0
103.0,chain10,Ingress10,13,13,SF-B,1092,6,SF-E,1200,10,Egress10,1000.0
104.0,chain10,Ingress10,12,12,SF-B,978,6,SF-E,1200,10,Egress10,1000.0
105.0,chain10,Ingress10,13,13,SF-B,1080,6,SF-E,1200,10,Egress10,1000.0
106.0,chain10,Ingress10,15,15,SF-B,1206,7,SF-E,1400,11,Egress10,1000.0
107.0,chain10,Ingress10,13,13,SF-B,1040,6,SF-E,1200,10,Egress10,1000.0
108.0,chain10,Ingress10,17,17,SF-B,1416,8,SF-E,1600,13,Egress10,1000.0
109.0,chain10,Ingress10,14,14,SF-B,1172,7,SF-E,1400,11,Egress10,1000.0
110.0,chain10,Ingress10,17,17,SF-B,1415,8,SF-E,1600,13,Egress10,1000.0
111.0,chain10,Ingress10,16,16,SF-B,1320,8,SF-E,1600,13,Egress10,1000.0
112.0,chain10,Ingress10,16,16,SF-B,1303,8,SF-E,1600,13,Egress10,1000.0
113.0,chain10,Ingress10,14,14,SF-B,1152,7,SF-E,1400,11,Egress10,1000.0
114.0,chain10,Ingress10,15,15,SF-B,1206,7,SF-E,1400,11,Egress10,1000.0
115.0,chain10,Ingress10,12,12,SF-B,993,6,SF-E,1200,10,Egress10,1000.0
116.0,chain10,Ingress10,12,12,SF-B,1008,6,SF-E,1200,10,Egress10,1000.0
117.0,chain10,Ingress10,14,14,SF-B,1133,7,SF-E,1400,11,Egress10,1000.0
118.0,chain10,Ingress10,14,14,SF-B,1137,7,SF-E,1400,11,Egress10,1000.0
119.0,chain10,Ingress10,13,13,SF-B,1044,6,SF-E,1200,10,Egress10,1000.0
120.0,chain10,Ingress10,12,12,SF-B,970,6,SF-E,1200,10,Egress10,1000.0
121.0,chain10,Ingress10,16,16,SF-B,1327,8,SF-E,1600,13,Egress10,1000.0
122.0,chain10,Ingress10,16,16,SF-B,1344,8,SF-E,1600,13,Egress10,1000.0
123.0,chain10,Ingress10,17,17,SF-B,1425,8,SF-E,1600,13,Egress10,1000.0
124.0,chain10,Ingress10,12,12,SF-B,1000,6,SF-E,1200,10,Egress10,1000.0
125.0,chain10,Ingress10,16,16,SF-B,1294,8,SF-E,1600,13,Egress10,1000.0
126.0,chain10,Ingress10,17,17,SF-B,1366,8,SF-E,1600,13,Egress10,1000.0
127.0,chain10,Ingress10,15,15,SF-B,1205,7,SF-E,1400,11,Egress10,1000.0
128.0,chain10,Ingress10,14,14,SF-B,1127,7,SF-E,1400,11,Egress10,1000.0
129.0,chain10,Ingress10,12,12,SF-B,968,6,SF-E,1200,10,Egress10,1000.0
130.0,chain10,Ingress10,17,17,SF-B,1405,8,SF-E,1600,13,Egress10,1000.0
131.0,chain10,Ingress10,17,17,SF-B,1423,8,SF-E,1600,13,Egress10,1000.0
132.0,chain10,Ingress10,15,15,SF-B,1201,7,SF-E,1400,11,Egress10,1000.0
133.0,chain10,Ingress10,15,15,SF-B,1224,7,SF-E,1400,11,Egress10,1000.0
134.0,chain10,Ingress10,14,14,SF-B,1186,7,SF-E,1400,11,Egress10,1000.0
135.0,chain10,Ingress10,17,17,SF-B,1383,8,SF-E,1600,13,Egress10,1000.0
136.0,chain10,Ingress10,17,17,SF-B,1361,8,SF-E,1600,13,Egress10,1000.0
137.0,chain10,Ingress10,16,16,SF-B,1328,8,SF-E,1600,13,Egress10,1000.0
138.0,chain10,Ingress10,16,16,SF-B,1286,8,SF-E,1600,13,Egress10,1000.0
139.0,chain10,Ingress10,17,17,SF-B,1378,8,SF-E,1600,13,Egress10,1000.0
140.0,chain10,Ingress10,15,15,SF-B,1212,7,SF-E,1400,11,Egress10,1000.0
141.0,chain10,Ingress10,15,15,SF-B,1246,7,SF-E,1400,11,Egress10,1000.0
142.0,chain10,Ingress10,12,12,SF-B,992,6,SF-E,1200,10,Egress10,1000.0
143.0,chain10,Ingress10,13,13,SF-B,1060,6,SF-E,1200,10,Egress10,1000.0
144.0,chain10,Ingress10,14,14,SF-B,1196,7,SF-E,1400,11,Egress10,1000.0
145.0,chain10,Ingress10,13,13,SF-B,1110,6,SF-E,1200,10,Egress10,1000.0
146.0,chain10,Ingress10,15,15,SF-B,1244,7,SF-E,1400,11,Egress10,1000.0
147.0,chain10,Ingress10,14,14,SF-B,1182,7,SF-E,1400,11,Egress10,1000.0
148.0,chain10,Ingress10,14,14,SF-B,1129,7,SF-E,1400,11,Egress10,1000.0
149.0,chain10,Ingress10,15,15,SF-B,1256,7,SF-E,1400,11,Egress10,1000.0
150.0,chain10,Ingress10,17,17,SF-B,1385,8,SF-E,1600,13,Egress10,1000.0
151.0,chain10,Ingress10,17,17,SF-B,1405,8,SF-E,1600,13,Egress10,1000.0
152.0,chain10,Ingress10,15,15,SF-B,1201,7,SF-E,1400,11,Egress10,1000.0
153.0,chain10,Ingress10,12,12,SF-B,1018,6,SF-E,1200,10,Egress10,1000.0
154.0,chain10,Ingress10,16,16,SF-B,1287,8,SF-E,1600,13,Egress10,1000.0
155.0,chain10,Ingress10,15,15,SF-B,1215,7,SF-E,1400,11,Egress10,1000.0
156.0,chain10,Ingress10,13,13,SF-B,1119,6,SF-E,1200,10,Egress10,1000.0
157.0,chain10,Ingress10,13,13,SF-B,1071,6,SF-E,1200,10,Egress10,1000.0
158.0,chain10,Ingress10,14,14,SF-B,1193,7,SF-E,1400,11,Egress10,1000.0
159.0,chain10,Ingress10,12,12,SF-B,1021,6,SF-E,1200,10,Egress10,1000.0
160.0,chain10,Ingress10,14,14,SF-B,1157,7,SF-E,1400,11,Egress10,1000.0
161.0,chain10,Ingress10,16,16,SF-B,1303,8,SF-E,1600,13,Egress10,1000.0
162.0,chain10,Ingress10,16,16,SF-B,1356,8,SF-E,1600,13,Egress10,1000.0
163.0,chain10,Ingress10,17,17,SF-B,1419,8,SF-E,1600,13,Egress10,1000.0
164.0,chain10,Ingress10,17,17,SF-B,1425,8,SF-E,1600,13,Egress10,1000.0
165.0,chain10,Ingress10,13,13,SF-B,1110,6,SF-E,1200,10,Egress10,1000.0
166.0,chain10,Ingress10,15,15,SF-B,1242,7,SF-E,1400,11,Egress10,1000.0
167.0,chain10,Ingress10,14,14,SF-B,1170,7,SF-E,1400,11,Egress10,1000.0
168.0,chain10,Ingress10,15,15,SF-B,1217,7,SF-E,1400,11,Egress10,1000.0
169.0,chain10,Ingress10,17,17,SF-B,1411,8,SF-E,1600,13,Egress10,1000.0
170.0,chain10,Ingress10,16,16,SF-B,1340,8,SF-E,1600,13,Egress10,1000.0
171.0,chain10,Ingress10,17,17,SF-B,1393,8,SF-E,1600,13,Egress10,1000.0
172.0,chain10,Ingress10,17,17,SF-B,1418,8,SF-E,1600,13,Egress10,1000.0
173.0,chain10,Ingress10,15,15,SF-B,1217,7,SF-E,1400,11,Egress10,1000.0
174.0,chain10,Ingress10,17,17,SF-B,1404,8,SF-E,1600,13,Egress10,1000.0
175.0,chain10,Ingress10,13,13,SF-B,1102,6,SF-E,1200,10,Egress10,1000.0
176.0,chain10,Ingress10,17,17,SF-B,1383,8,SF-E,1600,13,Egress10,1000.0
177.0,chain10,Ingress10,14,14,SF-B,1179,7,SF-E,1400,11,Egress10,1000.0
178.0,chain10,Ingress10,14,14,SF-B,1159,7,SF-E,1400,11,Egress10,1000.0
179.0,chain10,Ingress10,15,15,SF-B,1206,7,SF-E,1400,11,Egress10,1000.0
180.0,chain10,Ingress10,14,14,SF-B,1144,7,SF-E,1400,11,Egress10,1000.0
181.0,chain10,Ingress10,13,13,SF-B,1101,6,SF-E,1200,10,Egress10,1000.0
182.0,chain10,Ingress10,17,17,SF-B,1397,8,SF-E,1600,13,Egress10,1000.0
183.0,chain10,Ingress10,17,17,SF-B,1380,8,SF-E,1600,13,Egress10,1000.0
184.0,chain10,Ingress10,16,16,SF-B,1312,8,SF-E,1600,13,Egress10,1000.0
185.0,chain10,Ingress10,14,14,SF-B,1153,7,SF-E,1400,11,Egress10,1000.0
186.0,chain10,Ingress10,12,12,SF-B,1015,6,SF-E,1200,10,Egress10,1000.0
187.0,chain10,Ingress10,14,14,SF-B,1179,7,SF-E,1400,11,Egress10,1000.0
188.0,chain10,Ingress10,13,13,SF-B,1104,6,SF-E,1200,10,Egress10,1000.0
189.0,chain10,Ingress10,13,13,SF-B,1098,6,SF-E,1200,10,Egress10,1000.0
190.0,chain10,Ingress10,12,12,SF-B,997,6,SF-E,1200,10,Egress10,1000.0
191.0,chain10,Ingress10,17,17,SF-B,1418,8,SF-E,1600,13,Egress10,1000.0
192.0,chain10,Ingress10,14,14,SF-B,1177,7,SF-E,1400,11,Egress10,1000.0
193.0,chain10,Ingress10,16,16,SF-B,1288,8,SF-E,1600,13,Egress10,1000.0
194.0,chain10,Ingress10,12,12,SF-B,1021,6,SF-E,1200,10,Egress10,1000.0
195.0,chain10,Ingress10,13,13,SF-B,1062,6,SF-E,1200,10,Egress10,1000.0
196.0,chain10,Ingress10,13,13,SF-B,1046,6,SF-E,1200,10,Egress10,1000.0
197.0,chain10,Ingress10,14,14,SF-B,1123,7,SF-E,1400,11,Egress10,1000.0
198.0,chain10,Ingress10,17,17,SF-B,1396,8,SF-E,1600,13,Egress10,1000.0
199.0,chain10,Ingress10,15,15,SF-B,1222,7,SF-E,1400,11,Egress10,1000.0
200.0,chain10,Ingress10,12,12,SF-B,1039,6,SF-E,1200,10,Egress10,1000.0
201.0,chain10,Ingress10,13,13,SF-B,1064,6,SF-E,1200,10,Egress10,1000.0
202.0,chain10,Ingress10,16,16,SF-B,1355,8,SF-E,1600,13,Egress10,1000.0
203.0,chain10,Ingress10,16,16,SF-B,1288,8,SF-E,1600,13,Egress10,1000.0
204.0,chain10,Ingress10,12,12,SF-B,1010,6,SF-E,1200,10,Egress10,1000.0
205.0,chain10,Ingress10,12,12,SF-B,977,6,SF-E,1200,10,Egress10,1000.0
206.0,chain10,Ingress10,12,12,SF-B,1032,6,SF-E,1200,10,Egress10,1000.0
207.0,chain10,Ingress10,15,15,SF-B,1262,7,SF-E,1400,11,Egress10,1000.0
208.0,chain10,Ingress10,13,13,SF-B,1117,6,SF-E,1200,10,Egress10,1000.0
209.0,chain10,Ingress10,15,15,SF-B,1259,7,SF-E,1400,11,Egress10,1000.0
210.0,chain10,Ingress10,16,16,SF-B,1324,8,SF-E,1600,13,Egress10,1000.0
211.0,chain10,Ingress10,14,14,SF-B,1153,7,SF-E,1400,11,Egress10,1000.0
212.0,chain10,Ingress10,17,17,SF-B,1372,8,SF-E,1600,13,Egress10,1000.0
213.0,chain10,Ingress10,15,15,SF-B,1231,7,SF-E,1400,11,Egress10,1000.0
214.0,chain10,Ingress10,15,15,SF-B,1227,7,SF-E,1400,11,Egress10,1000.0
215.0,chain10,Ingress10,17,17,SF-B,1374,8,SF-E,1600,13,Egress10,1000.0
216.0,chain10,Ingress10,13,13,SF-B,1118,6,SF-E,1200,10,Egress10,1000.0
217.0,chain10,Ingress10,16,16,SF-B,1321,8,SF-E,1600,13,Egress10,1000.0
218.0,chain10,Ingress10,17,17,SF-B,1376,8,SF-E,1600,13,Egress10,1000.0
219.0,chain10,Ingress10,15,15,SF-B,1230,7,SF-E,1400,11,Egress10,1000.0
220.0,chain10,Ingress10,14,14,SF-B,1147,7,SF-E,1400,11,Egress10,1000.0
221.0,chain10,Ingress10,16,16,SF-B,1287,8,SF-E,1600,13,Egress10,1000.0
222.0,chain10,Ingress10,13,13,SF-B,1071,6,SF-E,1200,10,Egress10,1000.0
223.0,chain10,Ingress10,16,16,SF-B,1359,8,SF-E,1600,13,Egress10,1000.0
224.0,chain10,Ingress10,12,12,SF-B,994,6,SF-E,1200,10,Egress10,1000.0
225.0,chain10,Ingress10,15,15,SF-B,1218,7,SF-E,1400,11,Egress10,1000.0
226.0,chain10,Ingress10,12,12,SF-B,969,6,SF-E,1200,10,Egress10,1000.0
227.0,chain10,Ingress10,12,12,SF-B,1013,6,SF-E,1200,10,Egress10,1000.0
228.0,chain10,Ingress10,14,14,SF-B,1131,7,SF-E,1400,11,Egress10,1000.0
229.0,chain10,Ingress10,17,17,SF-B,1370,8,SF-E,1600,13,Egress10,1000.0
230.0,chain10,Ingress10,17,17,SF-B,1401,8,SF-E,1600,13,Egress10,1000.0
231.0,chain10,Ingress10,15,15,SF-B,1219,7,SF-E,1400,11,Egress10,1000.0
232.0,chain10,Ingress10,14,14,SF-B,1141,7,SF-E,1400,11,Egress10,1000.0
233.0,chain10,Ingress10,16,16,SF-B,1302,8,SF-E,1600,13,Egress10,1000.0
234.0,chain10,Ingress10,12,12,SF-B,1010,6,SF-E,1200,10,Egress10,1000.0
235.0,chain10,Ingress10,16,16,SF-B,1334,8,SF-E,1600,13,Egress10,1000.0
236.0,chain10,Ingress10,13,13,SF-B,1080,6,SF-E,1200,10,Egress10,1000.0
237.0,chain10,Ingress10,13,13,SF-B,1044,6,SF-E,1200,10,Egress10,1000.0
238.0,chain10,Ingress10,16,16,SF-B,1304,8,SF-E,1600,13,Egress10,1000.0
239.0,chain10,Ingress10,16,16,SF-B,1328,8,SF-E,1600,13,Egress10,1000.0
240.0,chain10,Ingress10,12,12,SF-B,978,6,SF-E,1200,10,Egress10,1000.0
241.0,chain10,Ingress10,15,15,SF-B,1249,7,SF-E,1400,11,Egress10,1000.0
242.0,chain10,Ingress10,13,13,SF-B,1094,6,SF-E,1200,10,Egress10,1000.0
243.0,chain10,Ingress10,17,17,SF-B,1377,8,SF-E,1600,13,Egress10,1000.0
244.0,chain10,Ingress10,13,13,SF-B,1109,6,SF-E,1200,10,Egress10,1000.0
245.0,chain10,Ingress10,14,14,SF-B,1127,7,SF-E,1400,11,Egress10,1000.0
246.0,chain10,Ingress10,14,14,SF-B,1175,7,SF-E,1400,11,Egress10,1000.0
247.0,chain10,Ingress10,15,15,SF-B,1203,7,SF-E,1400,11,Egress10,1000.0
248.0,chain10,Ingress10,14,14,SF-B,1196,7,SF-E,1400,11,Egress10,1000.0
249.0,chain10,Ingress10,16,16,SF-B,1343,8,SF-E,1600,13,Egress10,1000.0
250.0,chain10,Ingress10,13,13,SF-B,1087,6,SF-E,1200,10,Egress10,1000.0
251.0,chain10,Ingress10,14,14,SF-B,1192,7,SF-E,1400,11,Egress10,1000.0
252.0,chain10,Ingress10,12,12,SF-B,977,6,SF-E,1200,10,Egress10,1000.0
253.0,chain10,Ingress10,16,16,SF-B,1311,8,SF-E,1600,13,Egress10,1000.0
254.0,chain10,Ingress10,17,17,SF-B,1415,8,SF-E,1600,13,Egress10,1000.0
255.0,chain10,Ingress10,13,13,SF-B,1054,6,SF-E,1200,10,Egress10,1000.0
256.0,chain10,Ingress10,13,13,SF-B,1086,6,SF-E,1200,10,Egress10,1000.0
257.0,chain10,Ingress10,17,17,SF-B,1363,8,SF-E,1600,13,Egress10,1000.0
258.0,chain10,Ingress10,13,13,SF-B,1101,6,SF-E,1200,10,Egress10,1000.0
259.0,chain10,Ingress10,17,17,SF-B,1419,8,SF-E,1600,13,Egress10,1000.0
260.0,chain10,Ingress10,14,14,SF-B,1187,7,SF-E,1400,11,Egress10,1000.0
261.0,chain10,Ingress10,17,17,SF-B,1394,8,SF-E,1600,13,Egress10,1000.0
262.0,chain10,Ingress10,16,16,SF-B,1347,8,SF-E,1600,13,Egress10,1000.0
263.0,chain10,Ingress10,14,14,SF-B,1122,7,SF-E,1400,11,Egress10,1000.0
264.0,chain10,Ingress10,14,14,SF-B,1174,7,SF-E,1400,11,Egress10,1000.0
265.0,chain10,Ingress10,14,14,SF-B,1169,7,SF-E,1400,11,Egress10,1000.0
266.0,chain10,Ingress10,17,17,SF-B,1392,8,SF-E,1600,13,Egress10,1000.0
267.0,chain10,Ingress10,14,14,SF-B,1195,7,SF-E,1400,11,Egress10,1000.0
268.0,chain10,Ingress10,12,12,SF-B,997,6,SF-E,1200,10,Egress10,1000.0
269.0,chain10,Ingress10,17,17,SF-B,1391,8,SF-E,1600,13,Egress10,1000.0
270.0,chain10,Ingress10,14,14,SF-B,1167,7,SF-E,1400,11,Egress10,1000.0
271.0,chain10,Ingress10,12,12,SF-B,1039,6,SF-E,1200,10,Egress10,1000.0
272.0,chain10,Ingress10,13,13,SF-B,1071,6,SF-E,1200,10,Egress10,1000.0
273.0,chain10,Ingress10,13,13,SF-B,1054,6,SF-E,1200,10,Egress10,1000.0
274.0,chain10,Ingress10,16,16,SF-B,1310,8,SF-E,1600,13,Egress10,1000.0
275.0,chain10,Ingress10,13,13,SF-B,1119,6,SF-E,1200,10,Egress10,1000.0
276.0,chain10,Ingress10,17,17,SF-B,1390,8,SF-E,1600,13,Egress10,1000.0
277.0,chain10,Ingress10,17,17,SF-B,1374,8,SF-E,1600,13,Egress10,1000.0
278.0,chain10,Ingress10,13,13,SF-B,1117,6,SF-E,1200,10,Egress10,1000.0
279.0,chain10,Ingress10,17,17,SF-B,1377,8,SF-E,1600,13,Egress10,1000.0
280.0,chain10,Ingress10,15,15,SF-B,1238,7,SF-E,1400,11,Egress10,1000.0
281.0,chain10,Ingress10,13,13,SF-B,1082,6,SF-E,1200,10,Egress10,1000.0
282.0,chain10,Ingress10,14,14,SF-B,1139,7,SF-E,1400,11,Egress10,1000.0
283.0,chain10,Ingress10,15,15,SF-B,1206,7,SF-E,1400,11,Egress10,1000.0
284.0,chain10,Ingress10,14,14,SF-B,1148,7,SF-E,1400,11,Egress10,1000.0
285.0,chain10,Ingress10,12,12,SF-B,996,6,SF-E,1200,10,Egress10,1000.0
286.0,chain10,Ingress10,13,13,SF-B,1049,6,SF-E,1200,10,Egress10,1000.0
287.0,chain10,Ingress10,16,16,SF-B,1340,8,SF-E,1600,13,Egress10,1000.0
