time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
28.0,chain14,Ingress14,9,9,SF-C,1448,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
29.0,chain14,Ingress14,9,9,SF-C,1383,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
30.0,chain14,Ingress14,10,10,SF-C,1595,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
31.0,chain14,Ingress14,10,10,SF-C,1603,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
32.0,chain14,Ingress14,10,10,SF-C,1590,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
33.0,chain14,Ingress14,11,11,SF-C,1755,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
34.0,chain14,Ingress14,9,9,SF-C,1359,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
35.0,chain14,Ingress14,9,9,SF-C,1475,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
36.0,chain14,Ingress14,8,8,SF-C,1292,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
37.0,chain14,Ingress14,10,10,SF-C,1533,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
38.0,chain14,Ingress14,9,9,SF-C,1465,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
39.0,chain14,Ingress14,10,10,SF-C,1646,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
40.0,chain14,Ingress14,8,8,SF-C,1276,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
41.0,chain14,Ingress14,8,8,SF-C,1323,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
42.0,chain14,Ingress14,10,10,SF-C,1570,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
43.0,chain14,Ingress14,11,11,SF-C,1723,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
44.0,chain14,Ingress14,9,9,SF-C,1410,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
45.0,chain14,Ingress14,10,10,SF-C,1630,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
46.0,chain14,Ingress14,10,10,SF-C,1510,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
47.0,chain14,Ingress14,9,9,SF-C,1417,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
48.0,chain14,Ingress14,8,8,SF-C,1210,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
49.0,chain14,Ingress14,8,8,SF-C,1252,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
50.0,chain14,Ingress14,9,9,SF-C,1478,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
51.0,chain14,Ingress14,10,10,SF-C,1522,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
52.0,chain14,Ingress14,11,11,SF-C,1691,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
53.0,chain14,Ingress14,9,9,SF-C,1391,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
54.0,chain14,Ingress14,10,10,SF-C,1555,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
55.0,chain14,Ingress14,8,8,SF-C,1282,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
56.0,chain14,Ingress14,8,8,SF-C,1281,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
57.0,chain14,Ingress14,9,9,SF-C,1457,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
58.0,chain14,Ingress14,10,10,SF-C,1642,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
59.0,chain14,Ingress14,9,9,SF-C,1444,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
60.0,chain14,Ingress14,9,9,SF-C,1422,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
61.0,chain14,Ingress14,10,10,SF-C,1595,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
62.0,chain14,Ingress14,10,10,SF-C,1547,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
63.0,chain14,Ingress14,9,9,SF-C,1437,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
64.0,chain14,Ingress14,8,8,SF-C,1256,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
65.0,chain14,Ingress14,9,9,SF-C,1446,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
66.0,chain14,Ingress14,8,8,SF-C,1305,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
67.0,chain14,Ingress14,8,8,SF-C,1241,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
68.0,chain14,Ingress14,8,8,SF-C,1269,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
69.0,chain14,Ingress14,9,9,SF-C,1368,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
70.0,chain14,Ingress14,9,9,SF-C,1495,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
71.0,chain14,Ingress14,8,8,SF-C,1233,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
72.0,chain14,Ingress14,10,10,SF-C,1539,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
73.0,chain14,Ingress14,11,11,SF-C,1767,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
74.0,chain14,Ingress14,8,8,SF-C,1225,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
75.0,chain14,Ingress14,9,9,SF-C,1376,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
76.0,chain14,Ingress14,11,11,SF-C,1791,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
77.0,chain14,Ingress14,10,10,SF-C,1584,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
78.0,chain14,Ingress14,8,8,SF-C,1235,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
79.0,chain14,Ingress14,8,8,SF-C,1322,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
80.0,chain14,Ingress14,10,10,SF-C,1585,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
81.0,chain14,Ingress14,9,9,SF-C,1373,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
82.0,chain14,Ingress14,10,10,SF-C,1648,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
83.0,chain14,Ingress14,10,10,SF-C,1637,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
84.0,chain14,Ingress14,9,9,SF-C,1415,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
85.0,chain14,Ingress14,10,10,SF-C,1581,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
86.0,chain14,Ingress14,9,9,SF-C,1350,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
87.0,chain14,Ingress14,9,9,SF-C,1370,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
88.0,chain14,Ingress14,10,10,SF-C,1621,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
89.0,chain14,Ingress14,10,10,SF-C,1556,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
90.0,chain14,Ingress14,9,9,SF-C,1462,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
91.0,chain14,Ingress14,9,9,SF-C,1412,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
92.0,chain14,Ingress14,10,10,SF-C,1596,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
93.0,chain14,Ingress14,10,10,SF-C,1572,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
94.0,chain14,Ingress14,9,9,SF-C,1414,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
95.0,chain14,Ingress14,9,9,SF-C,1480,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
96.0,chain14,Ingress14,11,11,SF-C,1750,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
97.0,chain14,Ingress14,10,10,SF-C,1547,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
98.0,chain14,Ingress14,8,8,SF-C,1253,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
99.0,chain14,Ingress14,10,10,SF-C,1558,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
100.0,chain14,Ingress14,8,8,SF-C,1255,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
101.0,chain14,Ingress14,10,10,SF-C,1555,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
102.0,chain14,Ingress14,9,9,SF-C,1467,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
103.0,chain14,Ingress14,11,11,SF-C,1776,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
104.0,chain14,Ingress14,10,10,SF-C,1577,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
105.0,chain14,Ingress14,11,11,SF-C,1746,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
106.0,chain14,Ingress14,9,9,SF-C,1430,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
107.0,chain14,Ingress14,9,9,SF-C,1413,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
108.0,chain14,Ingress14,8,8,SF-C,1277,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
109.0,chain14,Ingress14,9,9,SF-C,1460,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
110.0,chain14,Ingress14,10,10,SF-C,1575,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
111.0,chain14,Ingress14,10,10,SF-C,1597,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
112.0,chain14,Ingress14,9,9,SF-C,1350,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
113.0,chain14,Ingress14,9,9,SF-C,1471,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
114.0,chain14,Ingress14,10,10,SF-C,1576,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
115.0,chain14,Ingress14,10,10,SF-C,1505,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
116.0,chain14,Ingress14,10,10,SF-C,1621,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
117.0,chain14,Ingress14,11,11,SF-C,1678,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
118.0,chain14,Ingress14,8,8,SF-C,1273,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
119.0,chain14,Ingress14,9,9,SF-C,1388,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
120.0,chain14,Ingress14,10,10,SF-C,1583,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
121.0,chain14,Ingress14,11,11,SF-C,1715,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
122.0,chain14,Ingress14,11,11,SF-C,1790,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
123.0,chain14,Ingress14,8,8,SF-C,1219,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
124.0,chain14,Ingress14,11,11,SF-C,1652,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
125.0,chain14,Ingress14,8,8,SF-C,1286,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
126.0,chain14,Ingress14,8,8,SF-C,1246,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
127.0,chain14,Ingress14,8,8,SF-C,1270,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
128.0,chain14,Ingress14,9,9,SF-C,1498,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
129.0,chain14,Ingress14,9,9,SF-C,1445,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
130.0,chain14,Ingress14,10,10,SF-C,1637,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
131.0,chain14,Ingress14,9,9,SF-C,1369,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
132.0,chain14,Ingress14,9,9,SF-C,1397,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
133.0,chain14,Ingress14,8,8,SF-C,1248,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
134.0,chain14,Ingress14,11,11,SF-C,1691,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
135.0,chain14,Ingress14,8,8,SF-C,1215,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
136.0,chain14,Ingress14,11,11,SF-C,1726,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
137.0,chain14,Ingress14,11,11,SF-C,1755,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
138.0,chain14,Ingress14,10,10,SF-C,1558,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
139.0,chain14,Ingress14,11,11,SF-C,1740,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
140.0,chain14,Ingress14,10,10,SF-C,1574,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
141.0,chain14,Ingress14,11,11,SF-C,1766,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
142.0,chain14,Ingress14,11,11,SF-C,1774,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
143.0,chain14,Ingress14,9,9,SF-C,1352,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
144.0,chain14,Ingress14,11,11,SF-C,1713,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
145.0,chain14,Ingress14,8,8,SF-C,1320,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
146.0,chain14,Ingress14,11,11,SF-C,1718,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
147.0,chain14,Ingress14,11,11,SF-C,1719,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
148.0,chain14,Ingress14,10,10,SF-C,1592,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
149.0,chain14,Ingress14,10,10,SF-C,1527,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
150.0,chain14,Ingress14,9,9,SF-C,1388,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
151.0,chain14,Ingress14,8,8,SF-C,1310,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
152.0,chain14,Ingress14,11,11,SF-C,1707,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
153.0,chain14,Ingress14,11,11,SF-C,1705,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
154.0,chain14,Ingress14,8,8,SF-C,1223,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
155.0,chain14,Ingress14,11,11,SF-C,1787,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
156.0,chain14,Ingress14,10,10,SF-C,1629,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
157.0,chain14,Ingress14,10,10,SF-C,1641,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
158.0,chain14,Ingress14,10,10,SF-C,1601,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
159.0,chain14,Ingress14,9,9,SF-C,1378,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
160.0,chain14,Ingress14,11,11,SF-C,1726,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
161.0,chain14,Ingress14,8,8,SF-C,1347,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
162.0,chain14,Ingress14,11,11,SF-C,1793,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
163.0,chain14,Ingress14,9,9,SF-C,1356,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
164.0,chain14,Ingress14,11,11,SF-C,1692,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
165.0,chain14,Ingress14,9,9,SF-C,1363,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
166.0,chain14,Ingress14,8,8,SF-C,1329,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
167.0,chain14,Ingress14,11,11,SF-C,1690,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
168.0,chain14,Ingress14,8,8,SF-C,1300,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
169.0,chain14,Ingress14,8,8,SF-C,1254,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
170.0,chain14,Ingress14,10,10,SF-C,1638,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
171.0,chain14,Ingress14,8,8,SF-C,1310,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
172.0,chain14,Ingress14,10,10,SF-C,1598,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
173.0,chain14,Ingress14,8,8,SF-C,1268,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
174.0,chain14,Ingress14,9,9,SF-C,1455,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
175.0,chain14,Ingress14,9,9,SF-C,1357,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
176.0,chain14,Ingress14,8,8,SF-C,1212,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
177.0,chain14,Ingress14,8,8,SF-C,1333,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
178.0,chain14,Ingress14,8,8,SF-C,1266,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
179.0,chain14,Ingress14,8,8,SF-C,1288,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
180.0,chain14,Ingress14,11,11,SF-C,1759,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
181.0,chain14,Ingress14,11,11,SF-C,1775,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
182.0,chain14,Ingress14,10,10,SF-C,1563,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
183.0,chain14,Ingress14,10,10,SF-C,1648,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
184.0,chain14,Ingress14,8,8,SF-C,1233,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
185.0,chain14,Ingress14,8,8,SF-C,1335,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
186.0,chain14,Ingress14,9,9,SF-C,1485,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
187.0,chain14,Ingress14,10,10,SF-C,1560,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
188.0,chain14,Ingress14,10,10,SF-C,1608,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
189.0,chain14,Ingress14,9,9,SF-C,1402,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
190.0,chain14,Ingress14,8,8,SF-C,1249,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
191.0,chain14,Ingress14,8,8,SF-C,1327,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
192.0,chain14,Ingress14,8,8,SF-C,1223,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
193.0,chain14,Ingress14,11,11,SF-C,1746,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
194.0,chain14,Ingress14,8,8,SF-C,1280,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
195.0,chain14,Ingress14,9,9,SF-C,1428,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
196.0,chain14,Ingress14,11,11,SF-C,1727,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
197.0,chain14,Ingress14,8,8,SF-C,1297,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
198.0,chain14,Ingress14,9,9,SF-C,1433,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
199.0,chain14,Ingress14,8,8,SF-C,1236,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
200.0,chain14,Ingress14,8,8,SF-C,1218,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
201.0,chain14,Ingress14,10,10,SF-C,1575,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
202.0,chain14,Ingress14,11,11,SF-C,1667,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
203.0,chain14,Ingress14,11,11,SF-C,1781,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
204.0,chain14,Ingress14,10,10,SF-C,1564,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
205.0,chain14,Ingress14,8,8,SF-C,1236,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
206.0,chain14,Ingress14,10,10,SF-C,1577,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
207.0,chain14,Ingress14,10,10,SF-C,1575,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
208.0,chain14,Ingress14,10,10,SF-C,1609,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
209.0,chain14,Ingress14,10,10,SF-C,1644,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
210.0,chain14,Ingress14,11,11,SF-C,1676,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
211.0,chain14,Ingress14,11,11,SF-C,1703,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
212.0,chain14,Ingress14,10,10,SF-C,1504,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
213.0,chain14,Ingress14,9,9,SF-C,1354,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
214.0,chain14,Ingress14,10,10,SF-C,1541,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
215.0,chain14,Ingress14,8,8,SF-C,1343,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
216.0,chain14,Ingress14,9,9,SF-C,1376,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
217.0,chain14,Ingress14,10,10,SF-C,1615,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
218.0,chain14,Ingress14,10,10,SF-C,1614,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
219.0,chain14,Ingress14,11,11,SF-C,1717,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
220.0,chain14,Ingress14,8,8,SF-C,1343,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
221.0,chain14,Ingress14,11,11,SF-C,1712,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
222.0,chain14,Ingress14,10,10,SF-C,1500,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
223.0,chain14,Ingress14,10,10,SF-C,1605,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
224.0,chain14,Ingress14,8,8,SF-C,1303,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
225.0,chain14,Ingress14,9,9,SF-C,1434,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
226.0,chain14,Ingress14,11,11,SF-C,1777,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
227.0,chain14,Ingress14,8,8,SF-C,1316,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
228.0,chain14,Ingress14,9,9,SF-C,1394,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
229.0,chain14,Ingress14,11,11,SF-C,1738,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
230.0,chain14,Ingress14,10,10,SF-C,1628,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
231.0,chain14,Ingress14,11,11,SF-C,1710,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
232.0,chain14,Ingress14,8,8,SF-C,1234,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
233.0,chain14,Ingress14,8,8,SF-C,1329,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
234.0,chain14,Ingress14,9,9,SF-C,1444,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
235.0,chain14,Ingress14,9,9,SF-C,1359,6,SF-D,600,12,SF-E,2400,20,Egress14,1000.0
236.0,chain14,Ingress14,8,8,SF-C,1298,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
237.0,chain14,Ingress14,11,11,SF-C,1769,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
238.0,chain14,Ingress14,11,11,SF-C,1659,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
239.0,chain14,Ingress14,8,8,SF-C,1290,5,SF-D,500,10,SF-E,2000,16,Egress14,1000.0
240.0,chain14,Ingress14,10,10,SF-C,1617,7,SF-D,700,14,SF-E,2800,23,Egress14,1000.0
