time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),Egress,latency_demand(s)
26.0,chain12,Ingress12,14,14,SF-D,1450,29,SF-E,5800,48,Egress12,1000.0
27.0,chain12,Ingress12,12,12,SF-D,1264,25,SF-E,5000,41,Egress12,1000.0
28.0,chain12,Ingress12,13,13,SF-D,1338,26,SF-E,5200,43,Egress12,1000.0
29.0,chain12,Ingress12,15,15,SF-D,1512,30,SF-E,6000,50,Egress12,1000.0
30.0,chain12,Ingress12,14,14,SF-D,1493,29,SF-E,5800,48,Egress12,1000.0
31.0,chain12,Ingress12,13,13,SF-D,1371,27,SF-E,5400,45,Egress12,1000.0
32.0,chain12,Ingress12,13,13,SF-D,1361,27,SF-E,5400,45,Egress12,1000.0
33.0,chain12,Ingress12,11,11,SF-D,1151,23,SF-E,4600,38,Egress12,1000.0
34.0,chain12,Ingress12,10,10,SF-D,1061,21,SF-E,4200,35,Egress12,1000.0
35.0,chain12,Ingress12,13,13,SF-D,1322,26,SF-E,5200,43,Egress12,1000.0
36.0,chain12,Ingress12,15,15,SF-D,1528,30,SF-E,6000,50,Egress12,1000.0
37.0,chain12,Ingress12,11,11,SF-D,1112,22,SF-E,4400,36,Egress12,1000.0
38.0,chain12,Ingress12,12,12,SF-D,1289,25,SF-E,5000,41,Egress12,1000.0
39.0,chain12,Ingress12,10,10,SF-D,1090,21,SF-E,4200,35,Egress12,1000.0
40.0,chain12,Ingress12,13,13,SF-D,1318,26,SF-E,5200,43,Egress12,1000.0
41.0,chain12,Ingress12,10,10,SF-D,1066,21,SF-E,4200,35,Egress12,1000.0
42.0,chain12,Ingress12,12,12,SF-D,1279,25,SF-E,5000,41,Egress12,1000.0
43.0,chain12,Ingress12,12,12,SF-D,1270,25,SF-E,5000,41,Egress12,1000.0
44.0,chain12,Ingress12,10,10,SF-D,1071,21,SF-E,4200,35,Egress12,1000.0
45.0,chain12,Ingress12,11,11,SF-D,1163,23,SF-E,4600,38,Egress12,1000.0
46.0,chain12,Ingress12,13,13,SF-D,1338,26,SF-E,5200,43,Egress12,1000.0
47.0,chain12,Ingress12,10,10,SF-D,1064,21,SF-E,4200,35,Egress12,1000.0
48.0,chain12,Ingress12,14,14,SF-D,1452,29,SF-E,5800,48,Egress12,1000.0
49.0,chain12,Ingress12,14,14,SF-D,1418,28,SF-E,5600,46,Egress12,1000.0
50.0,chain12,Ingress12,14,14,SF-D,1455,29,SF-E,5800,48,Egress12,1000.0
51.0,chain12,Ingress12,11,11,SF-D,1182,23,SF-E,4600,38,Egress12,1000.0
52.0,chain12,Ingress12,11,11,SF-D,1190,23,SF-E,4600,38,Egress12,1000.0
53.0,chain12,Ingress12,12,12,SF-D,1293,25,SF-E,5000,41,Egress12,1000.0
54.0,chain12,Ingress12,12,12,SF-D,1221,24,SF-E,4800,40,Egress12,1000.0
55.0,chain12,Ingress12,12,12,SF-D,1211,24,SF-E,4800,40,Egress12,1000.0
56.0,chain12,Ingress12,14,14,SF-D,1451,29,SF-E,5800,48,Egress12,1000.0
57.0,chain12,Ingress12,13,13,SF-D,1330,26,SF-E,5200,43,Egress12,1000.0
58.0,chain12,Ingress12,15,15,SF-D,1533,30,SF-E,6000,50,Egress12,1000.0
59.0,chain12,Ingress12,11,11,SF-D,1139,22,SF-E,4400,36,Egress12,1000.0
60.0,chain12,Ingress12,14,14,SF-D,1452,29,SF-E,5800,48,Egress12,1000.0
61.0,chain12,Ingress12,14,14,SF-D,1487,29,SF-E,5800,48,Egress12,1000.0
62.0,chain12,Ingress12,13,13,SF-D,1313,26,SF-E,5200,43,Egress12,1000.0
63.0,chain12,Ingress12,11,11,SF-D,1165,23,SF-E,4600,38,Egress12,1000.0
64.0,chain12,Ingress12,14,14,SF-D,1488,29,SF-E,5800,48,Egress12,1000.0
65.0,chain12,Ingress12,12,12,SF-D,1279,25,SF-E,5000,41,Egress12,1000.0
66.0,chain12,Ingress12,11,11,SF-D,1106,22,SF-E,4400,36,Egress12,1000.0
67.0,chain12,Ingress12,15,15,SF-D,1543,30,SF-E,6000,50,Egress12,1000.0
68.0,chain12,Ingress12,12,12,SF-D,1248,24,SF-E,4800,40,Egress12,1000.0
69.0,chain12,Ingress12,11,11,SF-D,1152,23,SF-E,4600,38,Egress12,1000.0
70.0,chain12,Ingress12,10,10,SF-D,1077,21,SF-E,4200,35,Egress12,1000.0
71.0,chain12,Ingress12,12,12,SF-D,1219,24,SF-E,4800,40,Egress12,1000.0
72.0,chain12,Ingress12,11,11,SF-D,1163,23,SF-E,4600,38,Egress12,1000.0
73.0,chain12,Ingress12,10,10,SF-D,1093,21,SF-E,4200,35,Egress12,1000.0
74.0,chain12,Ingress12,14,14,SF-D,1403,28,SF-E,5600,46,Egress12,1000.0
75.0,chain12,Ingress12,11,11,SF-D,1171,23,SF-E,4600,38,Egress12,1000.0
76.0,chain12,Ingress12,11,11,SF-D,1149,22,SF-E,4400,36,Egress12,1000.0
77.0,chain12,Ingress12,13,13,SF-D,1343,26,SF-E,5200,43,Egress12,1000.0
78.0,chain12,Ingress12,10,10,SF-D,1087,21,SF-E,4200,35,Egress12,1000.0
79.0,chain12,Ingress12,14,14,SF-D,1484,29,SF-E,5800,48,Egress12,1000.0
80.0,chain12,Ingress12,10,10,SF-D,1095,21,SF-E,4200,35,Egress12,1000.0
81.0,chain12,Ingress12,13,13,SF-D,1367,27,SF-E,5400,45,Egress12,1000.0
82.0,chain12,Ingress12,11,11,SF-D,1113,22,SF-E,4400,36,Egress12,1000.0
83.0,chain12,Ingress12,12,12,SF-D,1231,24,SF-E,4800,40,Egress12,1000.0
84.0,chain12,Ingress12,12,12,SF-D,1251,25,SF-E,5000,41,Egress12,1000.0
85.0,chain12,Ingress12,12,12,SF-D,1283,25,SF-E,5000,41,Egress12,1000.0
86.0,chain12,Ingress12,10,10,SF-D,1053,21,SF-E,4200,35,Egress12,1000.0
87.0,chain12,Ingress12,14,14,SF-D,1412,28,SF-E,5600,46,Egress12,1000.0
88.0,chain12,Ingress12,12,12,SF-D,1286,25,SF-E,5000,41,Egress12,1000.0
89.0,chain12,Ingress12,10,10,SF-D,1047,20,SF-E,4000,33,Egress12,1000.0
90.0,chain12,Ingress12,13,13,SF-D,1317,26,SF-E,5200,43,Egress12,1000.0
91.0,chain12,Ingress12,12,12,SF-D,1283,25,SF-E,5000,41,Egress12,1000.0
92.0,chain12,Ingress12,11,11,SF-D,1109,22,SF-E,4400,36,Egress12,1000.0
93.0,chain12,Ingress12,15,15,SF-D,1500,30,SF-E,6000,50,Egress12,1000.0
94.0,chain12,Ingress12,11,11,SF-D,1121,22,SF-E,4400,36,Egress12,1000.0
95.0,chain12,Ingress12,10,10,SF-D,1043,20,SF-E,4000,33,Egress12,1000.0
96.0,chain12,Ingress12,11,11,SF-D,1123,22,SF-E,4400,36,Egress12,1000.0
97.0,chain12,Ingress12,13,13,SF-D,1367,27,SF-E,5400,45,Egress12,1000.0
98.0,chain12,Ingress12,12,12,SF-D,1291,25,SF-E,5000,41,Egress12,1000.0
99.0,chain12,Ingress12,13,13,SF-D,1350,27,SF-E,5400,45,Egress12,1000.0
100.0,chain12,Ingress12,12,12,SF-D,1263,25,SF-E,5000,41,Egress12,1000.0
101.0,chain12,Ingress12,11,11,SF-D,1120,22,SF-E,4400,36,Egress12,1000.0
102.0,chain12,Ingress12,11,11,SF-D,1109,22,SF-E,4400,36,Egress12,1000.0
103.0,chain12,Ingress12,15,15,SF-D,1507,30,SF-E,6000,50,Egress12,1000.0
104.0,chain12,Ingress12,13,13,SF-D,1361,27,SF-E,5400,45,Egress12,1000.0
105.0,chain12,Ingress12,11,11,SF-D,1182,23,SF-E,4600,38,Egress12,1000.0
106.0,chain12,Ingress12,12,12,SF-D,1226,24,SF-E,4800,40,Egress12,1000.0
107.0,chain12,Ingress12,15,15,SF-D,1504,30,SF-E,6000,50,Egress12,1000.0
108.0,chain12,Ingress12,14,14,SF-D,1412,28,SF-E,5600,46,Egress12,1000.0
109.0,chain12,Ingress12,11,11,SF-D,1151,23,SF-E,4600,38,Egress12,1000.0
110.0,chain12,Ingress12,14,14,SF-D,1466,29,SF-E,5800,48,Egress12,1000.0
111.0,chain12,Ingress12,12,12,SF-D,1239,24,SF-E,4800,40,Egress12,1000.0
112.0,chain12,Ingress12,14,14,SF-D,1449,28,SF-E,5600,46,Egress12,1000.0
113.0,chain12,Ingress12,14,14,SF-D,1424,28,SF-E,5600,46,Egress12,1000.0
114.0,chain12,Ingress12,15,15,SF-D,1515,30,SF-E,6000,50,Egress12,1000.0
115.0,chain12,Ingress12,13,13,SF-D,1391,27,SF-E,5400,45,Egress12,1000.0
116.0,chain12,Ingress12,13,13,SF-D,1335,26,SF-E,5200,43,Egress12,1000.0
117.0,chain12,Ingress12,13,13,SF-D,1315,26,SF-E,5200,43,Egress12,1000.0
118.0,chain12,Ingress12,12,12,SF-D,1200,24,SF-E,4800,40,Egress12,1000.0
119.0,chain12,Ingress12,15,15,SF-D,1527,30,SF-E,6000,50,Egress12,1000.0
120.0,chain12,Ingress12,10,10,SF-D,1066,21,SF-E,4200,35,Egress12,1000.0
121.0,chain12,Ingress12,11,11,SF-D,1115,22,SF-E,4400,36,Egress12,1000.0
122.0,chain12,Ingress12,14,14,SF-D,1418,28,SF-E,5600,46,Egress12,1000.0
123.0,chain12,Ingress12,11,11,SF-D,1123,22,SF-E,4400,36,Egress12,1000.0
124.0,chain12,Ingress12,14,14,SF-D,1492,29,SF-E,5800,48,Egress12,1000.0
125.0,chain12,Ingress12,14,14,SF-D,1436,28,SF-E,5600,46,Egress12,1000.0
126.0,chain12,Ingress12,14,14,SF-D,1448,28,SF-E,5600,46,Egress12,1000.0
127.0,chain12,Ingress12,12,12,SF-D,1215,24,SF-E,4800,40,Egress12,1000.0
128.0,chain12,Ingress12,15,15,SF-D,1545,30,SF-E,6000,50,Egress12,1000.0
129.0,chain12,Ingress12,13,13,SF-D,1369,27,SF-E,5400,45,Egress12,1000.0
130.0,chain12,Ingress12,14,14,SF-D,1442,28,SF-E,5600,46,Egress12,1000.0
131.0,chain12,Ingress12,13,13,SF-D,1333,26,SF-E,5200,43,Egress12,1000.0
132.0,chain12,Ingress12,10,10,SF-D,1062,21,SF-E,4200,35,Egress12,1000.0
133.0,chain12,Ingress12,12,12,SF-D,1212,24,SF-E,4800,40,Egress12,1000.0
134.0,chain12,Ingress12,11,11,SF-D,1156,23,SF-E,4600,38,Egress12,1000.0
135.0,chain12,Ingress12,10,10,SF-D,1086,21,SF-E,4200,35,Egress12,1000.0
136.0,chain12,Ingress12,15,15,SF-D,1520,30,SF-E,6000,50,Egress12,1000.0
137.0,chain12,Ingress12,10,10,SF-D,1076,21,SF-E,4200,35,Egress12,1000.0
138.0,chain12,Ingress12,15,15,SF-D,1516,30,SF-E,6000,50,Egress12,1000.0
139.0,chain12,Ingress12,14,14,SF-D,1451,29,SF-E,5800,48,Egress12,1000.0
140.0,chain12,Ingress12,11,11,SF-D,1188,23,SF-E,4600,38,Egress12,1000.0
141.0,chain12,Ingress12,13,13,SF-D,1346,26,SF-E,5200,43,Egress12,1000.0
142.0,chain12,Ingress12,13,13,SF-D,1317,26,SF-E,5200,43,Egress12,1000.0
143.0,chain12,Ingress12,10,10,SF-D,1072,21,SF-E,4200,35,Egress12,1000.0
144.0,chain12,Ingress12,14,14,SF-D,1459,29,SF-E,5800,48,Egress12,1000.0
145.0,chain12,Ingress12,13,13,SF-D,1382,27,SF-E,5400,45,Egress12,1000.0
146.0,chain12,Ingress12,10,10,SF-D,1081,21,SF-E,4200,35,Egress12,1000.0
147.0,chain12,Ingress12,10,10,SF-D,1048,20,SF-E,4000,33,Egress12,1000.0
148.0,chain12,Ingress12,13,13,SF-D,1386,27,SF-E,5400,45,Egress12,1000.0
149.0,chain12,Ingress12,13,13,SF-D,1384,27,SF-E,5400,45,Egress12,1000.0
150.0,chain12,Ingress12,12,12,SF-D,1288,25,SF-E,5000,41,Egress12,1000.0
151.0,chain12,Ingress12,13,13,SF-D,1385,27,SF-E,5400,45,Egress12,1000.0
152.0,chain12,Ingress12,12,12,SF-D,1246,24,SF-E,4800,40,Egress12,1000.0
153.0,chain12,Ingress12,10,10,SF-D,1068,21,SF-E,4200,35,Egress12,1000.0
154.0,chain12,Ingress12,14,14,SF-D,1436,28,SF-E,5600,46,Egress12,1000.0
155.0,chain12,Ingress12,13,13,SF-D,1345,26,SF-E,5200,43,Egress12,1000.0
156.0,chain12,Ingress12,14,14,SF-D,1482,29,SF-E,5800,48,Egress12,1000.0
157.0,chain12,Ingress12,13,13,SF-D,1324,26,SF-E,5200,43,Egress12,1000.0
158.0,chain12,Ingress12,15,15,SF-D,1541,30,SF-E,6000,50,Egress12,1000.0
159.0,chain12,Ingress12,15,15,SF-D,1550,31,SF-E,6200,51,Egress12,1000.0
160.0,chain12,Ingress12,14,14,SF-D,1404,28,SF-E,5600,46,Egress12,1000.0
161.0,chain12,Ingress12,15,15,SF-D,1515,30,SF-E,6000,50,Egress12,1000.0
162.0,chain12,Ingress12,11,11,SF-D,1160,23,SF-E,4600,38,Egress12,1000.0
163.0,chain12,Ingress12,12,12,SF-D,1243,24,SF-E,4800,40,Egress12,1000.0
164.0,chain12,Ingress12,15,15,SF-D,1542,30,SF-E,6000,50,Egress12,1000.0
165.0,chain12,Ingress12,15,15,SF-D,1556,31,SF-E,6200,51,Egress12,1000.0
166.0,chain12,Ingress12,12,12,SF-D,1273,25,SF-E,5000,41,Egress12,1000.0
167.0,chain12,Ingress12,13,13,SF-D,1330,26,SF-E,5200,43,Egress12,1000.0
168.0,chain12,Ingress12,11,11,SF-D,1188,23,SF-E,4600,38,Egress12,1000.0
169.0,chain12,Ingress12,11,11,SF-D,1194,23,SF-E,4600,38,Egress12,1000.0
170.0,chain12,Ingress12,10,10,SF-D,1090,21,SF-E,4200,35,Egress12,1000.0
171.0,chain12,Ingress12,12,12,SF-D,1236,24,SF-E,4800,40,Egress12,1000.0
172.0,chain12,Ingress12,11,11,SF-D,1148,22,SF-E,4400,36,Egress12,1000.0
173.0,chain12,Ingress12,12,12,SF-D,1202,24,SF-E,4800,40,Egress12,1000.0
174.0,chain12,Ingress12,10,10,SF-D,1086,21,SF-E,4200,35,Egress12,1000.0
175.0,chain12,Ingress12,11,11,SF-D,1165,23,SF-E,4600,38,Egress12,1000.0
176.0,chain12,Ingress12,11,11,SF-D,1159,23,SF-E,4600,38,Egress12,1000.0
177.0,chain12,Ingress12,13,13,SF-D,1374,27,SF-E,5400,45,Egress12,1000.0
178.0,chain12,Ingress12,10,10,SF-D,1072,21,SF-E,4200,35,Egress12,1000.0
179.0,chain12,Ingress12,14,14,SF-D,1480,29,SF-E,5800,48,Egress12,1000.0
180.0,chain12,Ingress12,13,13,SF-D,1335,26,SF-E,5200,43,Egress12,1000.0
181.0,chain12,Ingress12,12,12,SF-D,1296,25,SF-E,5000,41,Egress12,1000.0
182.0,chain12,Ingress12,13,13,SF-D,1333,26,SF-E,5200,43,Egress12,1000.0
183.0,chain12,Ingress12,14,14,SF-D,1435,28,SF-E,5600,46,Egress12,1000.0
184.0,chain12,Ingress12,12,12,SF-D,1286,25,SF-E,5000,41,Egress12,1000.0
185.0,chain12,Ingress12,14,14,SF-D,1416,28,SF-E,5600,46,Egress12,1000.0
186.0,chain12,Ingress12,14,14,SF-D,1410,28,SF-E,5600,46,Egress12,1000.0
187.0,chain12,Ingress12,11,11,SF-D,1134,22,SF-E,4400,36,Egress12,1000.0
188.0,chain12,Ingress12,11,11,SF-D,1181,23,SF-E,4600,38,Egress12,1000.0
189.0,chain12,Ingress12,11,11,SF-D,1187,23,SF-E,4600,38,Egress12,1000.0
190.0,chain12,Ingress12,11,11,SF-D,1103,22,SF-E,4400,36,Egress12,1000.0
191.0,chain12,Ingress12,14,14,SF-D,1422,28,SF-E,5600,46,Egress12,1000.0
192.0,chain12,Ingress12,11,11,SF-D,1198,23,SF-E,4600,38,Egress12,1000.0
193.0,chain12,Ingress12,12,12,SF-D,1259,25,SF-E,5000,41,Egress12,1000.0
194.0,chain12,Ingress12,14,14,SF-D,1448,28,SF-E,5600,46,Egress12,1000.0
195.0,chain12,Ingress12,13,13,SF-D,1394,27,SF-E,5400,45,Egress12,1000.0
196.0,chain12,Ingress12,12,12,SF-D,1210,24,SF-E,4800,40,Egress12,1000.0
197.0,chain12,Ingress12,10,10,SF-D,1054,21,SF-E,4200,35,Egress12,1000.0
198.0,chain12,Ingress12,14,14,SF-D,1432,28,SF-E,5600,46,Egress12,1000.0
199.0,chain12,Ingress12,11,11,SF-D,1199,23,SF-E,4600,38,Egress12,1000.0
200.0,chain12,Ingress12,13,13,SF-D,1373,27,SF-E,5400,45,Egress12,1000.0
201.0,chain12,Ingress12,11,11,SF-D,1187,23,SF-E,4600,38,Egress12,1000.0
202.0,chain12,Ingress12,12,12,SF-D,1245,24,SF-E,4800,40,Egress12,1000.0
203.0,chain12,Ingress12,14,14,SF-D,1438,28,SF-E,5600,46,Egress12,1000.0
204.0,chain12,Ingress12,10,10,SF-D,1065,21,SF-E,4200,35,Egress12,1000.0
205.0,chain12,Ingress12,12,12,SF-D,1251,25,SF-E,5000,41,Egress12,1000.0
206.0,chain12,Ingress12,12,12,SF-D,1280,25,SF-E,5000,41,Egress12,1000.0
207.0,chain12,Ingress12,12,12,SF-D,1208,24,SF-E,4800,40,Egress12,1000.0
208.0,chain12,Ingress12,11,11,SF-D,1194,23,SF-E,4600,38,Egress12,1000.0
209.0,chain12,Ingress12,12,12,SF-D,1278,25,SF-E,5000,41,Egress12,1000.0
210.0,chain12,Ingress12,14,14,SF-D,1471,29,SF-E,5800,48,Egress12,1000.0
211.0,chain12,Ingress12,15,15,SF-D,1549,30,SF-E,6000,50,Egress12,1000.0
212.0,chain12,Ingress12,14,14,SF-D,1447,28,SF-E,5600,46,Egress12,1000.0
213.0,chain12,Ingress12,12,12,SF-D,1234,24,SF-E,4800,40,Egress12,1000.0
214.0,chain12,Ingress12,14,14,SF-D,1467,29,SF-E,5800,48,Egress12,1000.0
215.0,chain12,Ingress12,12,12,SF-D,1294,25,SF-E,5000,41,Egress12,1000.0
216.0,chain12,Ingress12,14,14,SF-D,1448,28,SF-E,5600,46,Egress12,1000.0
217.0,chain12,Ingress12,13,13,SF-D,1305,26,SF-E,5200,43,Egress12,1000.0
218.0,chain12,Ingress12,12,12,SF-D,1290,25,SF-E,5000,41,Egress12,1000.0
219.0,chain12,Ingress12,11,11,SF-D,1145,22,SF-E,4400,36,Egress12,1000.0
220.0,chain12,Ingress12,13,13,SF-D,1381,27,SF-E,5400,45,Egress12,1000.0
221.0,chain12,Ingress12,13,13,SF-D,1383,27,SF-E,5400,45,Egress12,1000.0
222.0,chain12,Ingress12,11,11,SF-D,1171,23,SF-E,4600,38,Egress12,1000.0
223.0,chain12,Ingress12,14,14,SF-D,1472,29,SF-E,5800,48,Egress12,1000.0
224.0,chain12,Ingress12,14,14,SF-D,1496,29,SF-E,5800,48,Egress12,1000.0
225.0,chain12,Ingress12,10,10,SF-D,1088,21,SF-E,4200,35,Egress12,1000.0
226.0,chain12,Ingress12,12,12,SF-D,1290,25,SF-E,5000,41,Egress12,1000.0
227.0,chain12,Ingress12,13,13,SF-D,1308,26,SF-E,5200,43,Egress12,1000.0
228.0,chain12,Ingress12,13,13,SF-D,1304,26,SF-E,5200,43,Egress12,1000.0
229.0,chain12,Ingress12,14,14,SF-D,1455,29,SF-E,5800,48,Egress12,1000.0
230.0,chain12,Ingress12,13,13,SF-D,1338,26,SF-E,5200,43,Egress12,1000.0
231.0,chain12,Ingress12,12,12,SF-D,1270,25,SF-E,5000,41,Egress12,1000.0
232.0,chain12,Ingress12,13,13,SF-D,1381,27,SF-E,5400,45,Egress12,1000.0
233.0,chain12,Ingress12,11,11,SF-D,1155,23,SF-E,4600,38,Egress12,1000.0
234.0,chain12,Ingress12,11,11,SF-D,1157,23,SF-E,4600,38,Egress12,1000.0
235.0,chain12,Ingress12,12,12,SF-D,1243,24,SF-E,4800,40,Egress12,1000.0
236.0,chain12,Ingress12,13,13,SF-D,1346,26,SF-E,5200,43,Egress12,1000.0
237.0,chain12,Ingress12,12,12,SF-D,1289,25,SF-E,5000,41,Egress12,1000.0
238.0,chain12,Ingress12,14,14,SF-D,1465,29,SF-E,5800,48,Egress12,1000.0
239.0,chain12,Ingress12,12,12,SF-D,1225,24,SF-E,4800,40,Egress12,1000.0
240.0,chain12,Ingress12,14,14,SF-D,1490,29,SF-E,5800,48,Egress12,1000.0
241.0,chain12,Ingress12,12,12,SF-D,1213,24,SF-E,4800,40,Egress12,1000.0
242.0,chain12,Ingress12,13,13,SF-D,1356,27,SF-E,5400,45,Egress12,1000.0
243.0,chain12,Ingress12,13,13,SF-D,1350,27,SF-E,5400,45,Egress12,1000.0
244.0,chain12,Ingress12,13,13,SF-D,1303,26,SF-E,5200,43,Egress12,1000.0
245.0,chain12,Ingress12,14,14,SF-D,1495,29,SF-E,5800,48,Egress12,1000.0
246.0,chain12,Ingress12,11,11,SF-D,1113,22,SF-E,4400,36,Egress12,1000.0
247.0,chain12,Ingress12,14,14,SF-D,1415,28,SF-E,5600,46,Egress12,1000.0
248.0,chain12,Ingress12,13,13,SF-D,1347,26,SF-E,5200,43,Egress12,1000.0
249.0,chain12,Ingress12,11,11,SF-D,1125,22,SF-E,4400,36,Egress12,1000.0
250.0,chain12,Ingress12,14,14,SF-D,1488,29,SF-E,5800,48,Egress12,1000.0
251.0,chain12,Ingress12,11,11,SF-D,1175,23,SF-E,4600,38,Egress12,1000.0
252.0,chain12,Ingress12,11,11,SF-D,1173,23,SF-E,4600,38,Egress12,1000.0
253.0,chain12,Ingress12,14,14,SF-D,1444,28,SF-E,5600,46,Egress12,1000.0
254.0,chain12,Ingress12,12,12,SF-D,1294,25,SF-E,5000,41,Egress12,1000.0
255.0,chain12,Ingress12,11,11,SF-D,1109,22,SF-E,4400,36,Egress12,1000.0
256.0,chain12,Ingress12,11,11,SF-D,1189,23,SF-E,4600,38,Egress12,1000.0
257.0,chain12,Ingress12,13,13,SF-D,1398,27,SF-E,5400,45,Egress12,1000.0
258.0,chain12,Ingress12,15,15,SF-D,1542,30,SF-E,6000,50,Egress12,1000.0
259.0,chain12,Ingress12,10,10,SF-D,1056,21,SF-E,4200,35,Egress12,1000.0
260.0,chain12,Ingress12,11,11,SF-D,1113,22,SF-E,4400,36,Egress12,1000.0
261.0,chain12,Ingress12,13,13,SF-D,1337,26,SF-E,5200,43,Egress12,1000.0
262.0,chain12,Ingress12,13,13,SF-D,1399,27,SF-E,5400,45,Egress12,1000.0
263.0,chain12,Ingress12,12,12,SF-D,1229,24,SF-E,4800,40,Egress12,1000.0
264.0,chain12,Ingress12,13,13,SF-D,1312,26,SF-E,5200,43,Egress12,1000.0
265.0,chain12,Ingress12,13,13,SF-D,1332,26,SF-E,5200,43,Egress12,1000.0
266.0,chain12,Ingress12,11,11,SF-D,1159,23,SF-E,4600,38,Egress12,1000.0
267.0,chain12,Ingress12,13,13,SF-D,1391,27,SF-E,5400,45,Egress12,1000.0
268.0,chain12,Ingress12,12,12,SF-D,1278,25,SF-E,5000,41,Egress12,1000.0
269.0,chain12,Ingress12,13,13,SF-D,1327,26,SF-E,5200,43,Egress12,1000.0
270.0,chain12,Ingress12,14,14,SF-D,1406,28,SF-E,5600,46,Egress12,1000.0
271.0,chain12,Ingress12,10,10,SF-D,1078,21,SF-E,4200,35,Egress12,1000.0
272.0,chain12,Ingress12,14,14,SF-D,1475,29,SF-E,5800,48,Egress12,1000.0
273.0,chain12,Ingress12,13,13,SF-D,1387,27,SF-E,5400,45,Egress12,1000.0
274.0,chain12,Ingress12,12,12,SF-D,1246,24,SF-E,4800,40,Egress12,1000.0
275.0,chain12,Ingress12,11,11,SF-D,1134,22,SF-E,4400,36,Egress12,1000.0
276.0,chain12,Ingress12,14,14,SF-D,1458,29,SF-E,5800,48,Egress12,1000.0
277.0,chain12,Ingress12,15,15,SF-D,1521,30,SF-E,6000,50,Egress12,1000.0
278.0,chain12,Ingress12,14,14,SF-D,1411,28,SF-E,5600,46,Egress12,1000.0
279.0,chain12,Ingress12,15,15,SF-D,1519,30,SF-E,6000,50,Egress12,1000.0
280.0,chain12,Ingress12,14,14,SF-D,1463,29,SF-E,5800,48,Egress12,1000.0
281.0,chain12,Ingress12,11,11,SF-D,1196,23,SF-E,4600,38,Egress12,1000.0
282.0,chain12,Ingress12,14,14,SF-D,1496,29,SF-E,5800,48,Egress12,1000.0
283.0,chain12,Ingress12,12,12,SF-D,1208,24,SF-E,4800,40,Egress12,1000.0
284.0,chain12,Ingress12,11,11,SF-D,1177,23,SF-E,4600,38,Egress12,1000.0
285.0,chain12,Ingress12,12,12,SF-D,1236,24,SF-E,4800,40,Egress12,1000.0
286.0,chain12,Ingress12,10,10,SF-D,1089,21,SF-E,4200,35,Egress12,1000.0
