#======================================
Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 10, 1, 3800, 3800, 3800.116, 0.116, 110, 0, 3800.116, 3802.46, 2.344, 1100, 3802.46, 3802.625, 0.165, 165, 0, 3802.625, 3804.442, 1.817, 825, 3804.442, 3804.552, 0.11, 110, 0, 3804.552, 3806.741, 2.189, 1100, 3806.741, 3806.832, 0.091, 91, 0, 3806.832, 3812.509, 5.677, 2730, 3812.509, 3812.601, 0.092, 91, 0, 3812.601, 3812.601, 0, 0,    12.485,
 11, 1, 3810, 3810, 3810.106, 0.106, 100, 0, 3810.106, 3812.425, 2.32, 1000, 3812.425, 3812.586, 0.16, 150, 0, 3812.586, 3814.166, 1.58, 750, 3814.166, 3814.266, 0.1, 100, 0, 3814.266, 3816.606, 2.34, 1000, 3816.606, 3816.689, 0.083, 83, 0, 3816.689, 3822.005, 5.316, 2490, 3822.005, 3822.088, 0.083, 83, 0, 3822.088, 3822.088, 0, 0,    11.982,
 12, 1, 3820, 3820, 3820.106, 0.106, 100, 0, 3820.106, 3822.178, 2.073, 1000, 3822.178, 3822.328, 0.15, 150, 0, 3822.328, 3823.872, 1.544, 750, 3823.872, 3823.972, 0.1, 100, 0, 3823.972, 3826.033, 2.06, 1000, 3826.033, 3826.116, 0.083, 83, 0, 3826.116, 3831.901, 5.785, 2490, 3831.901, 3831.984, 0.083, 83, 0, 3831.984, 3831.984, 0, 0,    11.878,
 13, 1, 3830, 3830, 3830.106, 0.106, 100, 0, 3830.106, 3832.284, 2.178, 1000, 3832.284, 3832.434, 0.15, 150, 0, 3832.434, 3834.022, 1.588, 750, 3834.022, 3834.122, 0.1, 100, 0, 3834.122, 3836.05, 1.928, 1000, 3836.05, 3836.133, 0.083, 83, 0, 3836.133, 3841.788, 5.655, 2490, 3841.788, 3841.871, 0.083, 83, 0, 3841.871, 3841.871, 0, 0,    11.765,
 14, 1, 3840, 3840, 3840.116, 0.116, 110, 0, 3840.116, 3842.505, 2.389, 1100, 3842.505, 3842.67, 0.165, 165, 0, 3842.67, 3844.548, 1.878, 825, 3844.548, 3844.659, 0.11, 110, 0, 3844.659, 3847.152, 2.493, 1100, 3847.152, 3847.243, 0.091, 91, 0, 3847.243, 3852.788, 5.545, 2730, 3852.788, 3852.879, 0.091, 91, 0, 3852.879, 3852.879, 0, 0,    12.763,
 15, 1, 3850, 3850, 3850.116, 0.116, 110, 0, 3850.116, 3852.27, 2.154, 1100, 3852.27, 3852.435, 0.165, 165, 0, 3852.435, 3854.42, 1.985, 825, 3854.42, 3854.53, 0.11, 110, 0, 3854.53, 3857.326, 2.796, 1100, 3857.326, 3857.417, 0.091, 91, 0, 3857.417, 3862.966, 5.549, 2730, 3862.966, 3863.057, 0.091, 91, 0, 3863.057, 3863.057, 0, 0,    12.941,
 16, 1, 3860, 3860, 3860.116, 0.116, 110, 0, 3860.116, 3862.375, 2.259, 1100, 3862.375, 3862.54, 0.165, 165, 0, 3862.54, 3864.615, 2.075, 825, 3864.615, 3864.724, 0.11, 110, 0, 3864.724, 3867.234, 2.51, 1100, 3867.234, 3867.326, 0.091, 91, 0, 3867.326, 3872.751, 5.425, 2730, 3872.751, 3872.842, 0.091, 91, 0, 3872.842, 3872.842, 0, 0,    12.726,
 17, 1, 3870, 3870, 3870.116, 0.116, 110, 0, 3870.116, 3872.474, 2.358, 1100, 3872.474, 3872.639, 0.165, 165, 0, 3872.639, 3874.696, 2.057, 825, 3874.696, 3874.806, 0.11, 110, 0, 3874.806, 3877.192, 2.385, 1100, 3877.192, 3877.283, 0.091, 91, 0, 3877.283, 3882.671, 5.388, 2730, 3882.671, 3882.762, 0.091, 91, 0, 3882.762, 3882.762, 0, 0,    12.646,
 18, 1, 3880, 3880, 3880.116, 0.116, 110, 0, 3880.116, 3882.63, 2.514, 1100, 3882.63, 3882.795, 0.165, 165, 0, 3882.795, 3884.561, 1.767, 825, 3884.561, 3884.672, 0.11, 110, 0, 3884.672, 3887.106, 2.435, 1100, 3887.106, 3887.197, 0.091, 91, 0, 3887.197, 3893.654, 6.457, 2730, 3893.654, 3893.745, 0.091, 91, 0, 3893.745, 3893.745, 0, 0,    13.629,
 19, 1, 3890, 3890, 3890.116, 0.116, 110, 0, 3890.116, 3892.659, 2.543, 1100, 3892.659, 3892.824, 0.165, 165, 0, 3892.824, 3894.419, 1.594, 825, 3894.419, 3894.529, 0.11, 110, 0, 3894.529, 3897.062, 2.533, 1100, 3897.062, 3897.153, 0.091, 91, 0, 3897.153, 3902.835, 5.682, 2730, 3902.835, 3902.926, 0.091, 91, 0, 3902.926, 3902.926, 0, 0,    12.810,
 20, 1, 3900, 3900, 3900.106, 0.106, 100, 0, 3900.106, 3902.38, 2.274, 1000, 3902.38, 3902.529, 0.15, 150, 0, 3902.529, 3904.216, 1.687, 750, 3904.216, 3904.317, 0.1, 100, 0, 3904.317, 3906.354, 2.038, 1000, 3906.354, 3906.437, 0.083, 83, 0, 3906.437, 3911.238, 4.801, 2490, 3911.238, 3911.321, 0.083, 83, 0, 3911.321, 3911.321, 0, 0,    11.215,
 21, 1, 3910, 3910, 3910.116, 0.116, 110, 0, 3910.116, 3912.642, 2.526, 1100, 3912.642, 3912.807, 0.165, 165, 0, 3912.807, 3914.539, 1.732, 825, 3914.539, 3914.649, 0.11, 110, 0, 3914.649, 3917.074, 2.425, 1100, 3917.074, 3917.165, 0.091, 91, 0, 3917.165, 3922.597, 5.432, 2730, 3922.597, 3922.688, 0.091, 91, 0, 3922.688, 3922.688, 0, 0,    12.572,
 22, 1, 3920, 3920, 3920.116, 0.116, 110, 0, 3920.116, 3922.688, 2.572, 1100, 3922.688, 3922.853, 0.165, 165, 0, 3922.853, 3925.135, 2.282, 825, 3925.135, 3925.245, 0.11, 110, 0, 3925.245, 3927.691, 2.446, 1100, 3927.691, 3927.782, 0.091, 91, 0, 3927.782, 3933.833, 6.051, 2730, 3933.833, 3933.924, 0.091, 91, 0, 3933.924, 3933.924, 0, 0,    13.808,
 23, 1, 3930, 3930, 3930.116, 0.116, 110, 0, 3930.116, 3932.476, 2.36, 1100, 3932.476, 3932.641, 0.165, 165, 0, 3932.641, 3934.36, 1.719, 825, 3934.36, 3934.47, 0.11, 110, 0, 3934.47, 3937.369, 2.899, 1100, 3937.369, 3937.46, 0.091, 91, 0, 3937.46, 3942.849, 5.389, 2730, 3942.849, 3942.94, 0.091, 91, 0, 3942.94, 3942.94, 0, 0,    12.824,
 24, 1, 3940, 3940, 3940.116, 0.116, 110, 0, 3940.116, 3942.576, 2.46, 1100, 3942.576, 3942.742, 0.166, 165, 0, 3942.742, 3944.356, 1.614, 825, 3944.356, 3944.466, 0.11, 110, 0, 3944.466, 3946.556, 2.09, 1100, 3946.556, 3946.647, 0.091, 91, 0, 3946.647, 3952.232, 5.585, 2730, 3952.232, 3952.324, 0.093, 91, 0, 3952.324, 3952.324, 0, 0,    12.208,
 25, 1, 3950, 3950, 3950.106, 0.106, 100, 0, 3950.106, 3952.284, 2.178, 1000, 3952.284, 3952.435, 0.151, 150, 0, 3952.435, 3954.087, 1.652, 750, 3954.087, 3954.187, 0.1, 100, 0, 3954.187, 3956.17, 1.982, 1000, 3956.17, 3956.253, 0.083, 83, 0, 3956.253, 3961.993, 5.74, 2490, 3961.993, 3962.076, 0.083, 83, 0, 3962.076, 3962.076, 0, 0,    11.970,
 26, 1, 3960, 3960, 3960.106, 0.106, 100, 0, 3960.106, 3962.135, 2.029, 1000, 3962.135, 3962.286, 0.15, 150, 0, 3962.286, 3963.849, 1.563, 750, 3963.849, 3963.949, 0.1, 100, 0, 3963.949, 3966.103, 2.154, 1000, 3966.103, 3966.186, 0.083, 83, 0, 3966.186, 3970.881, 4.695, 2490, 3970.881, 3970.964, 0.083, 83, 0, 3970.964, 3970.964, 0, 0,    10.858,
 27, 1, 3970, 3970, 3970.116, 0.116, 110, 0, 3970.116, 3972.401, 2.285, 1100, 3972.401, 3972.566, 0.165, 165, 0, 3972.566, 3974.446, 1.88, 825, 3974.446, 3974.556, 0.11, 110, 0, 3974.556, 3976.951, 2.395, 1100, 3976.951, 3977.042, 0.091, 91, 0, 3977.042, 3983.259, 6.217, 2730, 3983.259, 3983.35, 0.091, 91, 0, 3983.35, 3983.35, 0, 0,    13.234,
 28, 1, 3980, 3980, 3980.106, 0.106, 100, 0, 3980.106, 3982.076, 1.97, 1000, 3982.076, 3982.236, 0.16, 150, 0, 3982.236, 3983.831, 1.596, 750, 3983.831, 3983.931, 0.1, 100, 0, 3983.931, 3986.326, 2.395, 1000, 3986.326, 3986.41, 0.083, 83, 0, 3986.41, 3992.513, 6.103, 2490, 3992.513, 3992.596, 0.083, 83, 0, 3992.596, 3992.596, 0, 0,    12.490,
 29, 1, 3990, 3990, 3990.116, 0.116, 110, 0, 3990.116, 3992.493, 2.377, 1100, 3992.493, 3992.658, 0.165, 165, 0, 3992.658, 3994.562, 1.905, 825, 3994.562, 3994.673, 0.11, 110, 0, 3994.673, 3996.816, 2.144, 1100, 3996.816, 3996.907, 0.091, 91, 0, 3996.907, 4002.619, 5.712, 2730, 4002.619, 4002.711, 0.091, 91, 0, 4002.711, 4002.711, 0, 0,    12.595,
 30, 1, 4000, 4000, 4000.106, 0.106, 100, 0, 4000.106, 4002.389, 2.283, 1000, 4002.389, 4002.539, 0.15, 150, 0, 4002.539, 4004.336, 1.796, 750, 4004.336, 4004.436, 0.1, 100, 0, 4004.436, 4006.59, 2.154, 1000, 4006.59, 4006.673, 0.083, 83, 0, 4006.673, 4012.113, 5.44, 2490, 4012.113, 4012.196, 0.083, 83, 0, 4012.196, 4012.196, 0, 0,    12.090,
 31, 1, 4010, 4010, 4010.106, 0.106, 100, 0, 4010.106, 4012.281, 2.175, 1000, 4012.281, 4012.431, 0.15, 150, 0, 4012.431, 4013.966, 1.534, 750, 4013.966, 4014.066, 0.1, 100, 0, 4014.066, 4016.245, 2.179, 1000, 4016.245, 4016.328, 0.083, 83, 0, 4016.328, 4022.086, 5.759, 2490, 4022.086, 4022.169, 0.083, 83, 0, 4022.169, 4022.169, 0, 0,    12.064,
 32, 1, 4020, 4020, 4020.106, 0.106, 100, 0, 4020.106, 4022.303, 2.197, 1000, 4022.303, 4022.453, 0.15, 150, 0, 4022.453, 4023.999, 1.546, 750, 4023.999, 4024.099, 0.1, 100, 0, 4024.099, 4026.318, 2.218, 1000, 4026.318, 4026.401, 0.083, 83, 0, 4026.401, 4031.565, 5.164, 2490, 4031.565, 4031.648, 0.083, 83, 0, 4031.648, 4031.648, 0, 0,    11.542,
 33, 1, 4030, 4030, 4030.106, 0.106, 100, 0, 4030.106, 4032.352, 2.246, 1000, 4032.352, 4032.502, 0.15, 150, 0, 4032.502, 4033.987, 1.485, 750, 4033.987, 4034.087, 0.1, 100, 0, 4034.087, 4036.162, 2.075, 1000, 4036.162, 4036.246, 0.083, 83, 0, 4036.246, 4041.042, 4.797, 2490, 4041.042, 4041.125, 0.083, 83, 0, 4041.125, 4041.125, 0, 0,    11.019,
 34, 1, 4040, 4040, 4040.116, 0.116, 110, 0, 4040.116, 4042.407, 2.291, 1100, 4042.407, 4042.572, 0.165, 165, 0, 4042.572, 4044.441, 1.869, 825, 4044.441, 4044.552, 0.11, 110, 0, 4044.552, 4047.077, 2.525, 1100, 4047.077, 4047.168, 0.091, 91, 0, 4047.168, 4053.492, 6.324, 2730, 4053.492, 4053.583, 0.091, 91, 0, 4053.583, 4053.583, 0, 0,    13.467,
 35, 1, 4050, 4050, 4050.116, 0.116, 110, 0, 4050.116, 4052.721, 2.606, 1100, 4052.721, 4052.886, 0.165, 165, 0, 4052.886, 4054.644, 1.758, 825, 4054.644, 4054.754, 0.11, 110, 0, 4054.754, 4056.878, 2.123, 1100, 4056.878, 4056.969, 0.091, 91, 0, 4056.969, 4062.571, 5.602, 2730, 4062.571, 4062.662, 0.091, 91, 0, 4062.662, 4062.662, 0, 0,    12.546,
 36, 1, 4060, 4060, 4060.116, 0.116, 110, 0, 4060.116, 4062.151, 2.035, 1100, 4062.151, 4062.316, 0.165, 165, 0, 4062.316, 4064.038, 1.721, 825, 4064.038, 4064.148, 0.11, 110, 0, 4064.148, 4066.144, 1.996, 1100, 4066.144, 4066.235, 0.091, 91, 0, 4066.235, 4071.802, 5.567, 2730, 4071.802, 4071.893, 0.091, 91, 0, 4071.893, 4071.893, 0, 0,    11.777,
 37, 1, 4070, 4070, 4070.116, 0.116, 110, 0, 4070.116, 4072.457, 2.341, 1100, 4072.457, 4072.622, 0.165, 165, 0, 4072.622, 4074.415, 1.793, 825, 4074.415, 4074.525, 0.11, 110, 0, 4074.525, 4076.595, 2.07, 1100, 4076.595, 4076.686, 0.091, 91, 0, 4076.686, 4081.928, 5.243, 2730, 4081.928, 4082.02, 0.091, 91, 0, 4082.02, 4082.02, 0, 0,    11.904,
 38, 1, 4080, 4080, 4080.116, 0.116, 110, 0, 4080.116, 4082.451, 2.335, 1100, 4082.451, 4082.616, 0.165, 165, 0, 4082.616, 4084.339, 1.723, 825, 4084.339, 4084.449, 0.11, 110, 0, 4084.449, 4087.06, 2.611, 1100, 4087.06, 4087.151, 0.091, 91, 0, 4087.151, 4093.361, 6.21, 2730, 4093.361, 4093.452, 0.091, 91, 0, 4093.452, 4093.452, 0, 0,    13.336,
 39, 1, 4090, 4090, 4090.106, 0.106, 100, 0, 4090.106, 4092.546, 2.44, 1000, 4092.546, 4092.696, 0.15, 150, 0, 4092.696, 4094.341, 1.645, 750, 4094.341, 4094.441, 0.1, 100, 0, 4094.441, 4096.67, 2.229, 1000, 4096.67, 4096.753, 0.083, 83, 0, 4096.753, 4101.917, 5.164, 2490, 4101.917, 4102, 0.083, 83, 0, 4102, 4102, 0, 0,    11.894,
 40, 1, 4100, 4100, 4100.106, 0.106, 100, 0, 4100.106, 4102.358, 2.252, 1000, 4102.358, 4102.508, 0.15, 150, 0, 4102.508, 4103.924, 1.417, 750, 4103.924, 4104.024, 0.1, 100, 0, 4104.024, 4106.195, 2.171, 1000, 4106.195, 4106.278, 0.083, 83, 0, 4106.278, 4112.255, 5.977, 2490, 4112.255, 4112.338, 0.083, 83, 0, 4112.338, 4112.338, 0, 0,    12.232,
 41, 1, 4110, 4110, 4110.106, 0.106, 100, 0, 4110.106, 4112.296, 2.19, 1000, 4112.296, 4112.446, 0.15, 150, 0, 4112.446, 4114.166, 1.72, 750, 4114.166, 4114.266, 0.1, 100, 0, 4114.266, 4116.14, 1.874, 1000, 4116.14, 4116.223, 0.083, 83, 0, 4116.223, 4122.165, 5.941, 2490, 4122.165, 4122.248, 0.083, 83, 0, 4122.248, 4122.248, 0, 0,    12.142,
 42, 1, 4120, 4120, 4120.116, 0.116, 110, 0, 4120.116, 4122.385, 2.269, 1100, 4122.385, 4122.55, 0.165, 165, 0, 4122.55, 4124.15, 1.599, 825, 4124.15, 4124.26, 0.11, 110, 0, 4124.26, 4126.388, 2.128, 1100, 4126.388, 4126.479, 0.091, 91, 0, 4126.479, 4132.515, 6.036, 2730, 4132.515, 4132.606, 0.091, 91, 0, 4132.606, 4132.606, 0, 0,    12.490,
 43, 1, 4130, 4130, 4130.116, 0.116, 110, 0, 4130.116, 4132.526, 2.41, 1100, 4132.526, 4132.69, 0.165, 165, 0, 4132.69, 4134.325, 1.634, 825, 4134.325, 4134.435, 0.11, 110, 0, 4134.435, 4136.514, 2.079, 1100, 4136.514, 4136.605, 0.091, 91, 0, 4136.605, 4142.326, 5.721, 2730, 4142.326, 4142.417, 0.091, 91, 0, 4142.417, 4142.417, 0, 0,    12.301,
 44, 1, 4140, 4140, 4140.116, 0.116, 110, 0, 4140.116, 4142.712, 2.596, 1100, 4142.712, 4142.877, 0.165, 165, 0, 4142.877, 4144.685, 1.808, 825, 4144.685, 4144.795, 0.11, 110, 0, 4144.795, 4147.401, 2.606, 1100, 4147.401, 4147.493, 0.091, 91, 0, 4147.493, 4153.223, 5.731, 2730, 4153.223, 4153.314, 0.091, 91, 0, 4153.314, 4153.314, 0, 0,    13.198,
 45, 1, 4150, 4150, 4150.106, 0.106, 100, 0, 4150.106, 4152.303, 2.197, 1000, 4152.303, 4152.453, 0.15, 150, 0, 4152.453, 4153.99, 1.537, 750, 4153.99, 4154.09, 0.1, 100, 0, 4154.09, 4156.088, 1.997, 1000, 4156.088, 4156.171, 0.083, 83, 0, 4156.171, 4162.217, 6.046, 2490, 4162.217, 4162.3, 0.083, 83, 0, 4162.3, 4162.3, 0, 0,    12.194,
 46, 1, 4160, 4160, 4160.106, 0.106, 100, 0, 4160.106, 4161.989, 1.883, 1000, 4161.989, 4162.139, 0.15, 150, 0, 4162.139, 4163.76, 1.621, 750, 4163.76, 4163.86, 0.1, 100, 0, 4163.86, 4165.896, 2.036, 1000, 4165.896, 4165.979, 0.083, 83, 0, 4165.979, 4172.027, 6.048, 2490, 4172.027, 4172.11, 0.083, 83, 0, 4172.11, 4172.11, 0, 0,    12.005,
 47, 1, 4170, 4170, 4170.116, 0.116, 110, 0, 4170.116, 4172.734, 2.618, 1100, 4172.734, 4172.898, 0.165, 165, 0, 4172.898, 4174.419, 1.521, 825, 4174.419, 4174.529, 0.11, 110, 0, 4174.529, 4176.628, 2.098, 1100, 4176.628, 4176.719, 0.091, 91, 0, 4176.719, 4183.34, 6.621, 2730, 4183.34, 4183.431, 0.091, 91, 0, 4183.431, 4183.431, 0, 0,    13.315,
 48, 1, 4180, 4180, 4180.116, 0.116, 110, 0, 4180.116, 4182.617, 2.501, 1100, 4182.617, 4182.792, 0.175, 165, 0, 4182.792, 4184.445, 1.654, 825, 4184.445, 4184.555, 0.11, 110, 0, 4184.555, 4187.035, 2.48, 1100, 4187.035, 4187.126, 0.091, 91, 0, 4187.126, 4192.989, 5.863, 2730, 4192.989, 4193.08, 0.091, 91, 0, 4193.08, 4193.08, 0, 0,    12.964,
 49, 1, 4190, 4190, 4190.116, 0.116, 110, 0, 4190.116, 4192.366, 2.25, 1100, 4192.366, 4192.531, 0.165, 165, 0, 4192.531, 4194.328, 1.797, 825, 4194.328, 4194.438, 0.11, 110, 0, 4194.438, 4196.911, 2.473, 1100, 4196.911, 4197.002, 0.091, 91, 0, 4197.002, 4203.425, 6.423, 2730, 4203.425, 4203.516, 0.091, 91, 0, 4203.516, 4203.516, 0, 0,    13.400,
 50, 1, 4200, 4200, 4200.116, 0.116, 110, 0, 4200.116, 4202.77, 2.654, 1100, 4202.77, 4202.935, 0.165, 165, 0, 4202.935, 4204.626, 1.691, 825, 4204.626, 4204.737, 0.11, 110, 0, 4204.737, 4207.072, 2.336, 1100, 4207.072, 4207.163, 0.091, 91, 0, 4207.163, 4213.56, 6.397, 2730, 4213.56, 4213.652, 0.091, 91, 0, 4213.652, 4213.652, 0, 0,    13.536,
 51, 1, 4210, 4210, 4210.116, 0.116, 110, 0, 4210.116, 4212.551, 2.435, 1100, 4212.551, 4212.715, 0.165, 165, 0, 4212.715, 4214.606, 1.89, 825, 4214.606, 4214.716, 0.11, 110, 0, 4214.716, 4217.505, 2.788, 1100, 4217.505, 4217.596, 0.091, 91, 0, 4217.596, 4223.823, 6.227, 2730, 4223.823, 4223.914, 0.091, 91, 0, 4223.914, 4223.914, 0, 0,    13.798,
 52, 1, 4220, 4220, 4220.116, 0.116, 110, 0, 4220.116, 4222.45, 2.334, 1100, 4222.45, 4222.616, 0.165, 165, 0, 4222.616, 4224.353, 1.737, 825, 4224.353, 4224.463, 0.11, 110, 0, 4224.463, 4227.018, 2.556, 1100, 4227.018, 4227.11, 0.091, 91, 0, 4227.11, 4233.095, 5.985, 2730, 4233.095, 4233.186, 0.091, 91, 0, 4233.186, 4233.186, 0, 0,    13.070,
 53, 1, 4230, 4230, 4230.106, 0.106, 100, 0, 4230.106, 4232.184, 2.078, 1000, 4232.184, 4232.334, 0.15, 150, 0, 4232.334, 4233.892, 1.558, 750, 4233.892, 4233.992, 0.1, 100, 0, 4233.992, 4236.062, 2.07, 1000, 4236.062, 4236.145, 0.083, 83, 0, 4236.145, 4242, 5.855, 2490, 4242, 4242.083, 0.083, 83, 0, 4242.083, 4242.083, 0, 0,    11.977,
 54, 1, 4240, 4240, 4240.106, 0.106, 100, 0, 4240.106, 4242.24, 2.134, 1000, 4242.24, 4242.39, 0.15, 150, 0, 4242.39, 4243.988, 1.597, 750, 4243.988, 4244.088, 0.1, 100, 0, 4244.088, 4246.241, 2.153, 1000, 4246.241, 4246.324, 0.083, 83, 0, 4246.324, 4252.352, 6.029, 2490, 4252.352, 4252.436, 0.083, 83, 0, 4252.436, 4252.436, 0, 0,    12.330,
 55, 1, 4250, 4250, 4250.116, 0.116, 110, 0, 4250.116, 4252.485, 2.369, 1100, 4252.485, 4252.649, 0.165, 165, 0, 4252.649, 4254.305, 1.656, 825, 4254.305, 4254.415, 0.11, 110, 0, 4254.415, 4257.028, 2.613, 1100, 4257.028, 4257.119, 0.091, 91, 0, 4257.119, 4262.409, 5.29, 2730, 4262.409, 4262.5, 0.091, 91, 0, 4262.5, 4262.5, 0, 0,    12.384,
 56, 1, 4260, 4260, 4260.106, 0.106, 100, 0, 4260.106, 4262.409, 2.303, 1000, 4262.409, 4262.559, 0.15, 150, 0, 4262.559, 4264.015, 1.456, 750, 4264.015, 4264.115, 0.1, 100, 0, 4264.115, 4266.29, 2.175, 1000, 4266.29, 4266.373, 0.083, 83, 0, 4266.373, 4271.412, 5.04, 2490, 4271.412, 4271.495, 0.083, 83, 0, 4271.495, 4271.495, 0, 0,    11.389,
