#======================================
Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 10, 0, 100, 100, 100.116, 0.116, 110, 0, 100.116, 102.669, 2.553, 1100, 102.669, 102.834, 0.165, 165, 0, 102.834, 104.525, 1.691, 825, 104.525, 104.636, 0.11, 110, 0, 104.636, 111.897, 7.261, 3300, 111.897, 112.007, 0.11, 110, 0, 112.007, 112.007, 0, 0,    11.891,
 11, 0, 110, 110, 110.126, 0.126, 120, 0, 110.126, 112.777, 2.651, 1200, 112.777, 112.957, 0.18, 180, 0, 112.957, 114.659, 1.702, 900, 114.659, 114.779, 0.12, 120, 0, 114.779, 122.385, 7.606, 3600, 122.385, 122.505, 0.12, 120, 0, 122.505, 122.505, 0, 0,    12.379,
 12, 0, 120, 120, 120.116, 0.116, 110, 0, 120.116, 122.349, 2.233, 1100, 122.349, 122.515, 0.166, 165, 0, 122.515, 124.482, 1.967, 825, 124.482, 124.592, 0.11, 110, 0, 124.592, 131.02, 6.428, 3300, 131.02, 131.13, 0.11, 110, 0, 131.13, 131.13, 0, 0,    11.014,
 13, 0, 130, 130, 130.116, 0.116, 110, 0, 130.116, 132.454, 2.338, 1100, 132.454, 132.619, 0.165, 165, 0, 132.619, 134.113, 1.493, 825, 134.113, 134.223, 0.11, 110, 0, 134.223, 142.437, 8.214, 3300, 142.437, 142.547, 0.11, 110, 0, 142.547, 142.547, 0, 0,    12.431,
 14, 0, 140, 140, 140.126, 0.126, 120, 0, 140.126, 142.909, 2.783, 1200, 142.909, 143.088, 0.18, 180, 0, 143.088, 145.005, 1.917, 900, 145.005, 145.125, 0.12, 120, 0, 145.125, 154.262, 9.137, 3600, 154.262, 154.382, 0.12, 120, 0, 154.382, 154.382, 0, 0,    14.256,
 15, 0, 150, 150, 150.116, 0.116, 110, 0, 150.116, 152.932, 2.816, 1100, 152.932, 153.097, 0.165, 165, 0, 153.097, 154.804, 1.708, 825, 154.804, 154.914, 0.11, 110, 0, 154.914, 160.874, 5.96, 3300, 160.874, 160.985, 0.11, 110, 0, 160.985, 160.985, 0, 0,    10.869,
 16, 0, 160, 160, 160.126, 0.126, 120, 0, 160.126, 162.491, 2.365, 1200, 162.491, 162.671, 0.18, 180, 0, 162.671, 164.553, 1.881, 900, 164.553, 164.672, 0.12, 120, 0, 164.672, 171.701, 7.028, 3600, 171.701, 171.821, 0.12, 120, 0, 171.821, 171.821, 0, 0,    11.695,
 17, 0, 170, 170, 170.116, 0.116, 110, 0, 170.116, 172.665, 2.549, 1100, 172.665, 172.83, 0.165, 165, 0, 172.83, 174.599, 1.77, 825, 174.599, 174.709, 0.11, 110, 0, 174.709, 180.3, 5.591, 3300, 180.3, 180.411, 0.11, 110, 0, 180.411, 180.411, 0, 0,    10.295,
 18, 0, 180, 180, 180.126, 0.126, 120, 0, 180.126, 182.772, 2.646, 1200, 182.772, 182.952, 0.18, 180, 0, 182.952, 184.989, 2.037, 900, 184.989, 185.109, 0.12, 120, 0, 185.109, 193.359, 8.25, 3600, 193.359, 193.479, 0.12, 120, 0, 193.479, 193.479, 0, 0,    13.353,
 19, 0, 190, 190, 190.126, 0.126, 120, 0, 190.126, 193.359, 3.232, 1200, 193.359, 193.539, 0.18, 180, 0, 193.539, 195.539, 2, 900, 195.539, 195.659, 0.12, 120, 0, 195.659, 203.298, 7.639, 3600, 203.298, 203.418, 0.12, 120, 0, 203.418, 203.418, 0, 0,    13.292,
 20, 0, 200, 200, 200.116, 0.116, 110, 0, 200.116, 202.704, 2.588, 1100, 202.704, 202.869, 0.165, 165, 0, 202.869, 204.721, 1.852, 825, 204.721, 204.831, 0.11, 110, 0, 204.831, 211.525, 6.694, 3300, 211.525, 211.635, 0.11, 110, 0, 211.635, 211.635, 0, 0,    11.519,
 21, 0, 210, 210, 210.116, 0.116, 110, 0, 210.116, 212.266, 2.15, 1100, 212.266, 212.431, 0.165, 165, 0, 212.431, 214.263, 1.832, 825, 214.263, 214.373, 0.11, 110, 0, 214.373, 222.858, 8.485, 3300, 222.858, 222.968, 0.11, 110, 0, 222.968, 222.968, 0, 0,    12.852,
 22, 0, 220, 220, 220.126, 0.126, 120, 0, 220.126, 222.905, 2.779, 1200, 222.905, 223.085, 0.18, 180, 0, 223.085, 224.987, 1.902, 900, 224.987, 225.107, 0.12, 120, 0, 225.107, 232.273, 7.166, 3600, 232.273, 232.394, 0.12, 120, 0, 232.394, 232.394, 0, 0,    12.268,
 23, 0, 230, 230, 230.126, 0.126, 120, 0, 230.126, 232.293, 2.167, 1200, 232.293, 232.474, 0.18, 180, 0, 232.474, 234.393, 1.919, 900, 234.393, 234.513, 0.12, 120, 0, 234.513, 243.459, 8.946, 3600, 243.459, 243.579, 0.12, 120, 0, 243.579, 243.579, 0, 0,    13.453,
 24, 0, 240, 240, 240.126, 0.126, 120, 0, 240.126, 242.568, 2.442, 1200, 242.568, 242.748, 0.18, 180, 0, 242.748, 244.879, 2.131, 900, 244.879, 244.999, 0.12, 120, 0, 244.999, 253.815, 8.816, 3600, 253.815, 253.936, 0.12, 120, 0, 253.936, 253.936, 0, 0,    13.809,
 25, 0, 250, 250, 250.126, 0.126, 120, 0, 250.126, 252.564, 2.438, 1200, 252.564, 252.744, 0.18, 180, 0, 252.744, 254.585, 1.841, 900, 254.585, 254.705, 0.12, 120, 0, 254.705, 262.299, 7.594, 3600, 262.299, 262.419, 0.12, 120, 0, 262.419, 262.419, 0, 0,    12.293,
 26, 0, 260, 260, 260.126, 0.126, 120, 0, 260.126, 262.962, 2.836, 1200, 262.962, 263.142, 0.18, 180, 0, 263.142, 264.846, 1.704, 900, 264.846, 264.966, 0.12, 120, 0, 264.966, 273.329, 8.362, 3600, 273.329, 273.449, 0.12, 120, 0, 273.449, 273.449, 0, 0,    13.323,
 27, 0, 270, 270, 270.126, 0.126, 120, 0, 270.126, 273.231, 3.105, 1200, 273.231, 273.412, 0.18, 180, 0, 273.412, 275.488, 2.076, 900, 275.488, 275.608, 0.12, 120, 0, 275.608, 282.641, 7.032, 3600, 282.641, 282.761, 0.12, 120, 0, 282.761, 282.761, 0, 0,    12.635,
 28, 0, 280, 280, 280.116, 0.116, 110, 0, 280.116, 282.379, 2.263, 1100, 282.379, 282.544, 0.165, 165, 0, 282.544, 284.694, 2.15, 825, 284.694, 284.804, 0.11, 110, 0, 284.804, 290.969, 6.164, 3300, 290.969, 291.079, 0.11, 110, 0, 291.079, 291.079, 0, 0,    10.963,
 29, 0, 290, 290, 290.116, 0.116, 110, 0, 290.116, 292.134, 2.018, 1100, 292.134, 292.299, 0.165, 165, 0, 292.299, 294.261, 1.962, 825, 294.261, 294.371, 0.11, 110, 0, 294.371, 300.532, 6.16, 3300, 300.532, 300.642, 0.11, 110, 0, 300.642, 300.642, 0, 0,    10.526,
 30, 0, 300, 300, 300.116, 0.116, 110, 0, 300.116, 302.367, 2.251, 1100, 302.367, 302.531, 0.165, 165, 0, 302.531, 304.45, 1.918, 825, 304.45, 304.56, 0.11, 110, 0, 304.56, 311.878, 7.318, 3300, 311.878, 311.987, 0.11, 110, 0, 311.987, 311.987, 0, 0,    11.872,
 31, 0, 310, 310, 310.116, 0.116, 110, 0, 310.116, 312.216, 2.099, 1100, 312.216, 312.381, 0.165, 165, 0, 312.381, 314.581, 2.2, 825, 314.581, 314.691, 0.11, 110, 0, 314.691, 321.914, 7.223, 3300, 321.914, 322.024, 0.11, 110, 0, 322.024, 322.024, 0, 0,    11.908,
 32, 0, 320, 320, 320.116, 0.116, 110, 0, 320.116, 322.289, 2.173, 1100, 322.289, 322.454, 0.165, 165, 0, 322.454, 324.495, 2.042, 825, 324.495, 324.606, 0.11, 110, 0, 324.606, 332.213, 7.607, 3300, 332.213, 332.323, 0.11, 110, 0, 332.323, 332.323, 0, 0,    12.207,
 33, 0, 330, 330, 330.126, 0.126, 120, 0, 330.126, 332.795, 2.669, 1200, 332.795, 332.975, 0.18, 180, 0, 332.975, 334.912, 1.936, 900, 334.912, 335.032, 0.12, 120, 0, 335.032, 341.574, 6.543, 3600, 341.574, 341.694, 0.12, 120, 0, 341.694, 341.694, 0, 0,    11.568,
 34, 0, 340, 340, 340.116, 0.116, 110, 0, 340.116, 342.721, 2.605, 1100, 342.721, 342.886, 0.165, 165, 0, 342.886, 344.464, 1.578, 825, 344.464, 344.574, 0.11, 110, 0, 344.574, 352.567, 7.993, 3300, 352.567, 352.677, 0.11, 110, 0, 352.677, 352.677, 0, 0,    12.561,
 35, 0, 350, 350, 350.116, 0.116, 110, 0, 350.116, 352.402, 2.286, 1100, 352.402, 352.567, 0.165, 165, 0, 352.567, 354.267, 1.7, 825, 354.267, 354.377, 0.11, 110, 0, 354.377, 360.58, 6.203, 3300, 360.58, 360.69, 0.11, 110, 0, 360.69, 360.69, 0, 0,    10.574,
 36, 0, 360, 360, 360.116, 0.116, 110, 0, 360.116, 362.381, 2.265, 1100, 362.381, 362.547, 0.165, 165, 0, 362.547, 364.278, 1.731, 825, 364.278, 364.388, 0.11, 110, 0, 364.388, 371.812, 7.424, 3300, 371.812, 371.922, 0.11, 110, 0, 371.922, 371.922, 0, 0,    11.806,
 37, 0, 370, 370, 370.116, 0.116, 110, 0, 370.116, 372.528, 2.412, 1100, 372.528, 372.693, 0.165, 165, 0, 372.693, 374.192, 1.499, 825, 374.192, 374.302, 0.11, 110, 0, 374.302, 380.98, 6.677, 3300, 380.98, 381.09, 0.11, 110, 0, 381.09, 381.09, 0, 0,    10.974,
 38, 0, 380, 380, 380.126, 0.126, 120, 0, 380.126, 382.938, 2.812, 1200, 382.938, 383.118, 0.18, 180, 0, 383.118, 385.128, 2.009, 900, 385.128, 385.248, 0.12, 120, 0, 385.248, 391.746, 6.498, 3600, 391.746, 391.866, 0.12, 120, 0, 391.866, 391.866, 0, 0,    11.740,
 39, 0, 390, 390, 390.126, 0.126, 120, 0, 390.126, 392.923, 2.797, 1200, 392.923, 393.103, 0.18, 180, 0, 393.103, 395.058, 1.955, 900, 395.058, 395.178, 0.12, 120, 0, 395.178, 403.378, 8.2, 3600, 403.378, 403.498, 0.12, 120, 0, 403.498, 403.498, 0, 0,    13.372,
 40, 0, 400, 400, 400.116, 0.116, 110, 0, 400.116, 402.46, 2.344, 1100, 402.46, 402.625, 0.165, 165, 0, 402.625, 404.665, 2.04, 825, 404.665, 404.775, 0.11, 110, 0, 404.775, 411.144, 6.369, 3300, 411.144, 411.254, 0.11, 110, 0, 411.254, 411.254, 0, 0,    11.138,
 41, 0, 410, 410, 410.126, 0.126, 120, 0, 410.126, 412.549, 2.423, 1200, 412.549, 412.729, 0.18, 180, 0, 412.729, 414.663, 1.935, 900, 414.663, 414.783, 0.12, 120, 0, 414.783, 421.961, 7.177, 3600, 421.961, 422.081, 0.12, 120, 0, 422.081, 422.081, 0, 0,    11.955,
 42, 0, 420, 420, 420.116, 0.116, 110, 0, 420.116, 422.438, 2.321, 1100, 422.438, 422.603, 0.165, 165, 0, 422.603, 424.299, 1.696, 825, 424.299, 424.409, 0.11, 110, 0, 424.409, 432.274, 7.865, 3300, 432.274, 432.384, 0.11, 110, 0, 432.384, 432.384, 0, 0,    12.268,
 43, 0, 430, 430, 430.116, 0.116, 110, 0, 430.116, 432.384, 2.268, 1100, 432.384, 432.549, 0.165, 165, 0, 432.549, 434.237, 1.687, 825, 434.237, 434.347, 0.11, 110, 0, 434.347, 443.153, 8.806, 3300, 443.153, 443.263, 0.11, 110, 0, 443.263, 443.263, 0, 0,    13.147,
 44, 0, 440, 440, 440.126, 0.126, 120, 0, 440.126, 442.427, 2.301, 1200, 442.427, 442.607, 0.18, 180, 0, 442.607, 444.582, 1.975, 900, 444.582, 444.702, 0.12, 120, 0, 444.702, 452.645, 7.943, 3600, 452.645, 452.765, 0.12, 120, 0, 452.765, 452.765, 0, 0,    12.639,
 45, 0, 450, 450, 450.126, 0.126, 120, 0, 450.126, 452.739, 2.613, 1200, 452.739, 452.919, 0.18, 180, 0, 452.919, 454.774, 1.855, 900, 454.774, 454.894, 0.12, 120, 0, 454.894, 461.963, 7.069, 3600, 461.963, 462.083, 0.12, 120, 0, 462.083, 462.083, 0, 0,    11.957,
 46, 0, 460, 460, 460.116, 0.116, 110, 0, 460.116, 462.343, 2.227, 1100, 462.343, 462.508, 0.165, 165, 0, 462.508, 464.27, 1.761, 825, 464.27, 464.38, 0.11, 110, 0, 464.38, 470.85, 6.47, 3300, 470.85, 470.959, 0.11, 110, 0, 470.959, 470.959, 0, 0,    10.844,
 47, 0, 470, 470, 470.126, 0.126, 120, 0, 470.126, 472.939, 2.813, 1200, 472.939, 473.119, 0.18, 180, 0, 473.119, 475.033, 1.913, 900, 475.033, 475.153, 0.12, 120, 0, 475.153, 482.497, 7.344, 3600, 482.497, 482.617, 0.12, 120, 0, 482.617, 482.617, 0, 0,    12.491,
 48, 0, 480, 480, 480.126, 0.126, 120, 0, 480.126, 482.988, 2.862, 1200, 482.988, 483.168, 0.18, 180, 0, 483.168, 485.017, 1.849, 900, 485.017, 485.137, 0.12, 120, 0, 485.137, 491.65, 6.513, 3600, 491.65, 491.77, 0.12, 120, 0, 491.77, 491.77, 0, 0,    11.644,
 49, 0, 490, 490, 490.116, 0.116, 110, 0, 490.116, 492.591, 2.475, 1100, 492.591, 492.756, 0.165, 165, 0, 492.756, 494.678, 1.922, 825, 494.678, 494.789, 0.11, 110, 0, 494.789, 502.367, 7.579, 3300, 502.367, 502.477, 0.11, 110, 0, 502.477, 502.477, 0, 0,    12.362,
 50, 0, 500, 500, 500.126, 0.126, 120, 0, 500.126, 502.541, 2.416, 1200, 502.541, 502.722, 0.18, 180, 0, 502.722, 504.765, 2.044, 900, 504.765, 504.885, 0.12, 120, 0, 504.885, 513.532, 8.647, 3600, 513.532, 513.652, 0.12, 120, 0, 513.652, 513.652, 0, 0,    13.526,
 51, 0, 510, 510, 510.126, 0.126, 120, 0, 510.126, 512.951, 2.825, 1200, 512.951, 513.131, 0.18, 180, 0, 513.131, 515, 1.869, 900, 515, 515.12, 0.12, 120, 0, 515.12, 523.185, 8.065, 3600, 523.185, 523.305, 0.12, 120, 0, 523.305, 523.305, 0, 0,    13.179,
 52, 0, 520, 520, 520.116, 0.116, 110, 0, 520.116, 522.502, 2.386, 1100, 522.502, 522.667, 0.165, 165, 0, 522.667, 524.377, 1.71, 825, 524.377, 524.487, 0.11, 110, 0, 524.487, 531.159, 6.672, 3300, 531.159, 531.269, 0.11, 110, 0, 531.269, 531.269, 0, 0,    11.153,
 53, 0, 530, 530, 530.126, 0.126, 120, 0, 530.126, 532.754, 2.628, 1200, 532.754, 532.934, 0.18, 180, 0, 532.934, 534.85, 1.916, 900, 534.85, 534.97, 0.12, 120, 0, 534.97, 542.836, 7.866, 3600, 542.836, 542.957, 0.12, 120, 0, 542.957, 542.957, 0, 0,    12.831,
 54, 0, 540, 540, 540.126, 0.126, 120, 0, 540.126, 542.656, 2.53, 1200, 542.656, 542.836, 0.18, 180, 0, 542.836, 544.586, 1.75, 900, 544.586, 544.706, 0.12, 120, 0, 544.706, 552.175, 7.469, 3600, 552.175, 552.295, 0.12, 120, 0, 552.295, 552.295, 0, 0,    12.169,
 55, 0, 550, 550, 550.116, 0.116, 110, 0, 550.116, 552.064, 1.948, 1100, 552.064, 552.229, 0.165, 165, 0, 552.229, 554.024, 1.794, 825, 554.024, 554.134, 0.11, 110, 0, 554.134, 562.752, 8.619, 3300, 562.752, 562.863, 0.11, 110, 0, 562.863, 562.863, 0, 0,    12.747,
 56, 0, 560, 560, 560.116, 0.116, 110, 0, 560.116, 562.166, 2.05, 1100, 562.166, 562.331, 0.165, 165, 0, 562.331, 564.008, 1.677, 825, 564.008, 564.118, 0.11, 110, 0, 564.118, 570.476, 6.358, 3300, 570.476, 570.586, 0.11, 110, 0, 570.586, 570.586, 0, 0,    10.470,
 57, 0, 570, 570, 570.116, 0.116, 110, 0, 570.116, 572.532, 2.416, 1100, 572.532, 572.697, 0.165, 165, 0, 572.697, 574.479, 1.782, 825, 574.479, 574.589, 0.11, 110, 0, 574.589, 580.937, 6.348, 3300, 580.937, 581.047, 0.11, 110, 0, 581.047, 581.047, 0, 0,    10.931,
 58, 0, 580, 580, 580.116, 0.116, 110, 0, 580.116, 582.402, 2.286, 1100, 582.402, 582.567, 0.165, 165, 0, 582.567, 584.356, 1.789, 825, 584.356, 584.467, 0.11, 110, 0, 584.467, 590.928, 6.461, 3300, 590.928, 591.038, 0.11, 110, 0, 591.038, 591.038, 0, 0,    10.922,
 59, 0, 590, 590, 590.116, 0.116, 110, 0, 590.116, 592.386, 2.27, 1100, 592.386, 592.551, 0.165, 165, 0, 592.551, 594.12, 1.569, 825, 594.12, 594.23, 0.11, 110, 0, 594.23, 602.399, 8.169, 3300, 602.399, 602.509, 0.11, 110, 0, 602.509, 602.509, 0, 0,    12.393,
 60, 0, 600, 600, 600.116, 0.116, 110, 0, 600.116, 602.767, 2.651, 1100, 602.767, 602.932, 0.165, 165, 0, 602.932, 604.69, 1.758, 825, 604.69, 604.8, 0.11, 110, 0, 604.8, 612.611, 7.811, 3300, 612.611, 612.721, 0.11, 110, 0, 612.721, 612.721, 0, 0,    12.605,
 61, 0, 610, 610, 610.126, 0.126, 120, 0, 610.126, 612.718, 2.592, 1200, 612.718, 612.898, 0.18, 180, 0, 612.898, 614.93, 2.032, 900, 614.93, 615.05, 0.12, 120, 0, 615.05, 623.697, 8.647, 3600, 623.697, 623.817, 0.12, 120, 0, 623.817, 623.817, 0, 0,    13.691,
 62, 0, 620, 620, 620.126, 0.126, 120, 0, 620.126, 622.918, 2.792, 1200, 622.918, 623.098, 0.18, 180, 0, 623.098, 624.956, 1.857, 900, 624.956, 625.076, 0.12, 120, 0, 625.076, 631.685, 6.61, 3600, 631.685, 631.805, 0.12, 120, 0, 631.805, 631.805, 0, 0,    11.680,
 63, 0, 630, 630, 630.126, 0.126, 120, 0, 630.126, 632.659, 2.533, 1200, 632.659, 632.839, 0.18, 180, 0, 632.839, 634.667, 1.829, 900, 634.667, 634.787, 0.12, 120, 0, 634.787, 642.84, 8.052, 3600, 642.84, 642.96, 0.12, 120, 0, 642.96, 642.96, 0, 0,    12.834,
 64, 0, 640, 640, 640.126, 0.126, 120, 0, 640.126, 642.913, 2.788, 1200, 642.913, 643.094, 0.18, 180, 0, 643.094, 645.049, 1.955, 900, 645.049, 645.169, 0.12, 120, 0, 645.169, 652.811, 7.643, 3600, 652.811, 652.932, 0.12, 120, 0, 652.932, 652.932, 0, 0,    12.806,
 65, 0, 650, 650, 650.116, 0.116, 110, 0, 650.116, 652.279, 2.163, 1100, 652.279, 652.444, 0.165, 165, 0, 652.444, 654.421, 1.977, 825, 654.421, 654.531, 0.11, 110, 0, 654.531, 661.519, 6.988, 3300, 661.519, 661.629, 0.11, 110, 0, 661.629, 661.629, 0, 0,    11.513,
 66, 0, 660, 660, 660.116, 0.116, 110, 0, 660.116, 662.363, 2.246, 1100, 662.363, 662.528, 0.165, 165, 0, 662.528, 664.491, 1.963, 825, 664.491, 664.601, 0.11, 110, 0, 664.601, 672.073, 7.472, 3300, 672.073, 672.183, 0.11, 110, 0, 672.183, 672.183, 0, 0,    12.067,
 67, 0, 670, 670, 670.116, 0.116, 110, 0, 670.116, 672.594, 2.478, 1100, 672.594, 672.758, 0.165, 165, 0, 672.758, 674.609, 1.85, 825, 674.609, 674.719, 0.11, 110, 0, 674.719, 681.918, 7.2, 3300, 681.918, 682.029, 0.11, 110, 0, 682.029, 682.029, 0, 0,    11.913,
 68, 0, 680, 680, 680.116, 0.116, 110, 0, 680.116, 682.446, 2.329, 1100, 682.446, 682.61, 0.165, 165, 0, 682.61, 684.18, 1.569, 825, 684.18, 684.29, 0.11, 110, 0, 684.29, 692.133, 7.843, 3300, 692.133, 692.243, 0.11, 110, 0, 692.243, 692.243, 0, 0,    12.127,
 69, 0, 690, 690, 690.116, 0.116, 110, 0, 690.116, 692.653, 2.537, 1100, 692.653, 692.818, 0.165, 165, 0, 692.818, 694.566, 1.748, 825, 694.566, 694.676, 0.11, 110, 0, 694.676, 702.736, 8.06, 3300, 702.736, 702.846, 0.11, 110, 0, 702.846, 702.846, 0, 0,    12.730,
 70, 0, 700, 700, 700.116, 0.116, 110, 0, 700.116, 702.257, 2.141, 1100, 702.257, 702.422, 0.165, 165, 0, 702.422, 704.199, 1.777, 825, 704.199, 704.309, 0.11, 110, 0, 704.309, 711.187, 6.878, 3300, 711.187, 711.297, 0.11, 110, 0, 711.297, 711.297, 0, 0,    11.181,
 71, 0, 710, 710, 710.116, 0.116, 110, 0, 710.116, 712.664, 2.548, 1100, 712.664, 712.829, 0.165, 165, 0, 712.829, 714.454, 1.625, 825, 714.454, 714.564, 0.11, 110, 0, 714.564, 721.486, 6.922, 3300, 721.486, 721.596, 0.11, 110, 0, 721.596, 721.596, 0, 0,    11.480,
 72, 0, 720, 720, 720.116, 0.116, 110, 0, 720.116, 722.455, 2.339, 1100, 722.455, 722.62, 0.165, 165, 0, 722.62, 724.275, 1.654, 825, 724.275, 724.385, 0.11, 110, 0, 724.385, 730.536, 6.151, 3300, 730.536, 730.646, 0.11, 110, 0, 730.646, 730.646, 0, 0,    10.530,
 73, 0, 730, 730, 730.116, 0.116, 110, 0, 730.116, 732.525, 2.409, 1100, 732.525, 732.69, 0.165, 165, 0, 732.69, 734.78, 2.09, 825, 734.78, 734.89, 0.11, 110, 0, 734.89, 742.514, 7.624, 3300, 742.514, 742.624, 0.11, 110, 0, 742.624, 742.624, 0, 0,    12.508,
 74, 0, 740, 740, 740.126, 0.126, 120, 0, 740.126, 742.857, 2.731, 1200, 742.857, 743.037, 0.18, 180, 0, 743.037, 744.716, 1.679, 900, 744.716, 744.836, 0.12, 120, 0, 744.836, 752.006, 7.17, 3600, 752.006, 752.126, 0.12, 120, 0, 752.126, 752.126, 0, 0,    12.000,
 75, 0, 750, 750, 750.116, 0.116, 110, 0, 750.116, 752.619, 2.503, 1100, 752.619, 752.784, 0.165, 165, 0, 752.784, 754.737, 1.953, 825, 754.737, 754.848, 0.11, 110, 0, 754.848, 760.783, 5.936, 3300, 760.783, 760.893, 0.11, 110, 0, 760.893, 760.893, 0, 0,    10.777,
 76, 0, 760, 760, 760.126, 0.126, 120, 0, 760.126, 762.845, 2.718, 1200, 762.845, 763.025, 0.18, 180, 0, 763.025, 765.072, 2.048, 900, 765.072, 765.193, 0.12, 120, 0, 765.193, 773.505, 8.312, 3600, 773.505, 773.624, 0.12, 120, 0, 773.624, 773.624, 0, 0,    13.498,
 77, 0, 770, 770, 770.116, 0.116, 110, 0, 770.116, 772.422, 2.306, 1100, 772.422, 772.588, 0.165, 165, 0, 772.588, 774.442, 1.855, 825, 774.442, 774.553, 0.11, 110, 0, 774.553, 782.159, 7.606, 3300, 782.159, 782.269, 0.11, 110, 0, 782.269, 782.269, 0, 0,    12.153,
